Year,GDP Rate (%)
2007,3.16
2008,0.64
2009,-4.35
2010,2.23
2011,1.9
2012,-0.7
2013,-0.08
2014,1.6
2015,2.31
2016,1.97
2017,2.84
2018,2.07
2019,1.81
2020,-5.65
2021,6.01
2022,3.48
2023,0.45
