hq_country,grant_count
Switzerland,163
United Kingdom,145
Germany,58
Spain,43
Poland,25
France,23
Italy,22
Sweden,20
The Netherlands,19
Finland,12
Estonia,12
Denmark,11
Ireland,10
Austria,9
Belgium,8
Portugal,8
