Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
dear deer eyewear,https://www.crunchbase.com/organization/dear-deer-eyewear,Closed,,"3D Printing, Eyewear, Manufacturing","Kaunas, Kauno Apskritis, Lithuania",Custom made eyewear manufacturer,"268,760","European Union (EU), Europe, Middle East, and Africa (EMEA)",LT-44305,,2018-10-17,day,,,,none,For Profit,https://www.deardeer.lt,,https://www.facebook.com/deardeereyewear/,,For sunglasses and glasses wearers who has a difficult time buying and selecting their eyewear. Our dear deer eyewear is a fresh new way to get affordable and customizable new pair of either spectacles or sunglasses that provides a unique high end 3D printing application. Unlike standard eyewear frames manufacturers dear deer frames are manufactured locally giving us speed advantage of providing our customers (currently in both B2C and B2B models) with a customised pair of eyewear in a just few days,"Consumer Goods, Manufacturing",1,1-10,Justas Šidlauskas,1,Seed,2019-04-04,10000,EUR,11225,Pre-Seed,10000,EUR,11225,Pre-Seed,10000,EUR,11225,10000,EUR,11225,Startup Wise Guys,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Web Robots,https://www.crunchbase.com/organization/web-robots,Active,,"B2B, Big Data, Consulting, Information Technology, SaaS","Vilnius, Vilniaus Apskritis, Lithuania",Web Robots is a SaaS platform that offers B2B web crawling and scraping services.,"363,288","European Union (EU), Europe, Middle East, and Africa (EMEA)",LT-03220,$1M to $10M,2013-10-01,month,,,,,For Profit,https://webrobots.io/,https://twitter.com/werobots,https://www.facebook.com/webrobots,https://www.linkedin.com/company/werobots,"Web Robots is offering web data collection services since 2013. It's unique SaaS platform allows ultra efficient targeted web crawler creation. The platform is cloud based, therefore it is highly scalable on leading cloud providers. Web Robots accepts B2B clients in two service models - fully managed data delivery or SaaS where client's staff manage robots on Web Robots platform.","Data and Analytics, Information Technology, Other, Professional Services, Software",2,11-50,"Paulius Jonaitis, Tomas Vitulskis",1,Seed,2014-12-01,250000,EUR,311825,Seed,250000,EUR,311825,Seed,250000,EUR,311825,250000,EUR,311825,Practica Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Bear Room,https://www.crunchbase.com/organization/bear-room,Active,,Health Care,"Vilnius, Vilniaus Apskritis, Lithuania","Bear Room is a mobile app designed for instant stress relief, featuring a range of unconventional yet scientifically-backed exercises","387,786","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2023-07-01,month,,,,,For Profit,https://bearroom.co,,,https://www.linkedin.com/company/bear-room,"Bear Room is a mobile app developed by DŌBRA, an impact venture studio, designed for instant stress relief using unique, scientifically-backed techniques on the go. It employs EMDR, vocal practices, tapping, and breathwork to provide stress relief in just 3 minutes or less. With an intuitive, no-learning-curve interface, users can easily access stress relief methods without prior training. Additionally, the app offers a safe virtual room with comfort objects, creating an immediate sanctuary during stressful times.",Health Care,,1-10,,1,Seed,2024-07-10,,,,Pre-Seed,,,,Pre-Seed,,,,,,,DŌBRA,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Aciety,https://www.crunchbase.com/organization/aciety,Active,,"Apps, B2B, Enterprise Software, Recruiting, Software, Web Development","Kaunas, Kauno Apskritis, Lithuania",Aciety is a B2B search engine that helps companies to find available professional contractors and get clients by swapping them themselves.,"396,668","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2011-05-01,day,,,,,For Profit,http://aciety.com/,http://twitter.com/Aciety,http://www.facebook.com/acietycom,https://www.linkedin.com/company/2678603,"Aciety is a b2b outsourcing platform. It’s a curated marketplace of top software development companies in (Eastern) Europe. Aciety provides with long-term b2b “marriage” solutions as opposed to temporary “one night stands”. First of all, it’s based on a private network of software firms. All of them are screened, verified and accepted on an individual basis after a company research and interview. These companies provide with exclusive content about themselves, which form the basis of the platform. The network’s privacy, binding (electronic) agreements and user approval enables the companies to provide extensive information like portfolio items, minimum budgets, engagement discounts and way more. The platform is based on a search engine and accurate filters. It also includes matchmaking algorithms to provide a user the closest match possible. Aciety search results provide with a list of the most relevant portfolio items. It helps you to choose the provider based on the actual things it has done. The exclusive company information is presented afterwards. Additionally, Aciety offers direct company search to find firms based on specific parameters. The network of companies has been built to match the needs of different clients and to ensure both: wide rage of assortment and deep expertise of each and every field. Therefore the network is based on different, yet specialized providers, who are the masters of their craft. As an exception and to ensure enough of supply, there are several big general firms, employing 500+ developers. Some of them develop web solutions, while others do mobile. The network has companies writing custom software and building Information Systems (enterprise solutions). Other firms cover different fields including, but not limiting to Game development, Multimedia, Big Data, Server Administration and others. Technology-wise the companies cover php, python, ruby, java, C, .net and hundreds of other development languages and tools. The network is supplemented by new expert companies on a constant basis.  The users are also approved to the platform. These include SMEs from different industries, corporate representatives, IT consultants, different startups and many others. The customers are assisted by the Aciety team to make sure they truly get the most accurate match. Aciety helps customers to save a lot of time and money by making it right from the first time. It’s achieved by matching the customer with the most appropriate and suitable provider in each client specific case. Aciety provides with provider performance boost as their performance is recorded and will reflect the future ratings. Their team has done the research, aggregated and extracted much of exclusive provider information as well as developed a b2b search tool so that you could make the right decision in minutes. Aciety supports and protects the client on a continuous basis. From the B2b perspective, it’s pretty easy to use the Platform. A user can do the public search right from the Aciety.com landing page. He can find matching portfolio items and contact the provider via the Platform. Yet, the sensitive private information is not disclosed to the public. In order to see full information a user has to register and get approval from the Aciety team. He has to agree with the terms of the network and can start the search with full results afterwards. A user can contact the providers directly and get responses. He can also ask Aciety team to assist in the search. Once he receives the offers and accepts one of them, the development of the project begins. The user communicates with the provider directly, may use it’s own agreement and do direct payments. As soon as the project is done the client informs Aciety about the completion. The service is free of charge to the client.","Apps, Other, Professional Services, Software",2,11-50,"Aismantas Bulanavicius, Tomas Pagirys",1,Seed,2013-06-01,400000,EUR,519615,Seed,400000,EUR,519615,Seed,400000,EUR,519615,400000,EUR,519615,Practica Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Gifty,https://www.crunchbase.com/organization/gifty,Active,,"B2B, Enterprise Software, Restaurants, Retail, Small and Medium Businesses","Vilnius, Vilniaus Apskritis, Lithuania",Gifty is a micro-gifting service company that provides services to individuals and businesses.,"475,193","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2011-01-01,year,,,,,For Profit,https://gifty.lt/,,https://www.facebook.com/gifty.lt,https://www.linkedin.com/company/gifty-uab/,"Gifty is a micro-gifting service company that provides services to individuals and businesses. It was founded in 2012 and is based in Vilnius, Lithuania.","Commerce and Shopping, Food and Beverage, Other, Software",3,1-10,"Ilja Polivanovas, Mantas Rauckis, Sergej Opara",2,Seed,2015-01-01,350000,EUR,421610,Seed,350000,EUR,421610,Seed,550000,EUR,685758,550000,EUR,685758,Practica Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
SEMSEYE,https://www.crunchbase.com/organization/sems-technologies,Active,,"Analytics, Business Intelligence, Embedded Systems, Enterprise Software, SaaS, Shopping","Kaunas, Kauno Apskritis, Lithuania",SEMSeye digitize retailers while implementing a single robust statistical real time foot monitoring based open IoT platform,"486,501","European Union (EU), Europe, Middle East, and Africa (EMEA)",51423,$1M to $10M,2014-01-01,year,,,,,For Profit,http://www.semseye.com/,https://twitter.com/SEMSeye,https://www.facebook.com/SEMSEYE,https://www.linkedin.com/company/semseye,"SEMSEYE - intelligent embedded systems for Internet of Things environment with the first released innovative “People Traffic Management” solution. It is provided as unique business model - “Counting as a service” (IaaS & SaaS) and delivers you MLA (Mobile Location analytics) based on Internet connected SEMSEYE devices installed at your premises (IaaS) enabling retailers, real estate owners (such as Shopping Malls, Airports, Bus and Train stations) to track and analyze consumers’ behavior. It also makes possible to proactively support on decision-making processes throughout their stores and/or public areas via their interactive stands, mobiles, pcs and tablets and then deliver Cloud based analytics and reports analysis context such as weather forecasts, marketing, campaigns, loyalty or social programs.","Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",5,11-50,"Andrius Ojeras, Antanas Jankauskas, Darius Dilijonas, Mindaugas Leonavicius, Paulius Lengvenis",1,Seed,2015-08-18,,,,Seed,,,,Seed,,,,,,,"Cisco, Intel, Deutsche Telekom",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
AdTarget,https://www.crunchbase.com/organization/adtarget-me,Active,,"Ad Network, Advertising, B2B, Financial Exchanges, Information Technology","Vilnius, Vilniaus Apskritis, Lithuania",AdTarget is a full-stack digital advertising platform that offers self-service marketing tools for companies.,"564,175","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2012-01-01,year,,,,,For Profit,https://adtarget.me/,https://twitter.com/adtargetme,https://www.facebook.com/AdTargetMe,https://www.linkedin.com/company/2998870,"Founded in 2012, adtarget.me is dedicated to helping all clients, big or small, improve conversions and generate maximum ROI by focusing on three vital areas to success: Constantly Building Their Extensive Ad Networks Investing in Technology and Innovation Optimizing TheirAlgorithms and Processes Their new self-service retargeting platform puts all of their advanced tools and networks at your disposal so you can quickly take your online business to the next level.","Advertising, Financial Services, Information Technology, Lending and Investments, Other, Sales and Marketing",2,11-50,"Eimantas Sabaliauskas, Jørgen Christian Juul",1,Seed,2014-03-01,200000,EUR,276038,Seed,200000,EUR,276038,Seed,200000,EUR,276038,200000,EUR,276038,Practica Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Hyperb,https://www.crunchbase.com/organization/hyperb,Active,,Software,"Vilnius, Vilniaus Apskritis, Lithuania",Hyperb is a software design and development agency.,"565,144","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2014-01-01,year,,,,,For Profit,https://hyperb.io/,https://twitter.com/hyperb_io,https://www.facebook.com/hyperb.io/,https://www.linkedin.com/company/hyperb/,"They’ve worked with a number of commercial and residential estate businesses to solve their unique challenges. The sophisticated tech systems and data-driven products they’ve built have given our clients a competitive edge in an industry that’s always looking toward the future. They are constantly committed to delivering high-quality, user-friendly software solutions on time, within scope and budget, at competitive pricing. they'd love to work with your company. No project is too big or small for us – they’re here to help you achieve your business goals.",Software,3,,"Jokūbas Nečiūnas, Mindaugas Kiznis, Sarunas Legeckas",1,Seed,2022-10-04,,,,Seed,,,,Seed,,,,,,,Crypto House Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
WellParko,https://www.crunchbase.com/organization/wellparko,Active,,"Artificial Intelligence (AI), Information Technology, Parking, Real Estate, Software","Vilnius, Vilniaus Apskritis, Lithuania",WellParko is transforming the outdoor parking experience by helping drivers easily finding empty parking slots in real time.,"593,552","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2017-01-01,year,,,,,For Profit,http://wellparko.com/,,https://www.facebook.com/WellParko/,https://www.linkedin.com/company/wellparko/,"WellParko is transforming the outdoor parking experience by helping drivers easily finding empty parking slots in real time. They helps parking companies and municipalities to reduce parking enforcement officers staff count, optimise operations and create additional value. They advanced AI algorithms detect car’s presence in real time. It works perfectly with already pre-installed video surveillance cameras and that results in lower installation costs.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Real Estate, Science and Engineering, Software, Transportation",,1-10,,1,Seed,2017-09-19,,,,Seed,,,,Seed,,,,,,,Startup Wise Guys,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
TrackDuck,https://www.crunchbase.com/organization/trackduck,Closed,,"Enterprise Software, Information Technology, Project Management, SaaS, Small and Medium Businesses, Software, Web Design, Web Development","Vilnius, Vilniaus Apskritis, Lithuania",TrackDuck is a software product company that offers visual feedback tracking services for web development.,"776,121","European Union (EU), Europe, Middle East, and Africa (EMEA)",11341,Less than $1M,2013-03-01,day,2017-05-02,day,,none,For Profit,http://trackduck.com,http://twitter.com/trackduck,http://www.facebook.com/thetrackduck,http://www.linkedin.com/company/trackduck,"Trackduck is a visual feedback and issue tracking solution for small and mid-size wed agencies and freelancers. With TrackDuck clients provide feedback directly in the web site right where they are. Trackduck is also simple to use: few clicks to leave feedback, no installation or learning how to use new software - save from 30-80% time spent on communication.","Administrative Services, Design, Information Technology, Other, Software",3,1-10,"Anton Schevchenko, Edmundas Balčikonis, Yauhen Ivashkevich",2,M&A,2014-03-05,200000,EUR,274721,Seed,200000,EUR,274721,Seed,200000,EUR,274721,230000,EUR,314893,"Practica Capital, Kima Ventures, Finnvera Venture Capital, Startup Sauna",2,4,,Was Acquired,TrackDuck acquired by InVision,https://www.crunchbase.com/acquisition/invisionapp-acquires-trackduck--b9d665dc,InVision,https://www.crunchbase.com/organization/invisionapp,2017-05-02,day,,,,Acquisition,,Private,,,,,,,,,,,
