Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
DataCalculus,https://www.crunchbase.com/organization/datacalculus,Active,,"Analytics, Artificial Intelligence (AI), Data Mining, Data Visualization, Information Technology, Machine Learning, Software","Tallinn, Harjumaa, Estonia",DataCalculus is the most automated software for advanced data analysis and machine learning; democratizing data science globally.,"302,674","European Union (EU), Europe, Middle East, and Africa (EMEA)",10416,$1M to $10M,2019-01-01,year,,,,,For Profit,https://datacalculus.com/,,,https://www.linkedin.com/company/datacalculus/,"DataCalculus is the first software that not only empowers data experts to be four times more productive but also enables the executives to develop AI-Driven strategies in one single day. Now, C-suites and heads of departments can confidently create their action plans by data-validated strategies. This is the most automated software for advanced data analysis and machine learning on the planet. It handles all the complexities behind the scenes and provides the ultimate experience for the end user. It means saving time, money, and human resources for our customers. DataCalculus covers all the major data mining techniques and applications, data visualization, anomaly detection, association rule learning, classification, and clustering. It automatically starts to load and analyzes the data, summarizes and generates a simple and interactive visualization, reports the overall and local statistics of the dataset, and detects the overall anomalies and local outliers.","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",1,11-50,Saeed Talebzadeh,5,Seed,2021-09-13,,,,Pre-Seed,,,,Pre-Seed,,,,,,,"Startup Wise Guys, EXPERT DOJO",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,1
GAUS,https://www.crunchbase.com/organization/gaus,Closed,,"Human Resources, Recruiting, Software","Tallinn, Harjumaa, Estonia",One platform for all junior developers.,"327,116","European Union (EU), Europe, Middle East, and Africa (EMEA)",10141,,2017-01-01,day,,,,none,For Profit,https://gaus.live,https://twitter.com/gausalgorithm,https://www.facebook.com/gausalgorithm/,https://www.linkedin.com/company/15207898/,"We developed a focused platform specially designed for Junior Developers. Technology - We use chatbot for quick user acquisition and basic profile development. Algorithms - We match candidates with the help of tailored IT recruitment algorithm and we track 25+ data points and engagement of candidates throughout. Feedback - Automated and curated recruitment tests, feedback and coaching helps users and candidates understand better the IT job market.","Administrative Services, Professional Services, Software",2,1-10,"Eugeniu Girla, Iulian Gulea",1,Seed,2017-09-19,20000,EUR,23985,Pre-Seed,20000,EUR,23985,Pre-Seed,20000,EUR,23985,20000,EUR,23985,Startup Wise Guys,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,1
UnoRe,https://www.crunchbase.com/organization/unore,Active,,Financial Services,"Tallinn, Harjumaa, Estonia",UnoRe is a risk trading reinsurance platform for the community to invest and trade in risk and receive sizable returns on their investments.,"330,025","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2020-01-01,year,,,,,For Profit,https://unore.io/,https://twitter.com/unoreinsure,,https://www.linkedin.com/company/unore/,,Financial Services,2,1-10,"Jaskanwar Singh, Sujith Sizon",2,Seed,2022-01-01,,,,Seed,,,,Seed,,,,,,,"KuCoin, Almora Capital",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Agrello,https://www.crunchbase.com/organization/agrello,Active,,Information Technology,"Tallinn, Harjumaa, Estonia",An innovative Estonian high-tech company focusing on building borderless networks of trust powered by digital identities and signatures.,"332,419","European Union (EU), Europe, Middle East, and Africa (EMEA)",10126,,2017-01-01,year,,,,,For Profit,https://www.agrello.id,https://twitter.com/agrelloapp,https://www.facebook.com/agrelloapp/,https://www.linkedin.com/company/agrelloapp,"Agrello is an Estonian high-tech company focusing on building borderless networks of trust powered by digital identities and signatures. Agrello’s products are built upon the strong digital identity, that connects the real person verification and strong authentication methods together to provide secure applications for customer on-boarding, secure transactions and electronic signatures. Agrello exists with the mandate to empower the digital economy and the people who drive it.  Founded in 2017, Agrello is one of the earliest companies offering a high degree of security using Blockchain combined with user-friendliness to bridge the gap between the physical and digital world.  Currently, Agrello products are available in App stores and enable people to trust each other regardless of whether or not they have ever met in person.",Information Technology,1,11-50,Hando Rand,1,Seed,2018-06-01,,,,Seed,,,,Seed,,,,,,,KR1,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,2
SpectX,https://www.crunchbase.com/organization/spectx,Active,,"Analytics, Big Data, Cyber Security, Data Mining","Tallinn, Harjumaa, Estonia",SpectX is a powerful analytics platform for instantly processing unlimited amounts of machine data in its original form and location.,"334,111","European Union (EU), Europe, Middle East, and Africa (EMEA)",12618,$1M to $10M,2015-02-01,month,2021-09-14,day,,,For Profit,https://www.spectx.com,https://twitter.com/spectxlab,https://www.facebook.com/SpectX,https://www.linkedin.com/company/spectx,"SpectX is a powerful browser-based analytics platform easy to customize for log analysis, incident analysis, ad hoc data analysis, data discovery and data processing automation. It welcomes unlimited amount of machine data you have available in stores, the cloud or can access publicly. Even the most complicated structures and real-time modified data stay in their original location and are instantly processed in raw, original form. The elegant SQL-like query language and SpectX Pattern Matching Language are easy to learn and allow complex analysis for joining datasets, aggregations, descriptive statistics, correlation analysis and digging into network data. All textual and popular binary formats are supported. What’s more - existing end user applications and existing scripts can easily be integrated with the REST API. SpectX’ insane speed makes data analytics pure fun. Parsing mistakes are no longer a bottleneck to diligently avoid. An error occurred? Simply fix the pattern definition in a matter of moments and run the query again, no need to reload the data. Last but not least - saving and passing on specific queries and analysis methods within an organization is now effortless.","Data and Analytics, Information Technology, Privacy and Security",3,1-10,"Jüri Shamov-Liiver, Mihhail Meshkov, Renee Trisberg",1,M&A,2017-05-25,,,,Seed,,,,Seed,,,,,,,Karma Ventures,1,1,,Was Acquired,SpectX acquired by Dynatrace,https://www.crunchbase.com/acquisition/dynatrace-software-acquires-spectx--8c445eaf,Dynatrace,https://www.crunchbase.com/organization/dynatrace-software,2021-09-14,day,,,,Acquisition,,Private,,,,,,,,,,,1
Analyzify,https://www.crunchbase.com/organization/analyzify,Active,,"Analytics, Data Integration, E-Commerce","Tallinn, Harjumaa, Estonia",Analyzify is a provider of data analytics solutions and apps for Shopify Merchants.,"347,920","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2020-12-01,day,,,,,For Profit,https://analyzify.com,https://twitter.com/analyzify,https://facebook.com/analyzifydata,https://linkedin.com/company/analyzify/,Analyzify empowers Shopify merchants with an accurate and reliable data analytics setup. Analyzify is an all-in-one Shopify data-analytics app that takes care of all of your data collection and tracking needs for your Shopify store.,"Commerce and Shopping, Data and Analytics, Information Technology, Software",1,11-50,Erman Küplü,1,Seed,2022-04-11,,,,Seed,,,,Seed,,,,,,,Calm Company Fund,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Bilance,https://www.crunchbase.com/organization/bilance-33ef,Active,,FinTech,"Tallinn, Harjumaa, Estonia",The app that automates your personal finances.,"356,584","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-01-07,day,,,,,For Profit,https://www.bilanceapp.com/,,,https://www.linkedin.com/company/bilance-technology/,Bilance is a fintech app that is connected to all your banks and other finance platforms. The app gives an overview of all your finances. Tracks your upcoming payments and gives you actionable data insights on what to do better. All that without you having to spend time inputting your transactions.,Financial Services,2,1-10,"Erik Vetemaa, Mihkel Vetemaa",1,Seed,2022-12-05,,,,Seed,,,,Seed,,,,,,,Thorgate Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Stebby,https://www.crunchbase.com/organization/stebby,Active,,"Health Care, Information Technology, InsurTech, Software, Wellness","Tartu, Tartumaa, Estonia",Stebby is an online health and wellness management platform for companies.,"357,470","European Union (EU), Europe, Middle East, and Africa (EMEA)",50411,$1M to $10M,2012-01-01,year,2024-06-27,day,,,For Profit,https://stebby.eu,,https://www.facebook.com/stebby,https://www.linkedin.com/company/stebby/,"Stebby is an online health and wellness management platform for companies. In order to help businesses provide sporting credits to their employees so they can enhance their health and wellness, the business offers internet software that can be utilized in sports clubs, fitness clubs, spas, massage salons, and other locations.","Financial Services, Health Care, Information Technology, Software",1,11-50,Marti Soosaar,2,M&A,2013-08-13,40000,USD,40000,Seed,40000,USD,40000,Seed,40000,USD,40000,40000,USD,40000,"Startup Wise Guys, Start-Up Chile, Startup Wise Guys SaaS Milan",,3,,Was Acquired,Stebby acquired by Up Group,https://www.crunchbase.com/acquisition/up-group-acquires-stebby--cd8b9a25,Up Group,https://www.crunchbase.com/organization/up-group,2024-06-27,day,,,,Acquisition,,Private,,,,,,,,,,,
Lawato,https://www.crunchbase.com/organization/lawato,Active,,"Information Technology, Legal Tech, SaaS, Software","Tallinn, Harjumaa, Estonia",Cloud software that saves time and improves business continuity for growing law firms.,"361,883","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-09-24,day,,,,,For Profit,https://lawato.io/,https://twitter.com/lawato_io,https://www.facebook.com/lawato.io,https://www.linkedin.com/company/lawato,"Cloud software that saves time and improves business continuity for growing law firms. Lawato is a law firm's partner that helps optimize administrative tasks, be it client onboarding, managing cases, sending invoices, tracking time or planning daily activities. By using automation technology, the platform allows law firms to experience seamless data integrity. More information at www.lawato.io","Information Technology, Professional Services, Software",2,11-50,"Paul Opmann, Roman Ivanushkin",1,Seed,2024-03-05,,,,Seed,,,,Seed,,,,,,,Tenity,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Bioreactor,https://www.crunchbase.com/organization/bioreactor,Active,,"Biomass Energy, CleanTech, Energy, Renewable Energy","Tallinn, Harjumaa, Estonia",Biomass Combined Heat & Electric Power Generation,"373,183","European Union (EU), Europe, Middle East, and Africa (EMEA)",10111,,2022-11-04,day,,,,,For Profit,https://bioreactor.energy,https://twitter.com/bioreact,,https://linkedin.com/company/bioreact,"Bioreactor is a revolutionary technology that converts bio waste into clean energy through biomass gasification. It's a sustainable, efficient and cost-effective solution that addresses energy poverty, energy security and climate change. With the use of the latest technology in computational fluid dynamics, cloud-optimized digital twin and deep learning algorithms, the Bioreactor can optimize its performance in real-time over a wide range of fuels and operating conditions. The Bioreactor is a game changer in the energy industry, it can reduce greenhouse gas emissions, drastically lower energy costs, and help to alleviate energy poverty on a national scale.","Energy, Natural Resources, Sustainability",1,1-10,Kim Forsman,1,Seed,2023-02-28,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Grid.vc,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
