Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Marvel,https://www.crunchbase.com/organization/marvel,Active,,"Apps, Product Design, Software","London, England, United Kingdom",Marvel puts the power of design in everyone's hands.,962,"Europe, Middle East, and Africa (EMEA)",EC2A 2BE,$10M to $50M,2013-01-01,year,,,,,For Profit,https://marvelapp.com/,https://twitter.com/marvelapp,https://www.facebook.com/marvelapp,https://www.linkedin.com/company/marvel-app/,"Bringing the world's ideas to life. Started as a side-project in 2013, we're now home to nearly 2 million individuals and teams around the world who use Marvel to make ideas a reality.","Apps, Design, Software",3,11-50,"Brendan Moore, Jonathan Siao, Murat Mutlu",4,Early Stage Venture,2016-12-08,4000000,GBP,5032377,Series A,4000000,GBP,5032377,Series A,7953471,USD,7953471,7953471,USD,7953471,"Index Ventures, Haatch, Uncork Capital, Business Growth Fund, Connect Ventures",3,11,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Oxa,https://www.crunchbase.com/organization/oxbotica-ltd,Active,,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Insurance, InsurTech, Software","Oxford, Oxfordshire, United Kingdom",Oxa is a software development firm that offers autonomous vehicle software for businesses.,"1,996","Europe, Middle East, and Africa (EMEA)",OX4 2HW,$50M to $100M,2014-01-01,year,,,,,For Profit,https://oxa.tech,https://twitter.com/Oxa_UA,,https://www.linkedin.com/company/oxbotica/,"Oxbotica develops autonomous vehicle software. They provide autonomy software that has low compute power requirements. They use laser vision and radar for localization, redundancy, and cloud management services that enable businesses to help bring autonomy to vehicles.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software, Transportation",2,251-500,"Ingmar Posner, Paul Newman",8,Late Stage Venture,2023-01-10,115000000,GBP,139759516,Series C,115000000,GBP,139759516,Series C,173000000,GBP,218263481,181600000,GBP,229252239,"Google, Tencent, Parkwalk Advisors, Innovate UK, BP Ventures",6,19,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Carwow,https://www.crunchbase.com/organization/carwow,Active,,"Automotive, Marketplace, Transaction Processing","London, England, United Kingdom","Carwow is an online car marketplace that connects customers, automotive brands and car dealers.","2,494","Europe, Middle East, and Africa (EMEA)",SW1E 5DH,Less than $1M,2013-01-01,year,,,,,For Profit,https://www.carwow.co.uk,https://twitter.com/carwowuk,https://www.facebook.com/carwowuk,https://www.linkedin.com/company/carwow,Carwow is the smart way to choose and buy a new car. The company helps to connect car buyers to car dealers to make the process as efficient and cost-effective as possible while enabling consumers to interact with an official dealer throughout the transaction process. The company's dealer partners sell more cars in the showroom alone while reducing cost inefficiencies and improving stock turnover.,"Commerce and Shopping, Financial Services, Payments, Software, Transportation",3,101-250,"Alexandra Margolis, David Santoro, James Hind",13,,2024-07-15,52000000,USD,52000000,Venture - Series Unknown,52000000,USD,52000000,Venture - Series Unknown,180968093,USD,180968093,235744300,USD,235744300,"Accel, Bessemer Venture Partners, Vitruvian Partners, Balderton Capital, Episode 1",9,18,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Signal AI,https://www.crunchbase.com/organization/signal-media-ltd,Active,,"Artificial Intelligence (AI), Business Intelligence, Enterprise Software, Machine Learning","London, England, United Kingdom",Transforming decision making for business leaders through augmented AI,"2,589","Europe, Middle East, and Africa (EMEA)",EC1Y 8RN,$1M to $10M,2013-01-01,year,,,,,For Profit,http://www.signal-ai.com,https://twitter.com/SignalHQ,,https://www.linkedin.com/company/signal-artificial-intelligence/,"We're on a mission is to uncover the ‘unknown unknowns’ facing businesses today, highlighting the risks and opportunities so leaders can take effective action. Signal is a revolutionary technology platform built for analysing text and discovering market intelligence, developed in partnership with the world's leading academics. The AIQ aggregates, analyses, and provides business leaders with insights into digital, print and broadcast media, news, and regulatory data. Signal AI’s machine learning enables businesses to track their competitive landscape, changes to regulation, and monitor their reputation—empowering them to make smarter, faster business decisions. The company was founded in 2013 and is headquartered in London, England, United Kingdom.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,101-250,"David Benigson, Miguel Martinez, Wesley Hall",10,Late Stage Venture,2021-12-15,50000000,USD,50000000,Series D,50000000,USD,50000000,Series D,101600000,USD,101600000,101600000,USD,101600000,"LocalGlobe, Highland Europe, Mercuri, Kreos Capital, Frontline Ventures",7,21,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Cytora,https://www.crunchbase.com/organization/cytora,Active,,"Commercial Insurance, Information Technology, Insurance, InsurTech, Risk Management, Software","London, England, United Kingdom","Cytora is a configurable platform that enables commercial insurers to create digital workflows by digitising, evaluating and routing risks.","3,119","Europe, Middle East, and Africa (EMEA)",EC1V 0LN,$10M to $50M,2014-01-01,year,,,,,For Profit,http://www.cytora.com/,https://www.twitter.com/cytora,https://www.facebook.com/Cytora-1726485197478709/,https://www.linkedin.com/company/cytora,"Cytora is a configurable platform that enables commercial insurers to process risks at greater efficiency and accuracy. Cytora digitises every incoming risk, augments them with additional data sources, evaluates them against multiple rules, including appetite and priority rules, and routes them to downstream systems for automated or manual underwriting. Cytora was founded in 2014 and is headquartered in London.","Financial Services, Information Technology, Professional Services, Software",4,51-100,"Aeneas Wiener, Andre Alzamora, Joshua Wallace, Richard Hartley",6,Early Stage Venture,2019-04-16,25000000,GBP,32610468,Series B,25000000,GBP,32610468,Series B,41430336,USD,41430336,41430336,USD,41430336,"EQT Ventures, Parkwalk Advisors, Cambridge Innovation Capital, MassChallenge, QBE Ventures",3,15,,,,,,,,,,,,,,Private,,,,,,,,,,,2
Genomics,https://www.crunchbase.com/organization/genomics,Active,,"Biopharma, Biotechnology, Genetics, Health Care, Life Science, Medical, Therapeutics","Oxford, Oxfordshire, United Kingdom",Genomics plc aiming to lead the genomic transformation of healthcare.,"3,146","Europe, Middle East, and Africa (EMEA)",OX1 1JD,$10M to $50M,2014-01-01,year,,,,,For Profit,http://www.genomicsplc.com,https://twitter.com/genomicsplc,,https://www.linkedin.com/company/genomics-ltd/jobs/,"Genomics plc aiming to lead the genomic transformation of healthcare, to develop and apply sophisticated analyses of massive integrated genomic and phenotypic datasets to learn about human biology and reveal the human wiring diagram They will lead the way through this challenge, using their expertise and experience to unleash the potential of genomics and set the standards by which organisations and patients can benefit from genomic data.","Biotechnology, Health Care, Science and Engineering",4,101-250,"Chris Spencer, Gerton Lunter, Gil McVean, Peter Donnelly",8,Late Stage Venture,2024-01-08,35000000,GBP,44596554,Series C,35000000,GBP,44596554,Series C,132447578,USD,132447578,135425098,USD,135425098,"Foresite Capital, Invesco, Oxford Science Enterprises, Vertex Pharmaceuticals, Salica",4,16,,,,,,,,,,,,,,Private,,,,,,,,,,,
Beamery,https://www.crunchbase.com/organization/beamery,Active,,"Enterprise Software, Human Resources, Marketing Automation, Recruiting, SaaS","London, England, United Kingdom","Beamery is a talent acquisition, engagement, and retention platform that manages sourcing, hiring, and retaining of people.","3,353","Europe, Middle East, and Africa (EMEA)",EC2A 1NS,$1M to $10M,2014-01-01,year,,,,,For Profit,http://beamery.com,http://twitter.com/beameryHQ,https://www.facebook.com/beameryhq,https://www.linkedin.com/company/beamery/,"Beamery is a talent acquisition, engagement, and retention platform that manages sourcing, hiring, and retaining of people. It helps companies attract, identify, and engage with candidates on one unified platform, to deliver better talent acquisition - at scale. Beamery provides the modern enterprise and its talent acquisition teams with all the tools they need to hire better, faster, and smarter than ever before by delivering exceptional candidate experiences and engaging with talent proactively across every part of the candidate journey.","Administrative Services, Professional Services, Sales and Marketing, Software",3,251-500,"Abakar Saidov, Michael Paterson, Sultan Murad Saidov",7,Late Stage Venture,2024-10-29,,,,Debt Financing,50000000,USD,50000000,Series D,223000000,USD,223000000,223000000,USD,223000000,"EQT Ventures, LocalGlobe, Index Ventures, Workday Ventures, CIBC Innovation Banking",6,15,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,2
Adaptavate,https://www.crunchbase.com/organization/adaptavate,Active,,"Building Material, Real Estate","Stonehouse, Gloucestershire, United Kingdom",Adaptavate is focussing on developing and commercialising material solutions that disrupt the conventional construction industry.,"3,511","Europe, Middle East, and Africa (EMEA)",GL10 2BB,$1M to $10M,2014-01-01,year,,,,,For Profit,http://www.adaptavate.com/,https://www.twitter.com/adaptavate,https://www.facebook.com/adaptavate,,Adaptavate is focussing on developing and commercialising material solutions that disrupt the conventional construction industry.,Real Estate,1,11-50,Thomas Robinson,4,Seed,2025-04-23,2700000,GBP,3588150,Seed,2700000,GBP,3588150,Seed,6860000,GBP,8986503,7660000,GBP,10038097,"SkreenHouse Ventures, Innovate UK, Counteract, Undivided, Low Carbon Innovation Fund",5,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ultraleap,https://www.crunchbase.com/organization/ultraleap,Active,,"Augmented Reality, Automotive, Consumer Electronics, Digital Signage, Electronics, Hardware, Retail Technology, Software, Software Engineering, Virtual Reality","Bristol, Bristol, City of, United Kingdom",Ultraleap is working to create the most remarkable connection between people and technology.,"3,881","Europe, Middle East, and Africa (EMEA)",BS2 0EL,$1M to $10M,2013-01-01,year,,,,,For Profit,https://www.ultraleap.com,https://twitter.com/ultraleap,https://www.facebook.com/Ultraleap,https://www.linkedin.com/company/ultraleap,"Ultraleap is the world leader in mid-air haptics and 3D hand tracking. The company's breakthrough haptic technology (previously Ultrahaptics) uses ultrasound to create rich, three-dimensional shapes and textures that can be felt, but not seen.","Commerce and Shopping, Consumer Electronics, Hardware, Sales and Marketing, Science and Engineering, Software, Transportation",2,101-250,"Sriram Subramanian, Tom Carter",8,Late Stage Venture,2021-11-17,60000000,GBP,80936489,Series D,60000000,GBP,80936489,Series D,123600000,GBP,165120095,166806615,USD,166806615,"Tencent, Mayfair Equity Partners, IP Group, Hostplus, Woodford Investment Management",8,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,10
Prolific,https://www.crunchbase.com/organization/prolific-academic,Active,,"Crowdsourcing, Market Research, Product Research, Psychology","Oxford, Oxfordshire, United Kingdom",Building the most advanced global infrastructure for People Science.,"4,142","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2014-04-10,day,,,,,For Profit,https://www.prolific.com/,https://twitter.com/prolific,https://www.facebook.com/prolificac,https://www.linkedin.com/company/prolific-academic,"Prolific empowers great research. they enable fast, reliable, and high quality data collection by connecting diverse people around the world. their mission is to make trustworthy data more accessible in order to help improve human knowledge and decision-making.","Data and Analytics, Design, Health Care, Other",3,101-250,"Ekaterina Damer, Jim Moodie, Phelim Bradley",2,Early Stage Venture,2023-07-11,25000000,GBP,32335001,Series A,25000000,GBP,32335001,Series A,33535001,USD,33535001,33535001,USD,33535001,"Y Combinator, Partech, Pioneer Fund, Oxford Science Enterprises, AltaIR Capital",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
