Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Multiverse,https://www.crunchbase.com/organization/multiverse-io,Active,,"Career Planning, Corporate Training, EdTech, Training","London, England, United Kingdom",Multiverse is a tech startup that matches talent who have not graduated from college with apprenticeship opportunities.,618,"Europe, Middle East, and Africa (EMEA)",W1U 6QQ,$500M to $1B,2016-01-01,year,,,,,For Profit,https://www.multiverse.io,https://twitter.com/JoinMultiverse,https://www.facebook.com/JoinMultiverse,https://www.linkedin.com/company/joinmultiverse,Multiverse is a tech startup that seeks to provide an alternative to university training. Multiverse ensures young people have access to the best career-focused apprenticeships on offer. Multiverse empowers and supports people to create their own realities as they journey through a fulfilling career. Multiverse is a true alternative to a one-track university route and often uninspiring corporate training.,"Education, Professional Services, Software",2,501-1000,"Euan Blair, Sophie Adelman",6,,2024-04-08,4973949,USD,4973949,Venture - Series Unknown,4973949,USD,4973949,Venture - Series Unknown,418973949,USD,418973949,418973949,USD,418973949,"StepStone Group, General Catalyst, Lightspeed Venture Partners, Village Global, 23andMe",6,22,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
TrueLayer,https://www.crunchbase.com/organization/truelayer,Active,,"Banking, Developer Tools, Financial Services, FinTech, Payments","London, England, United Kingdom","TrueLayer powers smarter, safer and faster online payments by combining real-time bank payments with financial and identity data.",932,"Europe, Middle East, and Africa (EMEA)",EC1R 4RB,$10M to $50M,2016-01-01,year,,,,,For Profit,https://truelayer.com,https://twitter.com/truelayer,https://www.facebook.com/TrueLayerAPI,https://www.linkedin.com/company/truelayer,"TrueLayer powers smarter, safer and faster online payments by combining real-time bank payments with financial and identity data. Businesses big and small use their products to onboard new users, accept money and make payouts in seconds, and at scale. TrueLayer is live across 21 countries and over 10 million users trust us to process their transactions. Though, they’re not stopping here. They’re on a mission to change the way the world pays.","Financial Services, Lending and Investments, Payments, Software",2,251-500,"Francesco Simoneschi, Luca Martinetti",8,Late Stage Venture,2024-10-04,50000000,USD,50000000,Series E,50000000,USD,50000000,Series E,321484591,USD,321484591,321484591,USD,321484591,"Temasek Holdings, Northzone, Tiger Global Management, Tencent, Anthemis",7,24,,,,,,,,,,,,,,Private,,,,,,,,,,,4
Cera,https://www.crunchbase.com/organization/cera,Active,,"Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, Mobile Apps, Outpatient Care, Personal Health, Predictive Analytics","London, England, United Kingdom",Cera is Europe’s largest provider of digital-first home healthcare,"1,810","Europe, Middle East, and Africa (EMEA)",NW1 8NZ,$500M to $1B,2016-01-01,year,,,,,For Profit,https://www.cerahq.com/,https://twitter.com/cera_care,https://www.facebook.com/CeraCareOfficial/,https://www.linkedin.com/company/ceracare,"Founded in 2016, Cera is is Europe’s largest provider of digital-first home healthcare, harnessing technology to bring care directly to homes, providing higher quality services at a fraction of the cost. Cera’s 10,000+ carers and nurses provide 60,000 in-person appointments a day, delivering high quality tech-enabled care to the people who need it most.  Cera has also gathered one of the largest home healthcare datasets globally, powering the development of cutting-edge AI products that have reduced hospitalisations by up to 70%. Cera’s pioneering approach has been recognised by numerous industry awards including Home Care Awards’ Most Outstanding Home Care Provider, a top-ten position in Deloitte Fast 50 for three consecutive years, and the prestigious Great British Entrepreneur of the Year award in 2023. Cera was co-founded by entrepreneur, physician and policy expert Dr Ben Maruthappu MBE. Its Advisory Board is Chaired by Sir David Behan, the former CEO of the Care Quality Commission.","Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",3,5001-10000,"Mahiben Maruthappu, Marek Sacha, Martin Ocenas",11,,2025-01-12,150000000,USD,150000000,Debt Financing,,,,Venture - Series Unknown,248885223,USD,248885223,556680172,USD,556680172,"BDT & MSD Partners, Schroders Capital, Credo Ventures, Kairos HQ, Oltre Impact",5,18,,,,,,,,,,,,,,Private,,,,,,,,,,,
Vortexa,https://www.crunchbase.com/organization/vortexa,Active,,"Analytics, Energy, Industrial, Trading Platform","London, England, United Kingdom",Vortexa provides a real-time data and analytics platform for energy and freight industries.,"1,871","Europe, Middle East, and Africa (EMEA)",EC3N 1LJ,$10M to $50M,2016-01-01,year,,,,,For Profit,http://www.vortexa.com,https://twitter.com/Vortexa,https://www.facebook.com/vortexaVTX,https://www.linkedin.com/company/vortexa,"Vortexa provides a real-time data and analytics platform for energy and freight industries. The company covers all vessel classes of crude oil, refined products, LPG, and LNG. It helps traders, analysts, and freight professionals gain a competitive edge in complex and opaque markets by confidently making trading decisions. Its platform uses artificial intelligence to analyze and interpret data and absorb data points from multiple sources to show oil's past, present, and future flow worldwide.","Data and Analytics, Energy, Financial Services, Lending and Investments, Manufacturing",2,101-250,"Etienne Amic, Fabio Kuhn",7,Late Stage Venture,2024-10-22,23000000,EUR,24830264,Debt Financing,34000000,USD,34000000,Series C,57988521,USD,57988521,82818785,USD,82818785,"Notion Capital, FJ Labs, CIBC Innovation Banking, monashees, Mosaic Ventures",5,9,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Cloudsmith,https://www.crunchbase.com/organization/cloudsmith-io,Active,,"Cloud Computing, Cloud Storage, Content Delivery Network, Cyber Security, Developer Tools, Enterprise Software, SaaS, Security, Software","Belfast, Belfast, United Kingdom",Cloudsmith is a cloud-native platform that serves as a centralized solution for managing and distributing software assets or artifacts.,"1,933","Europe, Middle East, and Africa (EMEA)",BT1 6JH,$1M to $10M,2016-01-01,day,,,,,For Profit,https://cloudsmith.com,https://twitter.com/cloudsmith,https://www.facebook.com/cloudsmith.io,https://www.linkedin.com/company/cloudsmith,"Cloudsmith is a software development tool and service that provides a cloud-native, universal package management solution. Cloudsmith supports a wide range of package formats, making it a versatile solution for managing packages across various ecosystems, such as npm, Docker, Maven, PyPI, RubyGems, Debian, and more. It provides features for securing your packages and repositories. This includes access controls, authentication mechanisms, and the ability to integrate with identity providers for user management. Cloudsmith offers tools for discovering and searching artifacts within repositories, making it easier for developers to find and use the packages they need.","Content and Publishing, Information Technology, Internet Services, Privacy and Security, Software",2,51-100,"Alan Carson, Lee Skillen",5,Early Stage Venture,2025-03-03,21900000,EUR,22963365,Series B,21900000,EUR,22963365,Series B,52047536,USD,52047536,52047536,USD,52047536,"Insight Partners, Sorenson Capital, Tiger Global Management, TCV, Shasta Ventures",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
TransFICC,https://www.crunchbase.com/organization/transficc,Active,,"Electronics, Financial Services, FinTech, Trading Platform","London, England, United Kingdom",TransFICC is an e-trading technology company for banks and asset managers trading in Fixed Income and Derivatives markets.,"2,028","Europe, Middle East, and Africa (EMEA)",EC2M 6UR,$50M to $100M,2016-03-01,month,,,,,For Profit,https://www.transficc.com,https://twitter.com/TransFICC,,https://www.linkedin.com/company/10453689/,"TransFICC is an e-trading technology company providing low latency connectivity for banks and asset managers trading in Fixed Income and Derivatives markets. The company resolves the problem of fragmentation in the fixed income and derivatives markets.  It does three things such as translates Execution Venue API’s to a single API. Clients connect once to TransFICC's unified API, and TransFICC manages connectivity with the electronic venues from that point, uses low-latency, scalable and secure technology, essential to keep pace with price updates and not get beaten to trade by high-frequency trading firms, and provides timestamps for price and order messages. Measured in microseconds, timestamps record when data arrives at the bank or asset manager, helping to provide an audit trail, which supports Best Execution. TransFICC makes it easier to upgrade when venues change their application programming interfaces, compared with the enterprise systems of legacy firms, the firm claims. It also focuses solely on the business of providing market access. TransFICC was founded in 2016 and is based in London, England, United Kingdom.","Consumer Electronics, Financial Services, Hardware, Lending and Investments",3,11-50,"Judd Gaddie, Steve Toland, Tom McKee",6,Early Stage Venture,2025-04-09,25000000,USD,25000000,Series B,25000000,USD,25000000,Series B,49234215,USD,49234215,49234215,USD,49234215,"HSBC, Citi, Citadel Securities, BlackFin Capital Partners, Illuminate Financial",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
Castore,https://www.crunchbase.com/organization/castore,Active,,"Brand Marketing, Sports, Wearables","London, England, United Kingdom",Castore is a premium brand that makes sportswear specifically for men.,"2,052","Europe, Middle East, and Africa (EMEA)",,$100M to $500M,2016-01-01,year,,,,,For Profit,https://castore.com,https://twitter.com/castoresport,https://www.facebook.com/castoresportswear,https://www.linkedin.com/company/castore-sportswear,"Castore has been created to bring a new level of performance to men’s sportswear. They are the world’s first premium sportswear brand specifically for men, targeting only the most discerning athletes who value the attention to detail and precision performance features that underpin all garments. The Castore brand DNA lies in an unrelenting focus on technical innovation to create the most advanced products for those individuals who simply cannot settle for second best.","Consumer Electronics, Hardware, Sales and Marketing, Sports",2,101-250,"Philip Beahon, Thomas Beahon",3,Private Equity,2023-11-29,145000000,GBP,184082103,Private Equity,145000000,GBP,184082103,Private Equity,148200000,GBP,188325837,198200000,GBP,246150028,"HSBC, Raine Ventures, Felix Capital, Hanaco Venture Capital, Silicon Valley Bank",2,9,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
9fin,https://www.crunchbase.com/organization/9fin,Active,,"Analytics, Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning","London, England, United Kingdom",9fin is an AI-powered analytics platform designed for credit analysis and mandate acquisition.,"2,325","Europe, Middle East, and Africa (EMEA)",EC3A 3DE,$50M to $100M,2016-10-28,day,,,,,For Profit,https://9fin.com,https://twitter.com/9finHQ,https://www.facebook.com/9finHQ,https://www.linkedin.com/company/9fin,"9fin provides data and analytics for the credit markets. It offers tools for users to analyze financial information and assess risks. The service supports professionals in making informed decisions and collaboration among teams. 9fin serves industries such as finance, investment banking, and asset management.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,101-250,"Huss EL-Sheikh, Steven Hunter",6,Early Stage Venture,2024-12-02,50000000,USD,50000000,Series B,50000000,USD,50000000,Series B,87164459,USD,87164459,87164459,USD,87164459,"500 Global, Spark Capital, Fly Ventures, Mubadala, Highland Europe",6,16,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Diffblue,https://www.crunchbase.com/organization/diffblue,Active,,"Artificial Intelligence (AI), Developer Tools, Generative AI, Software","Oxford, Oxfordshire, United Kingdom",Diffblue is a developer of automated testing software that enhances Java development by automatically generating unit tests.,"2,916","Europe, Middle East, and Africa (EMEA)",OX1 2JW,$10M to $50M,2016-01-01,month,,,,,For Profit,https://www.diffblue.com,https://twitter.com/diffbluehq,https://www.facebook.com/AIforCode,https://www.linkedin.com/company/diffblue,"Diffblue is a developer of automated testing software that enhances Java development by automatically generating unit tests.  The company is a spin-out of the AI research group at Oxford, its automated code-writing capability has far-reaching potential and will eventually transform how software is written. Initially, Diffblue’s technology was deployed to save developers time and ensure robustness in one of software development's most tedious and time-consuming areas: writing unit tests. Diffblue's product stands out from code suggestion tools in that it works completely autonomously, using reinforcement learning to write fully formed tests that are guaranteed to compile, run, and find bugs.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,101-250,"Daniel Kroening, Peter Schrammel",6,Early Stage Venture,2025-03-31,1000000,GBP,1294643,Grant,6300000,USD,6300000,Series A,42127130,USD,42127130,43421773,USD,43421773,"Parkwalk Advisors, Oxford Science Enterprises, Innovate UK, GS Growth, IP Group",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,5
OnBuy,https://www.crunchbase.com/organization/onbuy,Active,,"Consumer Goods, E-Commerce, Marketplace, Retail","Bournemouth, Bournemouth, United Kingdom",OnBuy is an online marketplace that rewards loyalty.,"3,277","Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2016-11-07,day,,,,,For Profit,https://www.onbuy.com,https://twitter.com/onbuy,https://www.facebook.com/OnBuyGB,https://uk.linkedin.com/company/onbuy,OnBuy is a global online marketplace that rewards customers for their loyalty through cashback,"Commerce and Shopping, Consumer Goods",1,101-250,Cas Paton,5,Early Stage Venture,2021-07-13,35000000,GBP,48317515,Series A,35000000,GBP,48317515,Series A,44300000,GBP,60113209,44300000,GBP,60113209,"Fuel Ventures, Pario Ventures, Bring Ventures, Knut Frängsmyr, Richard Goulding",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
