Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Grant - Innovatium,https://www.crunchbase.com/funding_round/innovatium-grant--958a2855,Innovatium,https://www.crunchbase.com/organization/innovatium,Grant,2025-07-15,3000000,GBP,4032226,,Scottish National Investment Bank,"Hitachi Industrial Equipment Systems, Scottish National Investment Bank","1,712",,,,,Innovatium is a technology company that focuses on renewable energy.,"Energy, Industrial Manufacturing, Machinery Manufacturing, Renewable Energy","Glasgow, Glasgow City, United Kingdom, Europe",https://www.innovatium.co.uk,$1M to $10M,3900000,GBP,5217456,Seed,2,2,,No,
Grant - Wayve,https://www.crunchbase.com/funding_round/wayve-9739-grant--016e3950,Wayve,https://www.crunchbase.com/organization/wayve-9739,Grant,2025-07-28,,,,,Innovate UK,Innovate UK,"2,281",,,,,"Wayve develops Embodied AI technology for autonomous driving, focusing on vehicle navigation and control.","Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning","London, England, United Kingdom, Europe",https://wayve.ai,$1M to $10M,1261599904,USD,1261599904,Late Stage Venture,9,1,,No,
Grant - Proteine Resources,https://www.crunchbase.com/funding_round/proteine-resources-grant--94f53b5a,Proteine Resources,https://www.crunchbase.com/organization/proteine-resources,Grant,2025-06-24,,,,,EIC Accelerator,EIC Accelerator,"2,902",,,,,Insect proteins with medical properties for poultry and pets,"Biotechnology, Health Care, Industrial, Manufacturing","Maslomiaca, Malopolskie, Poland, Europe",https://www.proteineresources.com,,13536564,USD,13536564,,4,1,,No,
Grant - SOLO Workout (Heavy Kinematic Machines),https://www.crunchbase.com/funding_round/heavy-kinematic-machines-grant--67563608,SOLO Workout (Heavy Kinematic Machines),https://www.crunchbase.com/organization/heavy-kinematic-machines,Grant,2025-07-15,10500000,PLN,2883459,,PARP,PARP,"4,321",,,,,Heavy Kinematic Machines has developed an app called SOLO which enables the user to track workouts and maintain a record of training & time.,"Consumer Electronics, Fitness, Hardware, Health Care, Internet of Things, Machine Learning, Software, Wellness","Wolsztyn, Wielkopolskie, Poland, Europe",https://soloworkout.com/,Less than $1M,6759227,USD,6759227,Seed,9,1,,No,
Grant - RoboK,https://www.crunchbase.com/funding_round/robok-grant--335eaa6f,RoboK,https://www.crunchbase.com/organization/robok,Grant,2025-01-08,1100000,CAD,765065,,UK Research and Innovation,UK Research and Innovation,"16,222",,,,,RoboK is a computer vision startup with a mission to make all industrial workplaces safe and high-performing with AI.,"Artificial Intelligence (AI), Computer Vision, Industrial, Ports and Harbors, Software","Cambridge, Cambridgeshire, United Kingdom, Europe",http://www.robok.ai,$1M to $10M,4874337,USD,4874337,Seed,4,1,,No,
Grant - Age Labs,https://www.crunchbase.com/funding_round/age-labs-grant--2d8f5d92,Age Labs,https://www.crunchbase.com/organization/age-labs,Grant,2024-12-17,,,,,Eurostars,Eurostars,"21,776",,,,,Age Labs is a molecular diagnostics company focused on reducing the cost of developing drugs by accurately measuring your biological age.,"Biotechnology, Health Care","Oslo, Oslo, Norway, Europe",http://agelabs.com/,$1M to $10M,2011228,USD,2011228,Seed,3,1,,No,
Grant - Gleamer,https://www.crunchbase.com/funding_round/gleamer-grant--ffc04db4,Gleamer,https://www.crunchbase.com/organization/gleamer,Grant,2024-12-04,4500000,EUR,4730518,,,"France 2030, Ministère délégué chargé de l’Égalité femmes","22,242",,,,,Gleamer develops medical grade AI for Radiology,"Artificial Intelligence (AI), Software","Paris, Ile-de-France, France, Europe",http://www.gleamer.ai/,$10M to $50M,44721749,USD,44721749,Early Stage Venture,5,2,,No,
Grant - Daphne Technology,https://www.crunchbase.com/funding_round/daphne-technology-sa-grant--10484bba,Daphne Technology,https://www.crunchbase.com/organization/daphne-technology-sa,Grant,2025-01-16,,,,,US Department of Energy,US Department of Energy,"23,761",,,,,"Daphne Technology is a developer of a sustainable, technically advanced and cost efficient air emissions control system.","Clean Energy, CleanTech, Marine Transportation, Nanotechnology, Power Grid, Shipping","Saint-sulpice, Vaud, Switzerland, Europe",http://www.daphnetechnology.com,$10M to $50M,28127294,USD,28127294,,16,1,,No,
Grant - Verto,https://www.crunchbase.com/funding_round/vertofx-grant--ef76dcb7,Verto,https://www.crunchbase.com/organization/vertofx,Grant,2024-10-16,100000,USD,100000,,Milken-Motsepe Innovation Prize Program,Milken-Motsepe Innovation Prize Program,"24,838",,,,,We power cross‑border payments for the world’s fastest‑growing startups and enterprises.,"Finance, Financial Services, FinTech, Payments, Small and Medium Businesses","London, England, United Kingdom, Europe",https://www.vertofx.com/,$1M to $10M,12350000,USD,12350000,Early Stage Venture,5,1,,No,
Grant - Cortirio,https://www.crunchbase.com/funding_round/cortirio-grant--279c7ed7,Cortirio,https://www.crunchbase.com/organization/cortirio,Grant,2024-03-20,,,,,Innovate UK,Innovate UK,"32,171",,,,,Cortirio is a portable diagnosis of brain injuries.,"Health Care, Medical Device","London, England, United Kingdom, Europe",https://cortirio.com,Less than $1M,,,,Seed,2,1,,No,
Grant - NYM Technologies SA,https://www.crunchbase.com/funding_round/nym-technologies-grant--27177143,NYM Technologies SA,https://www.crunchbase.com/organization/nym-technologies,Grant,2024-02-13,150000,USD,150000,,Zcash Open Major Grants,Zcash Open Major Grants,"31,654",,,,,NYM Technologies SA is a privacy-centric startup,"Blockchain, Information Technology, Messaging, Privacy, Security","Neuchâtel, Neuchatel, Switzerland, Europe",https://nymtech.net/,$1M to $10M,27950000,USD,27950000,Seed,6,1,,No,
Grant - SNIPR Biome,https://www.crunchbase.com/funding_round/snipr-biome-grant--148de945,SNIPR Biome,https://www.crunchbase.com/organization/snipr-biome,Grant,2024-06-28,,,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,"31,672",,,,,SNIPR Biome is a operator of a discovery stage biotech company intended to revolutionize the treatment of microbial diseases.,"Biometrics, Biotechnology, Health Care","Copenhagen, Hovedstaden, Denmark, Europe",https://www.sniprbiome.com,$1M to $10M,62577194,USD,62577194,Early Stage Venture,5,1,,No,
Grant - Phytoform Labs,https://www.crunchbase.com/funding_round/phytoform-labs-grant--1c72170a,Phytoform Labs,https://www.crunchbase.com/organization/phytoform-labs,Grant,2024-05-21,1000000,GBP,1271013,,UK Government,UK Government,"31,936",,,,,Phytoform Labs is a biotechnology company that focuses on resilient and sustainable crops.,"Agriculture, AgTech, Biotechnology, Genetics, Life Science","Salisbury, Wiltshire, United Kingdom, Europe",https://www.phytoformlabs.com,$1M to $10M,12472511,USD,12472511,Seed,5,1,,No,
Grant - Elinta Motors,https://www.crunchbase.com/funding_round/elinta-motors-grant--96c0b1c1,Elinta Motors,https://www.crunchbase.com/organization/elinta-motors,Grant,2024-06-10,2575750,EUR,2772396,,,,"38,581",,,,,In-house developed and manufactured powerful e-drivetrain components and battery systems for commercial vehicles,"Automotive, Electric Vehicle, Electronics","Kauno, Kauno Apskritis, Lithuania, Europe",http://www.elintamotors.com,$1M to $10M,9157750,EUR,9688130,,7,,,No,
