Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Grant - Cellugy,https://www.crunchbase.com/funding_round/cellugy-grant--a40d7ce9,Cellugy,https://www.crunchbase.com/organization/cellugy,Grant,2025-06-24,8100000,EUR,9387669,,European Commission,European Commission,637,,,,,Cellugy is a biotechnology startup that produces biofabricated cellulose materials to replace petrochemicals in the personal care sector.,"Biotechnology, Industrial Manufacturing, Manufacturing","Århus, Midtjylland, Denmark, Europe",https://www.cellugy.com/,$1M to $10M,17551860,USD,17551860,Seed,3,1,,No,
Grant - TargED Biopharmaceuticals,https://www.crunchbase.com/funding_round/targed-biopharmaceuticals-grant--e402c631,TargED Biopharmaceuticals,https://www.crunchbase.com/organization/targed-biopharmaceuticals,Grant,2025-06-24,2500000,EUR,2903105,,EIC Accelerator,EIC Accelerator,"4,956",,,,,TargED Biopharmaceuticals is a biotechnology company that develops first-in-class biological drugs to improve treatment of thrombosis.,"Biopharma, Biotechnology, Health Care, Pharmaceutical","Utrecht, Utrecht, The Netherlands, Europe",https://www.targedbiopharmaceuticals.com/,$1M to $10M,52850000,EUR,60277691,,4,1,,No,
Grant - Growappy,https://www.crunchbase.com/funding_round/growappy-grant--5e4eaa9a,Growappy,https://www.crunchbase.com/organization/growappy,Grant,2025-06-17,120000,EUR,138810,,Lisboa Innovation for All,Lisboa Innovation for All,"5,962",,,,,Growappy is an all-in-one platform for early education that is leading a vision to unlock personalized education with the power of AI,"EdTech, Education","Cascais, Lisboa, Portugal, Europe",https://www.growappy.com,,970000,EUR,1025487,Seed,2,1,,No,
Grant - Geyser Batteries,https://www.crunchbase.com/funding_round/geyser-batteries-grant--e8c276ef,Geyser Batteries,https://www.crunchbase.com/organization/geyser-batteries,Grant,2025-06-24,,,,,EIC Accelerator,EIC Accelerator,"6,313",,,,,Safe and sustainable batteries for heavy-duty applications,"Battery, Energy Storage, Manufacturing","Helsinki, Southern Finland, Finland, Europe",https://www.geyserbatteries.com/,$1M to $10M,2100000,EUR,2440743,Seed,6,1,,No,
Grant - Photosynthetic,https://www.crunchbase.com/funding_round/photosynthetic-grant--c0b854d9,Photosynthetic,https://www.crunchbase.com/organization/photosynthetic,Grant,2025-06-24,,,,,European Innovation Council,European Innovation Council,"6,875",,,,,"Photosynthetic believe in bringing humanity forward through innovation and making our products versatile yet reliable, ready for scale.",Manufacturing,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://photosynthetic.nl/,,200000,USD,200000,Seed,4,1,,No,
Grant - Green Bioactives,https://www.crunchbase.com/funding_round/green-bioactives-grant--8a45a929,Green Bioactives,https://www.crunchbase.com/organization/green-bioactives,Grant,2025-04-02,1097016,GBP,1431127,,Scottish Enterprise,Scottish Enterprise,"12,899",,,,,"Green Bioactives is a sustainable, plant cell-based biomanufacturing platform for plant biomolecules, utilising natural plant biochemistry.",Biotechnology,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",https://www.green-bioactives.com,Less than $1M,3697016,GBP,4643478,Seed,2,1,,No,
Grant - Chromatwist,https://www.crunchbase.com/funding_round/chromatwist-grant--1d8e2105,Chromatwist,https://www.crunchbase.com/organization/chromatwist,Grant,2024-11-20,,,,,Innovate UK,Innovate UK,"24,452",,,,,Chromatwist Provides Chemical Manufacturing Services.,"Advanced Materials, Chemical, Manufacturing, Service Industry","Birmingham, Birmingham, United Kingdom, Europe",https://www.chromatwist.com/,$1M to $10M,1111325,USD,1111325,Seed,3,1,,No,
Grant - WaltR,https://www.crunchbase.com/funding_round/waltr-e1c5-grant--27084928,WaltR,https://www.crunchbase.com/organization/waltr-e1c5,Grant,2024-06-17,,,,,Ready2Scale,Ready2Scale,"26,643",,,,,WaltR solution monitoring polluting emissions through space and ground imaging.,"Environmental Consulting, Pollution Control","Toulouse, Midi-Pyrenees, France, Europe",https://waltr.fr/home.html,,2000000,EUR,2171671,Seed,2,1,,No,
Grant - Photosynthetic,https://www.crunchbase.com/funding_round/photosynthetic-grant--5ec6fd97,Photosynthetic,https://www.crunchbase.com/organization/photosynthetic,Grant,2024-09-27,100000,USD,100000,,Luminate,Luminate,"27,536",,,,,"Photosynthetic believe in bringing humanity forward through innovation and making our products versatile yet reliable, ready for scale.",Manufacturing,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://photosynthetic.nl/,,200000,USD,200000,Seed,4,1,,No,
Grant - Catalyco,https://www.crunchbase.com/funding_round/catalyco-grant--b91ab219,Catalyco,https://www.crunchbase.com/organization/catalyco,Grant,2024-06-17,,,,,Ready2Scale,Ready2Scale,"27,898",,,,,"Catalyco is developing a circular economy supply chain for ZnO to reduce imported materials, help the industry meet ESG.","Chemical, Chemical Engineering, Manufacturing","Riga, Riga, Latvia, Europe",https://www.catalyco.eu,Less than $1M,1930635,EUR,2197380,Seed,8,1,,No,
