hq_country,count
Austria,196
Belgium,251
Bulgaria,143
Croatia,21
Czech Republic,136
Denmark,374
Estonia,207
Finland,399
France,1357
Germany,1945
Greece,67
Hungary,206
Ireland,300
Italy,541
Latvia,72
Lithuania,115
Luxembourg,31
Malta,8
Norway,147
Poland,398
Portugal,228
Slovakia (Slovak Republic),42
Slovenia,26
Spain,941
Sweden,595
Switzerland,462
The Netherlands,637
Ukraine,73
United Kingdom,4228
Total,14146
