company_id,organization_name,hq_country,latitude,longitude,founded_year,b2b,hub_binary,number_of_founders,female_founder,energy,information_technology,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,communication_services,utilities,real_estate,other,grant_before_seed,angel_round_binary,first_seed_round_year,number_seed_rounds,number_seed_investors,one_seed_investor_binary,pre_seed,follow_on_investor,low_seed_funding,high_seed_funding,duration_seed_stage,all_homecountry_investors_in_seed_binary,regional_seed_investor_binary,regional_seed_investor_institutional_binary,city_seed_investor_binary,lead_investor_in_seed,accelerator_seed_investor_binary,incubator_seed_investor_binary,micro_vc_seed_investor_binary,corporate_venture_capital_seed_investor_binary,angel_group_seed_investor_binary,angel_seed_investor_binary,university_program_seed_investor_binary,entrepreneurship_program_seed_investor_binary,family_investment_office_seed_investor_binary,us_investor_binary,gdp,top_university,exit_binary,post_seed_success,success
020989,Mesh ID,The Netherlands,52.3730796,4.8924534,2017,1,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2019.0,1,1,True,False,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2.781546193,True,False,False,False
020990,Oriense,The Netherlands,51.4392648,5.478633,2012,0,False,2,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,2012.0,2,3,False,False,True,True,False,14.9,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,-0.977876878,True,False,False,False
020991,Textmetrics,The Netherlands,51.984257,5.9108573,2015,1,False,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2015.0,3,2,False,False,True,True,False,51.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.120605239,True,False,False,False
020992,Ubiqu,The Netherlands,51.9244424,4.47775,2010,1,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014.0,1,1,True,False,False,True,False,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.319320323,True,False,False,False
020993,Simreka,The Netherlands,52.0907006,5.1215634,2017,1,False,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2017.0,2,3,False,False,False,True,False,20.9,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,2.781546193,True,False,False,False
020995,Workspace 365,The Netherlands,52.2148536,5.4781463,2010,1,False,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013.0,1,1,True,False,False,True,False,0.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1.319320323,False,False,False,False
020997,ComplianceWise,The Netherlands,52.3730796,4.8924534,2012,1,True,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2018.0,1,1,True,False,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.977876878,True,False,False,False
020999,Memri,The Netherlands,51.6407653,5.9649023,2020,1,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,False,False,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-3.867953338,False,False,False,False
021000,Wrangu,The Netherlands,52.3730796,4.8924534,2016,1,True,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2019.0,1,1,True,False,False,True,False,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,2.42428573,True,False,False,False
021005,OpenTalent,The Netherlands,52.3730796,4.8924534,2020,1,True,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,2,2,False,True,False,True,False,4.0,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,-3.867953338,True,False,False,False
021006,Monotch,The Netherlands,51.6773008,4.7931811,2014,1,False,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2017.0,1,1,True,False,False,True,False,0.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1.612610013,False,False,False,False
021008,Plotwise,The Netherlands,52.0114017,4.35839,2018,1,False,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,1,1,True,False,False,True,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.258740374,True,True,False,True
021009,Building Parts & Supplies N.V.,The Netherlands,52.1131403,4.6408412,2017,1,False,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2017.0,1,1,True,True,False,True,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,2.781546193,True,False,False,False
021010,Smartlockr,The Netherlands,52.3730796,4.8924534,2018,1,True,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2019.0,1,1,True,False,False,True,False,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,2.258740374,True,False,True,True
021012,MYNGLE,The Netherlands,52.3730796,4.8924534,2007,0,True,3,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,2008.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,3.885306448,True,False,False,False
021014,Startup Stock Exchange,The Netherlands,51.6923601,4.4383531,2011,1,False,2,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,2012.0,3,1,True,False,False,True,False,6.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.773345163,False,True,False,True
021015,Capptions,The Netherlands,51.9244424,4.47775,2015,1,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2015.0,1,1,True,False,False,True,False,0.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,2.120605239,True,False,False,False
021017,Musoni System,The Netherlands,52.3730796,4.8924534,2013,1,True,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2016.0,1,1,True,False,False,True,False,0.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,-0.03023256,True,False,True,True
