sector,count,percentage
energy,302,3.5367139009251667
information_technology,5926,69.39922707577
materials,115,1.3467619159152127
industrials,3687,43.1783581215599
consumer_discretionary,3023,35.40227192879728
consumer_staples,563,6.593277901393606
health_care,1436,16.81695748916735
financials,1039,12.167701135964398
communication_services,1728,20.236561658273803
utilities,439,5.14111722684155
real_estate,518,6.066284108209392
other,966,11.312800093687786
