hq_country,count,percentage
Austria,103,1.21
Belgium,195,2.28
Denmark,234,2.74
Estonia,144,1.69
Finland,285,3.34
France,1009,11.82
Germany,856,10.02
Hungary,182,2.13
Ireland,209,2.45
Italy,373,4.37
Poland,290,3.4
Portugal,150,1.76
Spain,666,7.8
Sweden,401,4.7
Switzerland,284,3.33
The Netherlands,347,4.06
United Kingdom,2811,32.92
Total,8539,100.0
