Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Eyeball,https://www.crunchbase.com/funding_round/eyeball-f4a0-seed--4d19c75e,Eyeball,https://www.crunchbase.com/organization/eyeball-f4a0,Seed,"Nove Mesto, Kralovehradecky kraj, Czech Republic, Europe",2024-10-16,5000000,EUR,5429412,Seed,,,,Yes,Eyeball operates as a digital platform for youth football.,"American Football, SaaS, Sports",,https://www.eyeball.club/,$1M to $10M,5000000,EUR,5429412,Seed,2,Vendep Capital,"Founderment, Heartland, Sportlogiq, Vendep Capital",2,4,"11,097"
Pre Seed Round - DYNANIC,https://www.crunchbase.com/funding_round/brnologic-pre-seed--4c6b9978,DYNANIC,https://www.crunchbase.com/organization/brnologic,Pre-Seed,"Brno, Jihomoravsky kraj, Czech Republic, Europe",2024-11-28,550000,EUR,580814,Seed,,,,Yes,"DYNANIC is an IT firm that provides custom development, consulting, and training for programmable logic and its verification.","Consulting, Field-Programmable Gate Array (FPGA), Information Technology, Training",,https://dyna-nic.com/,,550000,EUR,580814,Seed,1,Tensor Ventures,Tensor Ventures,2,1,"11,587"
Seed Round - Grid.online,https://www.crunchbase.com/funding_round/grid-online-seed--30003db0,Grid.online,https://www.crunchbase.com/organization/grid-online,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2025-02-12,1500000,EUR,1553985,Seed,8500000,USD,8500000,Yes,Grid.online is a shared transportation network for parcel delivery.,"Artificial Intelligence (AI), Delivery, Delivery Service, Information Technology, Internet, Public Transportation, Social Network, Technical Support, Transportation",,https://www.grid.online,,1500000,EUR,1553985,Seed,1,Reflex Capital,"GRID Investments, J&T Ventures, Reflex Capital",1,3,"11,986"
Pre Seed Round - Lakmoos,https://www.crunchbase.com/funding_round/lakmoos-compliant-analytica-pre-seed--c046324d,Lakmoos,https://www.crunchbase.com/organization/lakmoos-compliant-analytica,Pre-Seed,"Brno, Jihomoravsky kraj, Czech Republic, Europe",2024-03-05,300000,EUR,325677,Seed,,,,Yes,Lakmoos is a Market Research firm offering Instant research services to improve consumer insights in limited time frame.,"Information Services, Market Research, SaaS, Service Industry",,https://Lakmoos.com,,510000,EUR,553016,Seed,2,Presto Ventures,"Alexander Braun, Presto Ventures, Sedlakova Legal",,3,"12,124"
Pre Seed Round - Elin.ai,https://www.crunchbase.com/funding_round/elin-ai-pre-seed--9e1df982,Elin.ai,https://www.crunchbase.com/organization/elin-ai,Pre-Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-12-09,1000000,EUR,1055540,Seed,,,,Yes,Elin.ai is a healthtech company that offers a mobile app to foster mental health.,"Apps, Mental Health, Software",,https://www.elin.ai/,,1000000,EUR,1055540,Seed,1,,"bd Partners, JSK Investments, Presto Ventures, Simona Kijonkova",,4,"13,184"
Pre Seed Round - Finlay,https://www.crunchbase.com/funding_round/finlay-e5d6-pre-seed--24a64511,Finlay,https://www.crunchbase.com/organization/finlay-e5d6,Pre-Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-11-27,300000,USD,300000,Seed,,,,Yes,Finlay is an AI-powered recruitment startup for both candidates and businesses.,"Artificial Intelligence (AI), Recruiting, Staffing Agency",,https://finlay.ai,,300000,USD,300000,Seed,1,J&T Ventures,"DEPO Ventures, J&T Ventures",2,2,"13,205"
Seed Round - DeepScout.ai,https://www.crunchbase.com/funding_round/deepscout-ai-seed--0d713d1b,DeepScout.ai,https://www.crunchbase.com/organization/deepscout-ai,Seed,"Trebic, Vysocina, Czech Republic, Europe",2025-01-14,600000,EUR,618366,Seed,,,,Yes,DeepScout.ai is a technology-first company that uses AI for data-backed decisions about pricing and assortment.,"Artificial Intelligence (AI), Price Comparison, SaaS",,https://deepscout.ai/en,,600000,EUR,618366,Seed,1,MITON,MITON,,1,"13,396"
Seed Round - BitDCA,https://www.crunchbase.com/funding_round/bitdca-seed--b3f5575d,BitDCA,https://www.crunchbase.com/organization/bitdca,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2025-02-24,8000000,EUR,8368962,Seed,,,,Yes,Bitdca is a cryptocurrency initiative focuses on promoting the use of Bitcoin and other digital currencies.,"Bitcoin, Cryptocurrency, FinTech",,https://www.bitdca.com,,10368962,USD,10368962,Seed,2,Aleš Minx,"Aleš Minx, Miloslav Vyhnal, Vladislav Fedoš",,3,"13,701"
Seed Round - Hedepy,https://www.crunchbase.com/funding_round/hedepy-seed--c070f288,Hedepy,https://www.crunchbase.com/organization/hedepy,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2023-12-01,1750000,EUR,1906202,Seed,,,,Yes,"Hedepy is a health app that provides psychotherapy for everyone through video calls and is accessible, easy, and prejudice-free.","Apps, Health Care, Medical, Software",,https://hedepy.com/,$1M to $10M,3712424,USD,3712424,Seed,4,"AspectWorks, Impact Ventures Hungary, N1, Purple Ventures, RSJ Investments SICAV a.s.","AspectWorks, Impact Ventures Hungary, Leoš Navrátil, N1, Purple Ventures, RSJ Investments SICAV a.s.",1,6,"13,924"
Seed Round - PARTORY,https://www.crunchbase.com/funding_round/partory-seed--67117a03,PARTORY,https://www.crunchbase.com/organization/partory,Seed,"Hradec Kralove, Kralovehradecky kraj, Czech Republic, Europe",2024-09-28,1250000,EUR,1396437,Seed,,,,Yes,PARTORY offers complete manufacturing solutions in engineering.,"Artificial Intelligence (AI), B2B, Industrial, Manufacturing",,https://partory.com/,,2334211,USD,2334211,Seed,5,Jet Investment,Jet Investment,1,1,"14,388"
