Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Seed Round - Virtue Poker,https://www.crunchbase.com/funding_round/virtue-poker-seed--1db03ee7,Virtue Poker,https://www.crunchbase.com/organization/virtue-poker,Seed,2021-04-12,5000000,USD,5000000,,ConsenSys,"ConsenSys, ConsenSys Mesh, Digital Finance Group (DFG), ICONIUM, Jez San, Pantera Capital","399,932",,,,Seed,"Virtue Poker is a multi-chain, Ethereum-based decentralized poker platform.","Blockchain, Ethereum, Peer to Peer","Valletta, NA - Malta, Malta, Europe",https://virtue.poker/,$1M to $10M,5000000,USD,5000000,,2,6,1,Yes,
Pre Seed Round - worig,https://www.crunchbase.com/funding_round/worig-pre-seed--e860fea7,worig,https://www.crunchbase.com/organization/worig,Pre-Seed,2019-05-30,15000,EUR,16695,,EIT Digital Accelerator,EIT Digital Accelerator,"438,854",,,,Seed,Worig is a finance company that builds trust between landlords and tenants by providing secure downpayment options and credit scores.,"Financial Services, FinTech, InsurTech, Rental Property","Zagreb, Grad Zagreb, Croatia, Europe",https://worig.com,,65000,EUR,71647,Seed,2,1,,Yes,
Seed Round - Passbolt,https://www.crunchbase.com/funding_round/passbolt-seed--a906146b,Passbolt,https://www.crunchbase.com/organization/passbolt,Seed,2020-12-16,2000000,EUR,2439239,,Expon Capital,"Bondi Capital S.A., Dedicated, Expon Capital, Seeder Fund","401,385",,,,Seed,Open source password manager for teams,"DevOps, Open Source, Service Industry, Software","Esch-sur-alzette, Luxembourg, Luxembourg, Europe",https://www.passbolt.com,$1M to $10M,11163096,USD,11163096,Early Stage Venture,6,4,,Yes,
Pre Seed Round - Kikimora,https://www.crunchbase.com/funding_round/kikimora-io-pre-seed--f71bbd17,Kikimora,https://www.crunchbase.com/organization/kikimora-io,Pre-Seed,2022-04-20,150000,EUR,162751,,Impetus Capital,Impetus Capital,"440,184",850000,EUR,922258,Seed,Kikimora.io is a holistic vulnerability management solution.,"B2B, Cyber Security, Machine Learning, SaaS","Sofia, Grad Sofiya, Bulgaria, Europe",https://kikimora.io/,Less than $1M,1150000,EUR,1239391,Seed,2,1,1,Yes,
Seed Round - SessionStack,https://www.crunchbase.com/funding_round/sessionstack-seed--0a07a3f3,SessionStack,https://www.crunchbase.com/organization/sessionstack,Seed,2022-01-14,850000,EUR,970301,,BrightCap Ventures,"BrightCap Ventures, Startup Wise Guys","408,524",,,,Seed,SessionStack is a Digital Experience Insights platform that empowers product teams to analyze user behavior and drive product adoption.,"Analytics, Business Intelligence, Customer Service, Enterprise Software, Product Research, SaaS, Technical Support","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.sessionstack.com,Less than $1M,1175000,EUR,1332260,Seed,4,2,,Yes,
Pre Seed Round - Cupffee,https://www.crunchbase.com/funding_round/cupffee-pre-seed--76a69597,Cupffee,https://www.crunchbase.com/organization/cupffee,Pre-Seed,2023-05-23,500000,EUR,538474,,Eleven Ventures,Eleven Ventures,"417,089",,,,Seed,Cupffee creates and sells edible coffee cups and stirrers.,"Coffee, Food and Beverage, Snack Food","Plovdiv, Plovdiv, Bulgaria, Europe",https://cupffee.me/,$1M to $10M,1988506,USD,1988506,Seed,3,1,1,Yes,
Seed Round - Quidax,https://www.crunchbase.com/funding_round/quidax-seed--40a6f6da,Quidax,https://www.crunchbase.com/organization/quidax,Seed,2020-03-31,120000,USD,120000,,Techstars,Techstars,"411,898",,,,Seed,Quidax is a digital assets exchange that allows users seamlessly buy and sell cryptocurrency with their local currency.,"Bitcoin, Blockchain, Cryptocurrency, FinTech, Stock Exchanges","San Gwann, NA - Malta, Malta, Europe",https://www.quidax.com,$1M to $10M,3620000,USD,3620000,,3,1,1,Yes,
Pre Seed Round - International Stuttering Therapy Institute,https://www.crunchbase.com/funding_round/international-stuttering-therapy-institute-pre-seed--d62a30a0,International Stuttering Therapy Institute,https://www.crunchbase.com/organization/international-stuttering-therapy-institute,Pre-Seed,2021-05-26,100000,EUR,121921,,Vitosha Venture Partners,"Innovation Capital, Vitosha Venture Partners","406,909",,,,Seed,The Bye Bye Stuttering app restores fluent speech in 25 days.,"Education, Health Care, Software","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.byebyestuttering.com/,,150000,EUR,175786,Seed,2,2,1,Yes,
Seed Round - Healee,https://www.crunchbase.com/funding_round/healee-seed--9b1b5816,Healee,https://www.crunchbase.com/organization/healee,Seed,2022-08-30,2000000,USD,2000000,,Nina Capital,"Calm/Storm Ventures, Eleven Ventures, KAYA, Nina Capital","413,729",,,,Seed,Healee helps healthcare groups navigate the complexities of patient access with a robust solution that maximizes operational efficiency.,Health Care,"Sofia, Grad Sofiya, Bulgaria, Europe",https://www.healee.com/,$1M to $10M,2912480,USD,2912480,Seed,4,4,1,Yes,
Pre Seed Round - InsiderCX,https://www.crunchbase.com/funding_round/insidercx-pre-seed--1ddc5209,InsiderCX,https://www.crunchbase.com/organization/insidercx,Pre-Seed,2022-02-15,100000,EUR,113553,,daFUND,daFUND,"442,059",,,,Seed,InsiderCX is a voice of customer and CX management platform.,Market Research,"Varazdin, Varazdinska, Croatia, Europe",https://www.insidercx.com,,600000,EUR,656280,Seed,2,1,,Yes,
Pre Seed Round - BiteMe Nutrition,https://www.crunchbase.com/funding_round/biteme-nutrition-pre-seed--87d311fb,BiteMe Nutrition,https://www.crunchbase.com/organization/biteme-nutrition,Pre-Seed,2022-01-03,330000,EUR,372966,,Feelsgood,Feelsgood,"442,411",,,,Seed,"BiteMe Nutrition is a food production company that offers vegan, organic, plant-based, gluten, and additive-free snacks.","Food and Beverage, Nutrition, Snack Food","Zagreb, Grad Zagreb, Croatia, Europe",https://biteme-nutrition.com/,,1260000,EUR,1377767,M&A,4,1,2,Yes,
Pre Seed Round - Machinations,https://www.crunchbase.com/funding_round/machinations-pre-seed--468aeed3,Machinations,https://www.crunchbase.com/organization/machinations,Pre-Seed,2019-04-01,,,,,Seedcamp,"Alexis Bonte, Seedcamp, Venrex","407,554",,,,Seed,"Machinations is a browser-based platform to design, prototype and handoff game systems","Gaming, Software, Video Games","Luxembourg, Luxembourg, Luxembourg, Europe",https://machinations.io/,$1M to $10M,4836077,USD,4836077,Early Stage Venture,5,3,,Yes,
Seed Round - Healee,https://www.crunchbase.com/funding_round/healee-seed--7003d547,Healee,https://www.crunchbase.com/organization/healee,Seed,2020-05-01,800000,EUR,887480,,Eleven Ventures,Eleven Ventures,"442,910",,,,Seed,Healee helps healthcare groups navigate the complexities of patient access with a robust solution that maximizes operational efficiency.,Health Care,"Sofia, Grad Sofiya, Bulgaria, Europe",https://www.healee.com/,$1M to $10M,2912480,USD,2912480,Seed,4,1,,Yes,
Seed Round - Zebrainy,https://www.crunchbase.com/funding_round/zebrainy-ltd-seed--7a6e559f,Zebrainy,https://www.crunchbase.com/organization/zebrainy-ltd,Seed,2017-12-31,1000000,USD,1000000,,PRYTEK,PRYTEK,"442,919",,,,Seed,"An edutainment mobile platform for preschoolers. We believe, every child can change the world, and we do our best to give the instruments.","Children, Education, Gamification, Gaming","Valletta, NA - Malta, Malta, Europe",http://zebrainy.com,$1M to $10M,2550000,USD,2550000,Early Stage Venture,3,1,,Yes,
Seed Round - GOLDBAUM,https://www.crunchbase.com/funding_round/goldbaum-seed--49b3c091,GOLDBAUM,https://www.crunchbase.com/organization/goldbaum,Seed,2020-11-21,250000,EUR,296416,,HUB612,HUB612,"416,017",,,,Seed,Financial Data and Analytics SaaS,"Analytics, Cloud Data Services, FinTech","Luxembourg, Luxembourg, Luxembourg, Europe",https://golden.goldbaum.app,,556000,EUR,643011,Seed,3,1,,Yes,
Seed Round - Mediately,https://www.crunchbase.com/funding_round/mediately-seed--451b8ad8,Mediately,https://www.crunchbase.com/organization/mediately,Seed,2017-02-23,,,,,LAUNCHub Ventures,LAUNCHub Ventures,"419,617",,,,Seed,The mobile assistant for faster diagnosing and better treatment.,"Apps, Health Care, iOS, Medical, Mobile","Ljubljana, Ljubljana Urban Commune, Slovenia, Europe",https://mediately.co,$1M to $10M,7399000,EUR,8463645,Early Stage Venture,5,1,1,Yes,
Seed Round - Avtoikonom,https://www.crunchbase.com/funding_round/avtoikonom-seed--9b685192,Avtoikonom,https://www.crunchbase.com/organization/avtoikonom,Seed,2022-06-30,150000,EUR,157177,,Innovation Capital,Innovation Capital,"421,577",,,,Seed,"Avtoikonom is a SaaS based digital marketplace for Automotive, insurance and leasing.","Auto Insurance, Automotive, Mobile, SaaS, Service Industry, Software, Transportation","Sofia, Grad Sofiya, Bulgaria, Europe",https://avtoikonom.bg/,,300000,EUR,339005,Seed,3,1,,Yes,
Pre Seed Round - Printivo Group Jsc,https://www.crunchbase.com/funding_round/printivo-d4fb-pre-seed--e6a2f2b9,Printivo Group Jsc,https://www.crunchbase.com/organization/printivo-d4fb,Pre-Seed,2019-11-08,200000,EUR,220385,,Eleven Ventures,Eleven Ventures,"421,643",,,,Seed,3D-bioprinting company in a mission to improve drug-testing and personalized medical therapies through complete printed human organ.,"3D Printing, Biopharma, Biotechnology, Health Care, Medical Device","Sofia, Grad Sofiya, Bulgaria, Europe",http://www.printivo.eu/,Less than $1M,500000,EUR,572720,Seed,3,1,,Yes,
Seed Round - Respeecher,https://www.crunchbase.com/funding_round/respeecher-seed--4a38175a,Respeecher,https://www.crunchbase.com/organization/respeecher,Seed,2019-07-15,,,,,Techstars,"Chris Adelsbach, Techstars","423,042",,,,Seed,We build high fidelity voice cloning (voice conversion) systems using deep neural networks.,"Artificial Intelligence (AI), Hardware, Information Technology, Machine Learning, Software","Kyiv, Kyyiv, Ukraine, Europe",https://www.respeecher.com/,$1M to $10M,2500000,USD,2500000,Seed,6,2,1,Yes,
Seed Round - Noble,https://www.crunchbase.com/funding_round/noble-6952-seed--4ea9d473,Noble,https://www.crunchbase.com/organization/noble-6952,Seed,2018-11-27,200000,EUR,225944,,Eleven Ventures,Eleven Ventures,"423,606",,,,Seed,Noble is a decentralized referral-based job board.,"Employment, Online Portals, Recruiting","Sofia, Grad Sofiya, Bulgaria, Europe",https://noblehire.io/,,250000,EUR,282201,Seed,2,1,1,Yes,
Pre Seed Round - TokWise,https://www.crunchbase.com/funding_round/tokwise-pre-seed--f97472fc,TokWise,https://www.crunchbase.com/organization/tokwise,Pre-Seed,2020-10-27,50000,EUR,58914,,Innovation Capital,Innovation Capital,"446,240",,,,Seed,TokWise is a technology company that offers a tech platform for portfolio optimization and data management for energy companies.,"Data Management, Information Technology, Renewable Energy","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.tokwise.com,$1M to $10M,3050000,EUR,3259044,,2,1,,Yes,
Seed Round - All eyes on screens,https://www.crunchbase.com/funding_round/adscanner-seed--d0eb8e63,All eyes on screens,https://www.crunchbase.com/organization/adscanner,Seed,2019-04-17,2140000,USD,2140000,,South Central Ventures,South Central Ventures,"426,661",,,,Seed,"All eyes on screens made its mission to empower data-driven TV advertising to increase effectiveness, transparency.","Advertising, Facial Recognition, Market Research","Zagreb, Grad Zagreb, Croatia, Europe",https://www.alleyesonscreens.com/,$1M to $10M,21003800,USD,21003800,Early Stage Venture,5,1,1,Yes,
Seed Round - All eyes on screens,https://www.crunchbase.com/funding_round/adscanner-seed--ed1c5c96,All eyes on screens,https://www.crunchbase.com/organization/adscanner,Seed,2021-08-25,2400000,EUR,2825401,,,"J&T Ventures, Matthias von Bechtolsheim, South Central Ventures","450,701",,,,Seed,"All eyes on screens made its mission to empower data-driven TV advertising to increase effectiveness, transparency.","Advertising, Facial Recognition, Market Research","Zagreb, Grad Zagreb, Croatia, Europe",https://www.alleyesonscreens.com/,$1M to $10M,21003800,USD,21003800,Early Stage Venture,5,3,,Yes,
