Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Blockbonds,https://www.crunchbase.com/funding_round/blockbonds-seed--68a4a152,Blockbonds,https://www.crunchbase.com/organization/blockbonds,Seed,"Kristiansand, Vest-Agder, Norway, Europe",2018-01-31,2168208,USD,2168208,Seed,,,,Yes,"Blockbonds is creating a world where everyone can manage their savings, payments and investments in an honest, transparent and secure way.","Financial Services, FinTech, Mobile Payments",,https://blockbonds.io/,$10M to $50M,8730733,USD,8730733,Seed,8,,,,,"656,871"
Pre Seed Round - Braive,https://www.crunchbase.com/funding_round/braive-pre-seed--70569c8f,Braive,https://www.crunchbase.com/organization/braive,Pre-Seed,"Oslo, Oslo, Norway, Europe",2019-01-01,2800000,NOK,323789,Seed,,,,Yes,"Braive develops and delivers online-based Cognitive Behavioural Therapy (CBT) treatment programs for healthcare, businesses and individuals.","Health Care, Personal Health, Psychology",,https://braive.com/,$1M to $10M,14350000,NOK,1690362,Seed,5,,,,,"656,873"
Seed Round - MeaWallet,https://www.crunchbase.com/funding_round/meawallet-seed--843f65f5,MeaWallet,https://www.crunchbase.com/organization/meawallet,Seed,"Oslo, Oslo, Norway, Europe",2014-08-01,3000000,EUR,4028603,Seed,,,,Yes,"MeaWallet help banks, issuers and merchants with payment tokenization and digital payments enablement.","Credit Cards, Debit Cards, E-Commerce, FinTech, Mobile, Mobile Payments, NFC, Payments",,http://www.meawallet.com,,7000000,EUR,8862411,M&A,4,,,,,"690,740"
Seed Round - Huddly,https://www.crunchbase.com/funding_round/huddly-seed--9eaee56e,Huddly,https://www.crunchbase.com/organization/huddly,Seed,"Oslo, Oslo, Norway, Europe",2014-02-27,,,,Seed,,,,Yes,Huddly is a technology company that creates tools for team collaboration.,"Artificial Intelligence (AI), Collaboration, Computer Vision, Electronics, Machine Learning, Software, Video Conferencing",,https://www.huddly.com,$10M to $50M,25050000,USD,25050000,Late Stage Venture,5,,,,,"690,760"
Seed Round - BAD NORWEGIAN,https://www.crunchbase.com/funding_round/bad-norwegian-seed--a44a6fad,BAD NORWEGIAN,https://www.crunchbase.com/organization/bad-norwegian,Seed,"Oslo, Oslo, Norway, Europe",2015-04-28,250000,USD,250000,Seed,1000000,USD,1000000,Yes,"BAD NORWEGIAN is a natural skincare brand from Norway, founded by a former NATO soldier, to offer men simple products and routines. ","Beauty, Lifestyle, Men's, Retail",,http://badnorwegian.com/,Less than $1M,600000,USD,600000,,3,,,,,"702,060"
Angel Round - Eventum,https://www.crunchbase.com/funding_round/eventum-angel--25b836d1,Eventum,https://www.crunchbase.com/organization/eventum,Angel,"Oslo, Oslo, Norway, Europe",2015-05-01,325000,EUR,363985,Seed,,,,Yes,Book venues for corporate and private events online.,"E-Commerce, Event Promotion, Events",,http://eventum.no,Less than $1M,1782879,USD,1782879,Seed,4,,,,,"702,302"
Seed Round - Sharebox,https://www.crunchbase.com/funding_round/sharebox-bfb9-seed--46d8f736,Sharebox,https://www.crunchbase.com/organization/sharebox-bfb9,Seed,"Arendal, Aust-Agder, Norway, Europe",2019-02-15,11400000,NOK,1319979,Seed,32400000,NOK,3751520,Yes,Sharebox simplifies your key handover by offering a service completely managed by your phone.,"Apps, Automotive, Car Sharing, Data Integration, Electronic Design Automation (EDA), Rental, Rental Property, Self-Storage, Sharing Economy, Vacation Rental",,https://sharebox.global,Less than $1M,30800000,NOK,3524841,,4,,,,,"665,920"
Angel Round - Eventum,https://www.crunchbase.com/funding_round/eventum-angel--f3677fd2,Eventum,https://www.crunchbase.com/organization/eventum,Angel,"Oslo, Oslo, Norway, Europe",2014-01-01,250000,EUR,343894,Seed,,,,Yes,Book venues for corporate and private events online.,"E-Commerce, Event Promotion, Events",,http://eventum.no,Less than $1M,1782879,USD,1782879,Seed,4,,,,,"666,039"
Pre Seed Round - Kör,https://www.crunchbase.com/funding_round/kör-pre-seed--3e509176,Kör,https://www.crunchbase.com/organization/kör,Pre-Seed,"Oslo, Oslo, Norway, Europe",2019-12-19,1400000,NOK,156135,Seed,,,,Yes,Kör lets users track their progress from practice driving to booking driving lessons and obtaining a driving license.,"Education, Software",,https://koer.no,,4625000,NOK,514696,Seed,4,,,,,"657,143"
Seed Round - Blockbonds,https://www.crunchbase.com/funding_round/blockbonds-seed--3462304a,Blockbonds,https://www.crunchbase.com/organization/blockbonds,Seed,"Kristiansand, Vest-Agder, Norway, Europe",2015-12-05,57750,USD,57750,Seed,,,,Yes,"Blockbonds is creating a world where everyone can manage their savings, payments and investments in an honest, transparent and secure way.","Financial Services, FinTech, Mobile Payments",,https://blockbonds.io/,$10M to $50M,8730733,USD,8730733,Seed,8,,,,,"691,658"
