Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Freeverse.io,https://www.crunchbase.com/funding_round/freeverse-io-seed--0914c6c6,Freeverse.io,https://www.crunchbase.com/organization/freeverse-io,Seed,"Barcelona, Catalonia, Spain, Europe",2021-07-01,1000000,USD,1000000,Seed,,,,Yes,Living Assets: NFT 2.0. Evolving - Scalable - Multicurrency - Sustainable - Certifiable.,"Blockchain, FinTech, Gaming, Mobile, Video Games",,https://www.freeverse.io/,$1M to $10M,12112845,USD,12112845,Early Stage Venture,3,"4Founders Capital, Adara Ventures","4Founders Capital, Adara Ventures",,2,"250,785"
Seed Round - iF Lastmile,https://www.crunchbase.com/funding_round/if-lastmile-seed--1d98499b,iF Lastmile,https://www.crunchbase.com/organization/if-lastmile,Seed,"Madrid, Madrid, Spain, Europe",2021-11-17,1500000,EUR,1697693,Seed,,,,Yes,iF Lastmile is a logistic and delivery company that provides same day delivery and return service for online shoppers.,"E-Commerce, Logistics",,https://www.iflastmile.com/,,4600000,EUR,4920272,Seed,3,"K Fund, Lanai Partners","K Fund, Lanai Partners",,2,"250,679"
Seed Round - iF Lastmile,https://www.crunchbase.com/funding_round/if-lastmile-seed--d1d4a960,iF Lastmile,https://www.crunchbase.com/organization/if-lastmile,Seed,"Madrid, Madrid, Spain, Europe",2022-11-11,3000000,EUR,3111449,Seed,,,,Yes,iF Lastmile is a logistic and delivery company that provides same day delivery and return service for online shoppers.,"E-Commerce, Logistics",,https://www.iflastmile.com/,,4600000,EUR,4920272,Seed,3,K Fund,"Bergner, Inveready, K Fund, Lanai Partners, The Romeu Group",,5,"250,845"
Seed Round - Connecta Therapeutics,https://www.crunchbase.com/funding_round/connecta-therapeutics-seed--da922ca8,Connecta Therapeutics,https://www.crunchbase.com/organization/connecta-therapeutics,Seed,"Barcelona, Catalonia, Spain, Europe",2020-09-27,1700000,EUR,1977834,Seed,,,,Yes,Connecta Therapeutics is a biotechnology company that develops new treatments for unresolved medical needs of the central nervous system.,"Biotechnology, Health Care, Medical, Neuroscience",,https://connectatherapeutics.com/,$1M to $10M,4400000,EUR,4886236,Seed,2,"Centre for the Development of Industrial Technology (CDTI), Inveready","Centre for the Development of Industrial Technology (CDTI), Inveready",,2,"252,823"
Seed Round - Motoreto,https://www.crunchbase.com/funding_round/motoreto-seed--708b8c32,Motoreto,https://www.crunchbase.com/organization/motoreto,Seed,"Madrid, Madrid, Spain, Europe",2023-07-06,1400000,EUR,1524556,Seed,,,,Yes,Motoreto is a marketplace for used cars and automotive services.,"Automotive, Marketplace, Retail",,https://www.motoreto.com/,,2630000,EUR,2945309,Seed,4,,"COREangels Lisbon, Fides Capital, First Drop, Grupo Anderson's, Julio Ribes, OK Venture",2,6,"253,385"
Angel Round - Spathios,https://www.crunchbase.com/funding_round/spathios-angel--3047c495,Spathios,https://www.crunchbase.com/organization/spathios,Angel,"Barcelona, Catalonia, Spain, Europe",2021-10-19,370000,EUR,430366,Seed,,,,Yes,Short-term space reservations marketplace,"E-Commerce, Marketplace",,https://www.spathios.com,$1M to $10M,1670000,EUR,1905183,Seed,2,Josep Casas,"Aleix Puig, Biel Juste Calduch, Carlos Costa, Guillem Serra, Ines Ures, Jep Esteve, Joan Alvarez, joan Margarit, Josep Casas, Julio Ribes, Oriol de Pablo Morató, Oscar Pierre, Oscar Valledor",,13,"255,031"
Seed Round - iPronics,https://www.crunchbase.com/funding_round/ipronics-programmable-photonics-seed--c7e1faf7,iPronics,https://www.crunchbase.com/organization/ipronics-programmable-photonics,Seed,"Valencia, Comunidad Valenciana, Spain, Europe",2022-07-27,3700000,EUR,3776053,Seed,,,,Yes,iPronics has pioneered the field of software-defined photonics and introduces the world's first optical circuit switch.,"Manufacturing, Semiconductor, Software",,https://ipronics.com/,$1M to $10M,37600000,EUR,39214640,Early Stage Venture,4,Amadeus Capital Partners,"Amadeus Capital Partners, Criteria Venture Tech",2,2,"255,186"
Seed Round - Traspacar,https://www.crunchbase.com/funding_round/traspacar-seed--85bc452e,Traspacar,https://www.crunchbase.com/organization/traspacar,Seed,"Sabadell, Catalonia, Spain, Europe",2020-02-05,229000,EUR,251934,Seed,2000000,EUR,2200300,Yes,Online agency helping users to manage any vehicle documentation.,"Automotive, Document Preparation, Office Administration, Online Portals, Software",,https://traspacar.com,,395000,EUR,438221,Seed,2,,,,,"255,367"
Seed Round - Fregata Space,https://www.crunchbase.com/funding_round/fregata-space-seed--e9689467,Fregata Space,https://www.crunchbase.com/organization/fregata-space,Seed,"Barcelona, Catalonia, Spain, Europe",2022-01-01,800000,EUR,909916,Seed,2400000,EUR,2729748,Yes,Earth observation platform to discover pollutants in air and water in real time anywhere in the world.,"Aerospace, Analytics, Artificial Intelligence (AI), Cloud Computing, Enterprise Software, Geospatial, Government, Mapping Services, Predictive Analytics, Software",,https://fregataspace.com,,800000,EUR,909916,Seed,1,,,,,"255,445"
Seed Round - Ixoriguè Technologies,https://www.crunchbase.com/funding_round/ixoriguè-technologies-seed--c936d38a,Ixoriguè Technologies,https://www.crunchbase.com/organization/ixoriguè-technologies,Seed,"Madrid, Madrid, Spain, Europe",2021-09-08,1000000,USD,1000000,Seed,,,,Yes,Ixoriguè Technologies is a livestock business.,"Animal Feed, Software",,https://www.ixorigue.com/,$1M to $10M,1901377,USD,1901377,Seed,2,Finaves,"Araelec, Borja Moreno de Los Rios, ESADE BAN, Finaves",,4,"256,896"
