Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - zoolo,https://www.crunchbase.com/funding_round/zoolo-io-seed--015737e7,zoolo,https://www.crunchbase.com/organization/zoolo-io,Seed,"Munich, Bayern, Germany, Europe",2021-10-01,,,,Seed,,,,Yes,Transactional Processes with A.I. Superpowers,"Artificial Intelligence (AI), B2B, Machine Learning, Real Estate Investment, SaaS, Software",,https://www.zoolo.io,$1M to $10M,,,,Seed,1,,,,,"136,757"
Seed Round - ZNIKLEZ,https://www.crunchbase.com/funding_round/zniklez-seed--529103dc,ZNIKLEZ,https://www.crunchbase.com/organization/zniklez,Seed,"Berlin, Berlin, Germany, Europe",2019-11-20,2000,USD,2000,Seed,,,,Yes,ZNIKLEZ is a platform and software that links artists and their followers.,"E-Commerce Platforms, Software",,http://www.mmfagency.com/zniklez,,2000,USD,2000,Seed,1,FasterCapital,FasterCapital,1,1,"234,949"
Series A - Zero-Carbon GmbH,https://www.crunchbase.com/funding_round/zero-carbon-gmbh-series-a--aed092c0,Zero-Carbon GmbH,https://www.crunchbase.com/organization/zero-carbon-gmbh,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",2025-05-14,500000,EUR,559036,Early Stage Venture,4500000,EUR,5031323,Yes,"Clean & Green Tech Streaming Platform with future intrest in making Digitalization Green, Clean & Sustainable","Information Technology, Internet, Marketing, Professional Services, Software",,https://zero-carbon.de/,,550000,EUR,611181,Early Stage Venture,2,,,,,"187,318"
Seed Round - Zero-Carbon GmbH,https://www.crunchbase.com/funding_round/zero-carbon-gmbh-seed--1797adf1,Zero-Carbon GmbH,https://www.crunchbase.com/organization/zero-carbon-gmbh,Seed,"Köln, Nordrhein-Westfalen, Germany, Europe",2022-07-01,50000,EUR,52145,Seed,750000,EUR,782182,Yes,"Clean & Green Tech Streaming Platform with future intrest in making Digitalization Green, Clean & Sustainable","Information Technology, Internet, Marketing, Professional Services, Software",,https://zero-carbon.de/,,550000,EUR,611181,Early Stage Venture,2,,,,,"194,060"
Angel Round - Zepto - Project Automation,https://www.crunchbase.com/funding_round/zepto-2dbd-angel--ddf06872,Zepto - Project Automation,https://www.crunchbase.com/organization/zepto-2dbd,Angel,"Berlin, Berlin, Germany, Europe",2020-11-29,500000,USD,500000,Seed,,,,Yes,"Zepto is a project automation platform for lawyers, freelancers, accountants, and consultants.","Information Services, Project Management, Software",,https://www.zepto-ai.com/,,500000,USD,500000,Seed,1,,,,,"163,763"
Angel Round - zebrastic,https://www.crunchbase.com/funding_round/zebrastic-angel--16448716,zebrastic,https://www.crunchbase.com/organization/zebrastic,Angel,"Hanover, Niedersachsen, Germany, Europe",2023-05-30,100000,EUR,107316,Seed,400000,EUR,429264,Yes,"ZEBRASTIC combines a variety of delectable appetizers, and ice cream produced from frozen fruit puree and juice.","Food and Beverage, Snack Food",,https://zebrastic.de,,100000,EUR,107316,Seed,1,,Ralf Dummel,,1,"136,653"
Seed Round - Yuri,https://www.crunchbase.com/funding_round/yuri-seed--97df0871,Yuri,https://www.crunchbase.com/organization/yuri,Seed,"Meckenbeuren, Baden-Wurttemberg, Germany, Europe",2021-06-06,,,,Seed,,,,Yes,Yuri is a manufacturer of hardware for the aviation and aerospace industry.,"Aerospace, Hardware, Manufacturing",,https://yurigravity.com,$1M to $10M,,,,Seed,1,,"APEX Ventures, Nucleus Capital, Possible Ventures, Selvedge Venture",,4,"144,269"
Convertible Note - Yolife,https://www.crunchbase.com/funding_round/yolife-convertible-note--2e24d38b,Yolife,https://www.crunchbase.com/organization/yolife,Convertible Note,"Berlin, Berlin, Germany, Europe",2020-09-01,100000,EUR,119227,,,,,No,Yolife is a mobile app that empowers people to live longer in good health,"Health Care, mHealth, Mobile Apps",,https://yolife.io/,Less than $1M,326000,EUR,375996,M&A,4,Longevitytech.fund,Longevitytech.fund,,1,"105,921"
Pre Seed Round - Yolife,https://www.crunchbase.com/funding_round/yolife-pre-seed--024e724a,Yolife,https://www.crunchbase.com/organization/yolife,Pre-Seed,"Berlin, Berlin, Germany, Europe",2019-11-01,100000,EUR,111682,Seed,,,,Yes,Yolife is a mobile app that empowers people to live longer in good health,"Health Care, mHealth, Mobile Apps",,https://yolife.io/,Less than $1M,326000,EUR,375996,M&A,4,APX,"APX, Hypergrowth Ventures",,2,"383,280"
Grant - Yolife,https://www.crunchbase.com/funding_round/yolife-grant--ee8e7b30,Yolife,https://www.crunchbase.com/organization/yolife,Grant,"Berlin, Berlin, Germany, Europe",2019-07-12,50000,EUR,56407,,,,,No,Yolife is a mobile app that empowers people to live longer in good health,"Health Care, mHealth, Mobile Apps",,https://yolife.io/,Less than $1M,326000,EUR,375996,M&A,4,,Investitionsbank Berlin,,1,"690,923"
Grant - Yolife,https://www.crunchbase.com/funding_round/yolife-grant--761b8c63,Yolife,https://www.crunchbase.com/organization/yolife,Grant,"Berlin, Berlin, Germany, Europe",2018-06-01,76000,EUR,88680,,,,,No,Yolife is a mobile app that empowers people to live longer in good health,"Health Care, mHealth, Mobile Apps",,https://yolife.io/,Less than $1M,326000,EUR,375996,M&A,4,,European Social Fund (ESF),,1,"659,589"
Series B - Yepoda,https://www.crunchbase.com/funding_round/yepoda-series-b--ab85dd92,Yepoda,https://www.crunchbase.com/organization/yepoda,Series B,"Berlin, Berlin, Germany, Europe",2025-03-20,,,,Early Stage Venture,,,,Yes,Yepoda is an online seller of skincare products.,"Beauty, Cosmetics, E-Commerce",,https://www.yepoda.com,$1M to $10M,1500000,EUR,1697858,Early Stage Venture,4,Verlinvest,"JamJar Investments, V3 ventures, Verlinvest",1,3,"21,196"
Series A - Yepoda,https://www.crunchbase.com/funding_round/yepoda-series-a--b6b62202,Yepoda,https://www.crunchbase.com/organization/yepoda,Series A,"Berlin, Berlin, Germany, Europe",2023-11-20,,,,Early Stage Venture,,,,Yes,Yepoda is an online seller of skincare products.,"Beauty, Cosmetics, E-Commerce",,https://www.yepoda.com,$1M to $10M,1500000,EUR,1697858,Early Stage Venture,4,JamJar Investments,"Chris Good, JamJar Investments, Slingshot Ventures, V3 ventures",,4,"115,853"
Seed Round - Yepoda,https://www.crunchbase.com/funding_round/yepoda-seed--bc7a4288,Yepoda,https://www.crunchbase.com/organization/yepoda,Seed,"Berlin, Berlin, Germany, Europe",2021-12-01,1500000,EUR,1697858,Seed,,,,Yes,Yepoda is an online seller of skincare products.,"Beauty, Cosmetics, E-Commerce",,https://www.yepoda.com,$1M to $10M,1500000,EUR,1697858,Early Stage Venture,4,"Roman Kirsch, TA Ventures","Christopher North, Dominik Richter, ICLUB VC, Lopo Champalimaud, Ole Strohschnieder, Roman Kirsch, TA Ventures",,7,"240,773"
Pre Seed Round - Yepoda,https://www.crunchbase.com/funding_round/yepoda-pre-seed--28693d7a,Yepoda,https://www.crunchbase.com/organization/yepoda,Pre-Seed,"Berlin, Berlin, Germany, Europe",2019-11-01,,,,Seed,,,,Yes,Yepoda is an online seller of skincare products.,"Beauty, Cosmetics, E-Commerce",,https://www.yepoda.com,$1M to $10M,1500000,EUR,1697858,Early Stage Venture,4,Roman Kirsch,Roman Kirsch,,1,"401,861"
Angel Round - yamuntu,https://www.crunchbase.com/funding_round/yamuntu-angel--d6d01af3,yamuntu,https://www.crunchbase.com/organization/yamuntu,Angel,"Hamburg, Hamburg, Germany, Europe",2019-06-13,,,,Seed,,,,Yes,yamuntu is the social commerce platform that democratizes the influencer market by a brand ambassador.,"Content Creators, Content Discovery, E-Commerce, Social Media, Social Shopping",,https://www.yamuntu.com/,$1M to $10M,,,,Seed,2,NCA,"Kay Holzhauser, NCA",,2,"129,635"
Seed Round - yamuntu,https://www.crunchbase.com/funding_round/yamuntu-seed--2bab6595,yamuntu,https://www.crunchbase.com/organization/yamuntu,Seed,"Hamburg, Hamburg, Germany, Europe",2021-05-21,,,,Seed,,,,Yes,yamuntu is the social commerce platform that democratizes the influencer market by a brand ambassador.,"Content Creators, Content Discovery, E-Commerce, Social Media, Social Shopping",,https://www.yamuntu.com/,$1M to $10M,,,,Seed,2,,"Felix Brosius, Philipp Frenkel, Robert André Kabs, Rolf Schromgens, Tim Ringel, Yang Zou",,6,"470,071"
Pre Seed Round - Yabal,https://www.crunchbase.com/funding_round/yabal-pre-seed--c5ce3d39,Yabal,https://www.crunchbase.com/organization/yabal,Pre-Seed,"Steinau An Der Straße, Hessen, Germany, Europe",2023-01-31,50000,USD,50000,Seed,,,,Yes,Yabal is the high-fidelity metaverse world for premium experiences and live-animated shows.,Metaverse,,https://yabal.io,,50000,USD,50000,Seed,1,,Outlier Ventures,,1,"75,485"
Seed Round - Yaak Technologies ApS,https://www.crunchbase.com/funding_round/yaak-seed--57bd3ff3,Yaak Technologies ApS,https://www.crunchbase.com/organization/yaak,Seed,"Berlin, Berlin, Germany, Europe",2022-02-17,7300000,EUR,8295577,Seed,,,,Yes,"A unified workflow to search and uncover trends within petabytes of multimodal data, and build spatial intelligence.","Artificial Intelligence (AI), Machine Learning, Simulation, Software",,https://www.yaak.ai,$1M to $10M,7300000,EUR,8295577,Seed,2,"First Fellow Partners, Maki.vc","First Fellow Partners, Forward Venture Capital, Maki.vc, PSV",2,4,"78,952"
