Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - ZREALITY GmbH,https://www.crunchbase.com/funding_round/zreality-gmbh-pre-seed--03abde3d,ZREALITY GmbH,https://www.crunchbase.com/organization/zreality-gmbh,Pre-Seed,"Kaiserslautern, Rheinland-Pfalz, Germany, Europe",2015-12-01,,,,Seed,,,,Yes,ZREALITY provides the world’s first Artificial Reality Platform,"3D Technology, Human Computer Interaction, Information Technology, SaaS, Software, Virtual Reality",,http://www.zreality.com,Less than $1M,,,,Seed,1,DDG AG,DDG AG,,1,"284,429"
Angel Round - Zazu,https://www.crunchbase.com/funding_round/cutnut-angel--7e1b9fa7,Zazu,https://www.crunchbase.com/organization/cutnut,Angel,"Hamburg, Hamburg, Germany, Europe",2018-06-01,65000,EUR,75845,Seed,,,,Yes,Zazu helps teams to create immersive experiences.,"Content, SaaS, Software",,https://zazuapp.co/,,315000,EUR,375522,Seed,4,,Kay Holzhauser,,1,"161,121"
Seed Round - Zazu,https://www.crunchbase.com/funding_round/cutnut-seed--71cb8828,Zazu,https://www.crunchbase.com/organization/cutnut,Seed,"Hamburg, Hamburg, Germany, Europe",2021-02-05,200000,EUR,240975,Seed,,,,Yes,Zazu helps teams to create immersive experiences.,"Content, SaaS, Software",,https://zazuapp.co/,,315000,EUR,375522,Seed,4,,,,,"492,090"
Non Equity Assistance - Zazu,https://www.crunchbase.com/funding_round/cutnut-non-equity-assistance--c8e170e8,Zazu,https://www.crunchbase.com/organization/cutnut,Non-equity Assistance,"Hamburg, Hamburg, Germany, Europe",2018-03-30,,,,,,,,No,Zazu helps teams to create immersive experiences.,"Content, SaaS, Software",,https://zazuapp.co/,,315000,EUR,375522,Seed,4,,Startup Sesame,,1,"663,421"
Angel Round - Zazu,https://www.crunchbase.com/funding_round/cutnut-angel--d115e857,Zazu,https://www.crunchbase.com/organization/cutnut,Angel,"Hamburg, Hamburg, Germany, Europe",2017-08-15,50000,EUR,58702,Seed,,,,Yes,Zazu helps teams to create immersive experiences.,"Content, SaaS, Software",,https://zazuapp.co/,,315000,EUR,375522,Seed,4,,Next Media Accelerator,,1,"658,341"
Pre Seed Round - YOU MAWO,https://www.crunchbase.com/funding_round/you-mawo-pre-seed--1a41a7ad,YOU MAWO,https://www.crunchbase.com/organization/you-mawo,Pre-Seed,"Konstanz, Baden-Wurttemberg, Germany, Europe",2015-09-05,75000,EUR,83619,Seed,,,,Yes,Eyewear teach company that produces 3D printed premium bespoke eyewear based on infrared 3D face scans through their proprietary software,"3D Printing, 3D Technology, Eyewear, Manufacturing",,https://www.youmawo.com/en/you-mawo/,Less than $1M,75000,EUR,83619,Seed,1,,,,,"455,135"
Non Equity Assistance - We-Convert,https://www.crunchbase.com/funding_round/we-convert-non-equity-assistance--e44bf061,We-Convert,https://www.crunchbase.com/organization/we-convert,Non-equity Assistance,"Nidda, Hessen, Germany, Europe",2024-07-31,,,,,,,,No,"We-Convert builds SmartBins,  a product that automates the entire concept of waste management.","Brand Marketing, Waste Management",,http://weconvert.org,Less than $1M,35000,USD,35000,Seed,4,,AcceliCITY powered by Leading Cities,,1,"47,880"
Pre Seed Round - We-Convert,https://www.crunchbase.com/funding_round/we-convert-pre-seed--ec099d69,We-Convert,https://www.crunchbase.com/organization/we-convert,Pre-Seed,"Nidda, Hessen, Germany, Europe",2020-08-14,35000,USD,35000,Seed,,,,Yes,"We-Convert builds SmartBins,  a product that automates the entire concept of waste management.","Brand Marketing, Waste Management",,http://weconvert.org,Less than $1M,35000,USD,35000,Seed,4,MARL 5G Accelerator,MARL 5G Accelerator,,1,"386,910"
Pre Seed Round - We-Convert,https://www.crunchbase.com/funding_round/we-convert-pre-seed--130b9c9f,We-Convert,https://www.crunchbase.com/organization/we-convert,Pre-Seed,"Nidda, Hessen, Germany, Europe",2017-10-17,,,,Seed,,,,Yes,"We-Convert builds SmartBins,  a product that automates the entire concept of waste management.","Brand Marketing, Waste Management",,http://weconvert.org,Less than $1M,35000,USD,35000,Seed,4,Fledge,Fledge,,1,"370,038"
Pre Seed Round - We-Convert,https://www.crunchbase.com/funding_round/we-convert-pre-seed--33823bf3,We-Convert,https://www.crunchbase.com/organization/we-convert,Pre-Seed,"Nidda, Hessen, Germany, Europe",2020-05-13,,,,Seed,,,,Yes,"We-Convert builds SmartBins,  a product that automates the entire concept of waste management.","Brand Marketing, Waste Management",,http://weconvert.org,Less than $1M,35000,USD,35000,Seed,4,,Alchemist Accelerator,,1,"556,962"
Series A - voya,https://www.crunchbase.com/funding_round/voya-series-a--c034527d,voya,https://www.crunchbase.com/organization/voya,Series A,"Hamburg, Hamburg, Germany, Europe",2018-08-08,,,,Early Stage Venture,,,,Yes,Voya is a software service provider for policy management about booking to billing to all processes of the travel management.,"B2B, Business Travel, Software, Travel",,http://voya.ai,$1M to $10M,,,,M&A,3,Rockaway Capital,"Global Founders Capital, Motu Ventures, Rockaway Capital",2,3,"242,790"
Seed Round - voya,https://www.crunchbase.com/funding_round/voya-seed--471f06c8,voya,https://www.crunchbase.com/organization/voya,Seed,"Hamburg, Hamburg, Germany, Europe",2016-06-10,,,,Seed,,,,Yes,Voya is a software service provider for policy management about booking to billing to all processes of the travel management.,"B2B, Business Travel, Software, Travel",,http://voya.ai,$1M to $10M,,,,M&A,3,,Motu Ventures,1,1,"640,895"
