Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Eye2Drive,https://www.crunchbase.com/funding_round/eye2drive-seed--4345b73e,Eye2Drive,https://www.crunchbase.com/organization/eye2drive,Seed,"Marina Di Carrara, Toscana, Italy, Europe",2024-11-20,1500000,EUR,1581870,Seed,,,,Yes,Eye2Drive designs vision sensors for autonomous navigation.,"Automotive, Electronics, Manufacturing, Sensor",,https://www.eye2drive.com,,1500000,EUR,1581870,Seed,1,RoboIT,"Fondazione Caript, Fondazione Cassa di Risparmio di Lucca, Fondazione CR Firenze, Fondazione Monte dei Paschi di Siena, Motor Valley Accelerator, Pariter Partners, RoboIT, Toscana Next Fund",,8,"8,676"
Pre Seed Round - Co-Rent,https://www.crunchbase.com/funding_round/co-rent-pre-seed--8cac2e27,Co-Rent,https://www.crunchbase.com/organization/co-rent,Pre-Seed,"Bologna, Emilia-Romagna, Italy, Europe",2022-08-17,100000,EUR,101775,Seed,1328571,EUR,1352159,Yes,Co-Rent is shared rental platform for cinema equipment.,Rental,,https://www.co-rent.it/,,100000,EUR,101775,Seed,1,gener8tor,"gener8tor, Right Side Capital Management",2,2,"68,154"
Seed Round - BeForPharma,https://www.crunchbase.com/funding_round/beforpharma-seed--a9ac30db,BeForPharma,https://www.crunchbase.com/organization/beforpharma,Seed,"Bari, Puglia, Italy, Europe",2024-05-20,,,,Seed,9500000,EUR,10317295,Yes,Beforpharma provides radiopharmaceutical services to nuclear medicine companies and healthcare institutions in Italy and globally.,"Health Care, Pharmaceutical, Precision Medicine",,https://www.beforpharma.com,,,,,Seed,1,,,,,"74,979"
Seed Round - Superlativa,https://www.crunchbase.com/funding_round/superlativa-srl-seed--be8f5352,Superlativa,https://www.crunchbase.com/organization/superlativa-srl,Seed,"Passirano, Lombardia, Italy, Europe",2022-08-08,500000,EUR,509918,Seed,3000000,EUR,3059507,Yes,"Superlativa represents the epitome of a new luxury understood as sustainable, zero waste, and negative carbon footprint.",Manufacturing,,http://www.superlativa.it/,,500000,EUR,509918,Seed,1,Albatros srl,Albatros srl,,1,"78,879"
Seed Round - PinCell s.r.l.,https://www.crunchbase.com/funding_round/pincell-s-r-l-seed--7d11fc9b,PinCell s.r.l.,https://www.crunchbase.com/organization/pincell-s-r-l,Seed,"Modena, Emilia-Romagna, Italy, Europe",2020-05-07,1650000,USD,1650000,Seed,,,,Yes,PinCell s.r.l. is a biotech company,"Biotechnology, Pharmaceutical, Therapeutics",,https://www.pincell.it/,Less than $1M,1650000,USD,1650000,Seed,1,Sofinnova Partners,Sofinnova Partners,1,1,"84,121"
Seed Round - Cervellotik Education,https://www.crunchbase.com/funding_round/cervellotik-education-seed--542f2de6,Cervellotik Education,https://www.crunchbase.com/organization/cervellotik-education,Seed,"Potenza, Basilicata, Italy, Europe",2021-01-19,,,,Seed,,,,Yes,"Cervellotik Education is an innovative SME operating in the online education sector and offers a web platform for digital learning, PCTOs.","E-Learning, EdTech, Education, Small and Medium Businesses",,https://www.cervellotik.com/,$1M to $10M,,,,Seed,1,CDP Venture Capital,CDP Venture Capital,,1,"102,819"
Pre Seed Round - William Zappa,https://www.crunchbase.com/funding_round/william-zappa-c82b-pre-seed--9a854415,William Zappa,https://www.crunchbase.com/organization/william-zappa-c82b,Pre-Seed,"Lecco, Lombardia, Italy, Europe",2023-04-18,,,,Seed,,,,Yes,William Zappa is a marketing agency that offers management and business consulting and SEO services.,"Advertising, CRM, Digital Marketing, Events, Lead Generation, SEM, SEO",,,,,,,Seed,1,,,,,"110,337"
Angel Round - Buzzoole,https://www.crunchbase.com/funding_round/buzzoole-angel--14ac4528,Buzzoole,https://www.crunchbase.com/organization/buzzoole,Angel,"Naples, Campania, Italy, Europe",2015-07-22,750000,EUR,819737,Seed,,,,Yes,Buzzoole is an influencer marketing platform that allows brands to integrate key influencers into their digital communications.,"Advertising, Digital Marketing, Social Media, Social Media Advertising",,http://www.buzzoole.com,$10M to $50M,15630000,EUR,18001482,Early Stage Venture,8,R-301 Capital,"Alessandro Rivetti, Custodi di successo, Digital Magics, Expert.ai, Gianmarco Lanese, Giulio Mario Limongelli, Nader Sabbaghian, R-301 Capital",,8,"112,093"
Seed Round - Wikicasa,https://www.crunchbase.com/funding_round/wikire-seed--40fa782a,Wikicasa,https://www.crunchbase.com/organization/wikire,Seed,"Milan, Lombardia, Italy, Europe",2016-09-29,300000,EUR,336606,Seed,,,,Yes,Italy-based provider of real estate listing and management solutions.,"Internet, Marketing, Real Estate",,https://www.wikicasa.it,$1M to $10M,10365828,USD,10365828,Early Stage Venture,7,,"FMG Invest, Ligurcapital SpA, Massimo Nicastro, Mastica Holding",,4,"118,581"
Seed Round - Maieutical Labs,https://www.crunchbase.com/funding_round/maieutical-labs-seed--94176174,Maieutical Labs,https://www.crunchbase.com/organization/maieutical-labs,Seed,"Pinerolo, Piemonte, Italy, Europe",2020-12-17,1300000,EUR,1594020,Seed,,,,Yes,Maieutical Labs is a software development company that designs and develops e-learning software.,"Digital Media, EdTech, Information Technology, Software",,https://maieuticallabs.it,Less than $1M,1300000,EUR,1594020,Seed,1,"LIFTT, Net4Capital","LIFTT, Net4Capital",2,2,"121,099"
