Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Venture Round - Zinsbaustein,https://www.crunchbase.com/funding_round/zinsbaustein-series-unknown--06351e12,Zinsbaustein,https://www.crunchbase.com/organization/zinsbaustein,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2018-09-09,,,,,,,,Yes,Platform for small investors to participate in the German real-estate market.,Real Estate,,https://www.zinsbaustein.de,Less than $1M,,,,,3,Sontowski & Partner Group,Sontowski & Partner Group,1,1,"287,604"
Seed Round - Zinsbaustein,https://www.crunchbase.com/funding_round/zinsbaustein-seed--0ad6ed7e,Zinsbaustein,https://www.crunchbase.com/organization/zinsbaustein,Seed,"Berlin, Berlin, Germany, Europe",2017-01-01,,,,Seed,,,,Yes,Platform for small investors to participate in the German real-estate market.,Real Estate,,https://www.zinsbaustein.de,Less than $1M,,,,,3,ProSiebenSat.1 Accelerator,ProSiebenSat.1 Accelerator,,1,"380,483"
Seed Round - Zinsbaustein,https://www.crunchbase.com/funding_round/zinsbaustein-seed--daf23cbc,Zinsbaustein,https://www.crunchbase.com/organization/zinsbaustein,Seed,"Berlin, Berlin, Germany, Europe",2016-06-09,,,,Seed,,,,Yes,Platform for small investors to participate in the German real-estate market.,Real Estate,,https://www.zinsbaustein.de,Less than $1M,,,,,3,,finleap,,1,"667,998"
Series A - zenloop,https://www.crunchbase.com/funding_round/zenloop-series-a--201ac490,zenloop,https://www.crunchbase.com/organization/zenloop,Series A,"Berlin, Berlin, Germany, Europe",2020-06-15,6100000,EUR,6917096,Early Stage Venture,,,,Yes,Zenloop is a Integrated Experience Management Platform (IXM).,"Data Center Automation, SaaS, Software",,https://www.zenloop.com/en,$10M to $50M,10900000,EUR,12359088,M&A,2,Signals Venture Capital,"Nauta Capital, Piton Capital, Signals Venture Capital",2,3,"107,020"
Seed Round - zenloop,https://www.crunchbase.com/funding_round/zenloop-seed--4f1dc804,zenloop,https://www.crunchbase.com/organization/zenloop,Seed,"Berlin, Berlin, Germany, Europe",2019-02-22,4800000,EUR,5441992,Seed,,,,Yes,Zenloop is a Integrated Experience Management Platform (IXM).,"Data Center Automation, SaaS, Software",,https://www.zenloop.com/en,$10M to $50M,10900000,EUR,12359088,M&A,2,Nauta Capital,"Nauta Capital, Piton Capital",1,2,"413,823"
Seed Round - YEAY,https://www.crunchbase.com/funding_round/yeay-gmbh-seed--9938a07b,YEAY,https://www.crunchbase.com/organization/yeay-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2017-06-05,4900000,USD,4900000,Seed,,,,Yes,YEAY provides product reviews and recommendations.,"E-Commerce, Mobile Apps, Video",,http://yeay.com,$1M to $10M,4900000,USD,4900000,Seed,2,"Grazia Equity, Mountain Partners","Dr. Cornelius Boersch, Elio Sceti, Erhard Schoewel, Grazia Equity, Mountain Partners, René Obermann",,6,"266,576"
Seed Round - YEAY,https://www.crunchbase.com/funding_round/yeay-gmbh-seed--ce0e9823,YEAY,https://www.crunchbase.com/organization/yeay-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2016-07-05,,,,Seed,,,,Yes,YEAY provides product reviews and recommendations.,"E-Commerce, Mobile Apps, Video",,http://yeay.com,$1M to $10M,4900000,USD,4900000,Seed,2,Grazia Equity,"Elio Sceti, Erhard Schoewel, Grazia Equity",,3,"375,545"
Corporate Round - YAS.life,https://www.crunchbase.com/funding_round/yas-life-corporate-round--6a130494,YAS.life,https://www.crunchbase.com/organization/yas-life,Corporate Round,"Berlin, Berlin, Germany, Europe",2017-12-15,1500000,EUR,1763430,,,,,Yes,YAS.life provides digital health bonus systems for health insurers.,"Fitness, Gamification, Health Care, Health Insurance, InsurTech, Personal Health",,http://yas.life/,$1M to $10M,6300000,EUR,7447470,Seed,3,,Deutsche Rückversicherung,,1,"170,759"
Seed Round - YAS.life,https://www.crunchbase.com/funding_round/yas-life-seed--6408b2ad,YAS.life,https://www.crunchbase.com/organization/yas-life,Seed,"Berlin, Berlin, Germany, Europe",2021-01-13,2800000,EUR,3405365,Seed,,,,Yes,YAS.life provides digital health bonus systems for health insurers.,"Fitness, Gamification, Health Care, Health Insurance, InsurTech, Personal Health",,http://yas.life/,$1M to $10M,6300000,EUR,7447470,Seed,3,Deutsche Rückversicherung,"Andreas Burike, Carcharodon Capital, Christian Power, Deutsche Rückversicherung, IBB Ventures, Ingo Weber",1,6,"308,348"
Seed Round - YAS.life,https://www.crunchbase.com/funding_round/yas-life-seed--351efec8,YAS.life,https://www.crunchbase.com/organization/yas-life,Seed,"Berlin, Berlin, Germany, Europe",2016-04-01,2000000,EUR,2278675,Seed,,,,Yes,YAS.life provides digital health bonus systems for health insurers.,"Fitness, Gamification, Health Care, Health Insurance, InsurTech, Personal Health",,http://yas.life/,$1M to $10M,6300000,EUR,7447470,Seed,3,,"Carcharodon Capital, Digital Health Ventures",,2,"654,919"
