Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - telli,https://www.crunchbase.com/funding_round/telli-4d5b-pre-seed--a1b24643,telli,https://www.crunchbase.com/organization/telli-4d5b,Pre-Seed,"Berlin, Berlin, Germany, Europe",2025-04-15,3600000,USD,3600000,Seed,,,,Yes,"Telli builds AI voice agents to automate pre-sales outreach for B2C companies, converting leads into sales opportunities.","Artificial Intelligence (AI), B2B, SaaS",,https://telli.com/en/,,3600000,USD,3600000,Seed,1,"Cherry Ventures, Y Combinator","Andreas Durth, Cherry Ventures, James Graham, Louis Frach, Matteo Maria Artero, Matthias Knoche, Nina Kani, Peer Richelsen, Peter Gao, Sebastien Goddijn, Y Combinator",1,11,167
Seed Round - Particula,https://www.crunchbase.com/funding_round/particula-055c-seed--41d53c89,Particula,https://www.crunchbase.com/organization/particula-055c,Seed,"Munich, Bayern, Germany, Europe",2025-04-29,5500000,USD,5500000,Seed,,,,Yes,Particula developed the first rating & analytics platform for digital assets.,,,https://particula.io/,Less than $1M,5500000,USD,5500000,Seed,2,"Futury Capital, SixThirty, Vanagon Ventures","BlackWood Ventures, Blue Bay Ventures, Futury Capital, Plug and Play, SixThirty, Tenity, TX Ventures, Vanagon Ventures",6,8,633
Seed Round - Rematiq,https://www.crunchbase.com/funding_round/rematiq-seed--3fcbf1fb,Rematiq,https://www.crunchbase.com/organization/rematiq,Seed,"Berlin, Berlin, Germany, Europe",2025-04-10,5400000,EUR,5985110,Seed,,,,Yes,Rematiq operates as an AI-native platform for automated product compliance in the medical technology sector.,"Artificial Intelligence (AI), Medical, Software",,https://rematiq.com/,,5400000,EUR,5985110,Seed,1,Project A Ventures,"Amino Collective, Boris Lokschin, HelloWorld, Project A Ventures, Tino Kreßner",1,5,905
Pre Seed Round - UniteLabs,https://www.crunchbase.com/funding_round/unitelabs-pre-seed--d4055e13,UniteLabs,https://www.crunchbase.com/organization/unitelabs,Pre-Seed,"Munich, Bayern, Germany, Europe",2025-04-03,2770000,EUR,3021669,Seed,,,,Yes,The operating system for AI-driven biotech R&D,"Biotechnology, Data Integration, Health Care, Industrial Automation, Internet of Things, Life Science, Software",,http://www.unitelabs.io/,Less than $1M,3031764,USD,3031764,Seed,3,NAP,"Acurio Ventures, LANA Ventures, NAP, OMA Business Angels, PUSH VC",1,5,"1,112"
Pre Seed Round - Differential Bio,https://www.crunchbase.com/funding_round/differential-bio-pre-seed--be82d23a,Differential Bio,https://www.crunchbase.com/organization/differential-bio,Pre-Seed,"Munich, Bayern, Germany, Europe",2024-12-01,2000000,EUR,2108802,Seed,,,,Yes,Differential Bio is enabling the next wave of cost-competitive bioproducts through lab automation and AI.,"Artificial Intelligence (AI), Biotechnology, Chemical, Cosmetics, Food and Beverage, Machine Learning",,https://www.differential.bio/,,2000000,EUR,2108802,Seed,1,"Ananda Impact Ventures, ReGen Ventures","Ananda Impact Ventures, better ventures, Carbon13, CDTM Venture Fund, Climate Capital, ReGen Ventures",2,6,"1,189"
Pre Seed Round - experial,https://www.crunchbase.com/funding_round/experial-pre-seed--b3c11287,experial,https://www.crunchbase.com/organization/experial,Pre-Seed,"Cologne, Nordrhein-Westfalen, Germany, Europe",2025-03-27,2000000,EUR,2156997,Seed,,,,Yes,"experial is a Cologne-based AI startup specializing in market research through its innovative ""Digital Customer Twins"" technology.","Artificial Intelligence (AI), Customer Service, Machine Learning, Market Research, Software, Web Development",,https://www.experial.ai,,2000000,EUR,2156997,Seed,1,Capnamic,"Bernd SCHMITT, Capnamic, xdeck",1,3,"1,277"
Seed Round - Cakewalk,https://www.crunchbase.com/funding_round/cakewalk-seed--b94d090b,Cakewalk,https://www.crunchbase.com/organization/cakewalk,Seed,"Berlin, Berlin, Germany, Europe",2025-04-23,7500000,USD,7500000,Seed,,,,Yes,Easy and Powerful Identity Governance for Buys IT and InfoSec Teams.,"Compliance, IT Management, Security",,https://www.getcakewalk.io,,10759637,USD,10759637,Seed,4,Kindred Capital,"Chrysanthos Chrysanthou, Fly Ventures, Gabriel Matuschka, Jonathan Heiliger, Kindred Capital, Seedcamp, Simon Leicht, Tim Sadler, Vertex Ventures US",,9,"1,901"
Pre Seed Round - DXI,https://www.crunchbase.com/funding_round/dxi-pre-seed--603edbcd,DXI,https://www.crunchbase.com/organization/dxi,Pre-Seed,"Munich, Bayern, Germany, Europe",2025-04-28,,,,Seed,,,,Yes,DXI pioneers a groundbreaking approach to customer interaction and analysis.,"Artificial Intelligence (AI), Customer Service, SaaS",,https://www.dx-i.com,,,,,Seed,1,High-Tech Gruenderfonds,High-Tech Gruenderfonds,1,1,"1,937"
Pre Seed Round - CinSOIL,https://www.crunchbase.com/funding_round/cinsoil-pre-seed--c27424ae,CinSOIL,https://www.crunchbase.com/organization/cinsoil,Pre-Seed,"Berlin, Berlin, Germany, Europe",2025-04-03,,,,Seed,,,,Yes,CinSOIL is an AI-based software tool that enables AgriFood companies decarbonise their supply chains at farm level.,"AgTech, Artificial Intelligence (AI), Farming, GreenTech, Machine Learning, Satellite Communication, Software, Sustainability",,https://cinsoil.eu/,,190000,EUR,201531,Seed,6,,,,,"2,056"
Seed Round - PULSETRAIN,https://www.crunchbase.com/funding_round/pulsetrain-seed--0d50c0c2,PULSETRAIN,https://www.crunchbase.com/organization/pulsetrain,Seed,"München, Bayern, Germany, Europe",2025-03-19,6100000,EUR,6674881,Seed,,,,Yes,"MLT, modular multilevel converter, Battery-Management, Battery ai, Multilevel, Power electronics, EV, Automotive, Battery","Artificial Intelligence (AI), Automotive, Battery, Electric Vehicle, Electronics, Generative AI, Manufacturing, Software",,https://www.pulsetrain.com,,16674881,USD,16674881,Seed,2,"Planet A Ventures, Vsquared Ventures","Climate Club, Planet A Ventures, Vsquared Ventures",2,3,"2,080"
