Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Sula Health,https://www.crunchbase.com/funding_round/sula-health-pre-seed--00f7ad61,Sula Health,https://www.crunchbase.com/organization/sula-health,Pre-Seed,"Sligo, Sligo, Ireland, Europe",2018-12-01,95000,EUR,107550,Seed,,,,Yes,"Sleep better, improve performance and drive a healthy lifestyle","Fitness, Health Care",,https://www.sulasleep.com/,$1M to $10M,95000,EUR,107550,Seed,1,,BioExel,,1,"460,272"
Seed Round - Darwin Hawkins,https://www.crunchbase.com/funding_round/darwin-hawkins-seed--a2d3b354,Darwin Hawkins,https://www.crunchbase.com/organization/darwin-hawkins,Seed,"Dublin, Dublin, Ireland, Europe",2018-01-01,,,,Seed,,,,Yes,Darwin Hawkins are committed to providing our clients with a top-rate service.,"Recruiting, Staffing Agency",,https://www.darwinhawkins.com/,$500M to $1B,,,,Seed,1,,Recruitment Entrepreneur,,1,"469,559"
Pre Seed Round - Soundmix,https://www.crunchbase.com/funding_round/soundmix-pre-seed--f486b585,Soundmix,https://www.crunchbase.com/organization/soundmix,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2018-10-16,,,,Seed,,,,Yes,"Mobile social network where electronic music fans can watch live streams together, from their favourite DJs and festivals","Media and Entertainment, Music, Social Media, Social Network, Video Streaming",,http://www.soundmix.live,,,,,Seed,1,,Voicu Oprean,,1,"461,563"
Seed Round - Luna Systems,https://www.crunchbase.com/funding_round/luna-28ca-seed--0d8c8d56,Luna Systems,https://www.crunchbase.com/organization/luna-28ca,Seed,"Dublin, Dublin, Ireland, Europe",2022-12-12,,,,Seed,,,,Yes,Luna provides AI and computer vision to manage how micromobility vehicles are ridden and parked.,"Artificial Intelligence (AI), Computer Vision, Fleet Management, Internet of Things, Last Mile Transportation, Machine Learning",,http://www.luna.systems,$1M to $10M,,,,Seed,2,,EIT Urban Mobility,,1,"471,555"
Seed Round - Filter,https://www.crunchbase.com/funding_round/filter-b697-seed--1b738937,Filter,https://www.crunchbase.com/organization/filter-b697,Seed,"Dublin, Dublin, Ireland, Europe",2022-04-01,,,,Seed,,,,Yes,A digital therapeutic improving the psychosocial health of patients with COPD.,"Health Care, Personal Health, Software, Therapeutics",,https://www.joinfilter.co,,,,,Seed,2,,NDRC,,1,"471,567"
Pre Seed Round - Trift,https://www.crunchbase.com/funding_round/trift-pre-seed--5dd10796,Trift,https://www.crunchbase.com/organization/trift,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2019-01-26,45000,EUR,51329,Seed,,,,Yes,"Trift is a travel platform with trip itineraries, guides, and stories curated by travelers alongside local businesses.","Leisure, Tourism, Travel",,https://trift.io,$1M to $10M,64942,USD,64942,Seed,2,,Propeller Shannon,,1,"484,357"
Seed Round - ZiggyTec,https://www.crunchbase.com/funding_round/ziggytec-seed--6fe68d0c,ZiggyTec,https://www.crunchbase.com/organization/ziggytec,Seed,"Dublin, Dublin, Ireland, Europe",2019-01-01,1000000,EUR,1146150,Seed,,,,Yes,We're a Dublin-based IoT company that provides businesses with live data for benchmarking sustainability improvements & annual reporting.,Environmental Consulting,,https://ziggytec.com/,,1000000,EUR,1146150,Seed,1,,Enterprise Ireland,,1,"463,605"
Pre Seed Round - Trustfy,https://www.crunchbase.com/funding_round/work-smarter-pre-seed--35f29d63,Trustfy,https://www.crunchbase.com/organization/work-smarter,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2019-07-04,75000,EUR,84634,Seed,,,,Yes,Helping non-technical business owners specify their software projects so that development goes right the first time.,"Freelance, Information Technology, Internet, Payments, Software",,https://www.trustfy.io/en,,75000,EUR,84634,Seed,3,,NDRC,,1,"484,799"
Seed Round - Social Honey,https://www.crunchbase.com/funding_round/social-honey-seed--a95c920e,Social Honey,https://www.crunchbase.com/organization/social-honey,Seed,"Dublin, Dublin, Ireland, Europe",2014-05-14,,,,Seed,,,,Yes,Social Honey is a Big Data company helping publishers make money by knowing their audience in real time. We measure content and engagement.,"Analytics, Big Data, Digital Media",,http://www.socialhoney.co,,,,,Seed,1,,Rockstart,,1,"470,989"
Pre Seed Round - Drive,https://www.crunchbase.com/funding_round/drive-0cbe-pre-seed--accd7fc4,Drive,https://www.crunchbase.com/organization/drive-0cbe,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2020-01-01,700000,EUR,785327,Seed,,,,Yes,Drive is the parent company of three automotive technology businesses.,"Automotive, Information Technology, Marketplace",,https://www.driveinc.ie/,,1700000,EUR,1875109,M&A,2,,,,,"486,609"
