Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - VAHA,https://www.crunchbase.com/funding_round/vaha-seed--85ce1d87,VAHA,https://www.crunchbase.com/organization/vaha,Seed,"Berlin, Berlin, Germany, Europe",2019-12-20,,,,Seed,,,,Yes,"VAHA is an interactive mirror provide access to personalized, immersive sessions for body, mind and nutrition at home.","Fitness, Health Care, Nutrition, Wellness",,https://www.vaha.com/,Less than $1M,,,,M&A,3,,"Global Founders Capital, HV Capital, RTP Global, TQ Ventures",,4,"259,330"
Seed Round - Flowers-Software GmbH,https://www.crunchbase.com/funding_round/flowers-software-seed--6c86ffdb,Flowers-Software GmbH,https://www.crunchbase.com/organization/flowers-software,Seed,"Munich, Bayern, Germany, Europe",2022-04-13,3200000,USD,3200000,Seed,,,,Yes,Flowers-Software builds the first Organisational Management Software - a navigation Software for processes.,"Developer Platform, Information Technology, Software",,https://www.flowers-software.de/,$1M to $10M,10203655,USD,10203655,,3,La Famiglia,"Carsten Thoma, Collective Ventures, Fabian Silberer, Gonzalo Manrique, Ignaz Forstmeier, La Famiglia, LEA Partners, Marco Reinbold",2,8,"260,243"
Seed Round - Apheris,https://www.crunchbase.com/funding_round/apheris-ai-seed--5120ddd5,Apheris,https://www.crunchbase.com/organization/apheris-ai,Seed,"Berlin, Berlin, Germany, Europe",2020-08-20,2500000,EUR,2967623,Seed,,,,Yes,"Apheris is a federated computing company that focuses on network security, addressing the need for secure data sharing.","Analytics, Artificial Intelligence (AI), Machine Learning, Network Security",,https://www.apheris.com,$10M to $50M,32482796,USD,32482796,Early Stage Venture,5,LocalGlobe,"another.vc, Charlie Songhurst, DIG Ventures, Ian Hogarth, LocalGlobe, Patrick Pichette, System.One, Torsten Reil",2,8,"261,905"
Seed Round - Mentessa,https://www.crunchbase.com/funding_round/mentessa-seed--429df483,Mentessa,https://www.crunchbase.com/organization/mentessa,Seed,"Munich, Bayern, Germany, Europe",2022-02-28,1000000,EUR,1121436,Seed,,,,Yes,"Mentessa empowers organizations to foster meaningful connections, enabling learning, growth, and equal opportunities in the workplace.","Artificial Intelligence (AI), Collaboration, Communities, E-Learning, Education, Enterprise Software, Human Resources, Peer to Peer, SaaS, Skill Assessment",,https://www.mentessa.com/,$1M to $10M,1621436,USD,1621436,Seed,2,Eleven Ventures,Eleven Ventures,1,1,"263,333"
Seed Round - receeve GmbH,https://www.crunchbase.com/funding_round/receeve-seed--94342b64,receeve GmbH,https://www.crunchbase.com/organization/receeve,Seed,"Hamburg, Hamburg, Germany, Europe",2021-12-07,4000000,EUR,4509202,Seed,,,,Yes,"A fully customisable all-in-one platform for collections & recovery. Fast to deploy, simple to manage & easy to customise & expand.","Banking, Debt Collections, Financial Services, FinTech, Information Technology, SaaS, Software",,https://www.receeve.com,,23603713,USD,23603713,Seed,4,ABN AMRO Ventures,"ABN AMRO Ventures, Seaya",1,2,"263,473"
Seed Round - MAGNOTHERM,https://www.crunchbase.com/funding_round/magnotherm-solutions-seed--68162b28,MAGNOTHERM,https://www.crunchbase.com/organization/magnotherm-solutions,Seed,"Darmstadt, Hessen, Germany, Europe",2021-03-01,600000,EUR,722922,Seed,,,,Yes,Next Generation Cooling,"3D Printing, Advanced Materials, Chemical Engineering, Data Center, Food and Beverage, Heating, Ventilation, and Air Conditioning (HVAC), Mechanical Engineering, Simulation",,https://www.magnotherm.com/,$1M to $10M,11340000,EUR,12668247,Seed,9,High-Tech Gruenderfonds,High-Tech Gruenderfonds,,1,"265,871"
Seed Round - E-mobilio,https://www.crunchbase.com/funding_round/e-mobilio-seed--8cba3669,E-mobilio,https://www.crunchbase.com/organization/e-mobilio,Seed,"München, Bayern, Germany, Europe",2022-07-19,,,,Seed,,,,Yes,E-mobilio is a manufacturer-neutral advisory and brokerage platform.,"Consulting, Information Technology",,https://e-mobilio.de/,$1M to $10M,9500000,EUR,10188421,Early Stage Venture,2,kopa ventures,"Gateway Ventures, kopa ventures, seed + speed, Triple Impact Ventures, Vireo Ventures, ZAKA VC, Übermorgen Ventures",2,7,"267,148"
Seed Round - receeve GmbH,https://www.crunchbase.com/funding_round/receeve-seed--dbc01027,receeve GmbH,https://www.crunchbase.com/organization/receeve,Seed,"Hamburg, Hamburg, Germany, Europe",2021-05-04,13500000,USD,13500000,Seed,,,,Yes,"A fully customisable all-in-one platform for collections & recovery. Fast to deploy, simple to manage & easy to customise & expand.","Banking, Debt Collections, Financial Services, FinTech, Information Technology, SaaS, Software",,https://www.receeve.com,,23603713,USD,23603713,Seed,4,Seaya,"14W, Kinled Holding, Mangrove Capital Partners, Seaya, Seedcamp, Speedinvest",3,6,"267,385"
Seed Round - vencortex®,https://www.crunchbase.com/funding_round/vencortex-seed--d4969beb,vencortex®,https://www.crunchbase.com/organization/vencortex,Seed,"Nuremberg, Bayern, Germany, Europe",2021-08-12,250000,USD,250000,Seed,,,,Yes,The world´s first software to optimize the entire decision-making process from data to actions by combining human intuition and AI.,"Artificial Intelligence (AI), B2B, Business Intelligence, Enterprise Software, Machine Learning, Predictive Analytics, Software",,https://www.vencortex.io,$1M to $10M,1825484,USD,1825484,Seed,6,,Newchip Accelerator,,1,"267,694"
Seed Round - Klima,https://www.crunchbase.com/funding_round/klima-seed--cd3036da,Klima,https://www.crunchbase.com/organization/klima,Seed,"Berlin, Berlin, Germany, Europe",2020-08-12,5000000,EUR,5897124,Seed,,,,Yes,"Klima allows everyone to take climate action, by offsetting and reducing their carbon footprint all from one app.","B2C, GreenTech, Software",,https://www.klima.com/,$1M to $10M,15800000,EUR,17614354,Early Stage Venture,3,Headline,"468 Capital, Blue Impact Ventures, Christian Reber, Headline, HV Capital, Jens Begemann, Niklas Jansen",2,7,"268,578"
