Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - MATSUKO,https://www.crunchbase.com/funding_round/matsuko-seed--7aa88ca4,MATSUKO,https://www.crunchbase.com/organization/matsuko,Seed,"Kosice, Kosice, Slovakia (Slovak Republic), Europe",2019-11-01,2460000,EUR,2747388,Seed,,,,Yes,"MATSUKO uses holograms to revolutionize training, making learning more immersive, effective, and future-ready.","B2B, Collaboration, Computer Vision, Meeting Software, Software, Video Conferencing, Virtual Reality",,http://www.matsuko.com,$1M to $10M,2998000,EUR,3337689,Seed,2,,"Granpool Innovative Investments, InfraPartners Management, IPM Group, Oktogon Ventures",,4,"314,189"
Seed Round - Gasp,https://www.crunchbase.com/funding_round/mangata-finance-seed--98e5dacf,Gasp,https://www.crunchbase.com/organization/mangata-finance,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2021-03-02,1400000,USD,1400000,Seed,,,,Yes,"Ethereum cross-rollup swaps, lightning-fast, gas-free and MEV protected","Blockchain, Cryptocurrency, FinTech, Internet",,https://www.gasp.xyz,,10600000,USD,10600000,Seed,4,Polychain,"Altonomy, CMS Holdings, IOSG Ventures, Polychain, TRGC",,5,"326,436"
Pre Seed Round - Blockmate,https://www.crunchbase.com/funding_round/blockmate-pre-seed--a7797af7,Blockmate,https://www.crunchbase.com/organization/blockmate,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2022-01-25,500000,EUR,565158,Seed,,,,Yes,Blockmate is an open-crypto API platform which integrates and connects users' crypto data to a single unified API.,"Cryptocurrency, Software",,https://www.blockmate.io/,,3500000,EUR,3655167,Seed,3,DEPO Ventures,"DEPO Ventures, Tensor Ventures",1,2,"343,955"
Seed Round - Nitroterra,https://www.crunchbase.com/funding_round/nitroterra-seed--1614a711,Nitroterra,https://www.crunchbase.com/organization/nitroterra,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2020-05-13,1000000,USD,1000000,Seed,,,,Yes,Nitroterra operates as a biotechnological startup.,Biotechnology,,https://www.nitroterratechnology.com/,,1000000,USD,1000000,Seed,2,CB Investment Management,CB Investment Management,1,1,"346,434"
Seed Round - Datamolino,https://www.crunchbase.com/funding_round/datamolino-seed--303a564f,Datamolino,https://www.crunchbase.com/organization/datamolino,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2014-02-06,500000,EUR,679606,Seed,,,,Yes,Invoice processing w/o manual data entry,"Enterprise Software, FinTech, Small and Medium Businesses",,http://datamolino.com,$1M to $10M,539250,EUR,731455,Seed,2,,"Innovations and Technologies Fund (FIT), Wayra",,2,"354,778"
Seed Round - Boataround,https://www.crunchbase.com/funding_round/boataround-seed--31dd976d,Boataround,https://www.crunchbase.com/organization/boataround,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2020-06-30,15000000,CZK,631856,Seed,,,,Yes,"Boataround is a motorboat, yacht, and catamaran rental service company.","Marine Transportation, Rental, Reservations",,https://www.boataround.com,Less than $1M,15000000,CZK,631856,Seed,4,MITON,MITON,1,1,"358,148"
Seed Round - meetnlearn,https://www.crunchbase.com/funding_round/meetnlearn-seed--f6374edf,meetnlearn,https://www.crunchbase.com/organization/meetnlearn,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2015-06-01,200000,EUR,218537,Seed,,,,Yes,Meet´n´learn helps you find available tutors from your neighbourhood for you or for your kids.,"Education, Marketplace, Online Portals",,http://www.meetnlearn.com,Less than $1M,240000,EUR,273101,Seed,2,,"Neulogy Ventures, Wayra",,2,"355,837"
Seed Round - Staffino,https://www.crunchbase.com/funding_round/staffino-seed--3a7c97dc,Staffino,https://www.crunchbase.com/organization/staffino,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2016-05-01,,,,Seed,,,,Yes,Staffino is an experience management platform that uses AI to collect feedback to improve relationships with customers and employees.,"Customer Service, Information Technology, Internet, Software",,http://staffino.com/,$1M to $10M,1607526,EUR,1831032,Seed,5,,"Neulogy Ventures, QQ Capital",,2,"355,921"
Seed Round - Airvolute,https://www.crunchbase.com/funding_round/airvolute-seed--e0ea3b09,Airvolute,https://www.crunchbase.com/organization/airvolute,Seed,"Trnava, Trnava, Slovakia (Slovak Republic), Europe",2023-03-01,1100000,EUR,1173531,Seed,,,,Yes,Airvolute is a deep tech company providing AI-driven autonomous flight capabilities to businesses and governments.,"Aerospace, Artificial Intelligence (AI), Drone Management, Drones, Information Technology, National Security, Navigation",,https://www.airvolute.com/,$1M to $10M,1600000,EUR,1760734,Seed,2,Vision Ventures,Vision Ventures,,1,"359,804"
Pre Seed Round - 3IPK,https://www.crunchbase.com/funding_round/3ipk-pre-seed--f2dbfa7e,3IPK,https://www.crunchbase.com/organization/3ipk,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2021-08-01,,,,Seed,,,,Yes,3IPK provides blockchain technology services and solutions.,"Aerospace, Blockchain, Information Technology",,http://www.3ipk.com,$10M to $50M,,,,Early Stage Venture,3,CB Investment Management,"CB Investment Management, Seraphim Space",,2,"377,219"
