Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Motorious Entertainment,https://www.crunchbase.com/funding_round/motorious-entertainment-seed--b999a386,Motorious Entertainment,https://www.crunchbase.com/organization/motorious-entertainment,Seed,"Helsinki, Southern Finland, Finland, Europe",2016-08-24,500000,EUR,563222,Seed,,,,Yes,Motorious Entertainment is a Finnish games developer and publisher.,"Developer Tools, Gaming, Video Games",,https://motorious.fi,Less than $1M,1800000,EUR,2023135,Seed,2,,,,,"668,992"
Seed Round - Showell,https://www.crunchbase.com/funding_round/showell-the-simple-fast-and-elegant-tablet-sales-app-seed--c0465ec4,Showell,https://www.crunchbase.com/organization/showell-the-simple-fast-and-elegant-tablet-sales-app,Seed,"Jyväskylä, Western Finland, Finland, Europe",2014-08-01,120000,USD,120000,Seed,,,,Yes,"Showell: Sales Simplified - Manage, Find, Present, Share, and Track Your Sales Content","Content, Information Technology, Mobile Apps, SaaS, Sales Enablement, Software",,http://www.showell.com,$1M to $10M,1472174,USD,1472174,Seed,3,,,,,"669,342"
Angel Round - Heavyweight Rex,https://www.crunchbase.com/funding_round/heavyweight-rex-angel--6874d441,Heavyweight Rex,https://www.crunchbase.com/organization/heavyweight-rex,Angel,"Espoo, Southern Finland, Finland, Europe",2016-12-06,,,,Seed,,,,Yes,"Heavyweight Rex is privately held game studio from Helsinki Area, Finland.","Android, Blockchain, Gaming, iOS, Online Games, PC Games",,http://www.heavyweightrex.com,Less than $1M,,,,Seed,9,,,,,"669,922"
Pre Seed Round - Tespack,https://www.crunchbase.com/funding_round/tespack-pre-seed--c072edea,Tespack,https://www.crunchbase.com/organization/tespack,Pre-Seed,"Espoo, Southern Finland, Finland, Europe",2016-04-13,200000,EUR,225583,Seed,,,,Yes,Tespack is a pioneering company specialised in creating smart mobile micro-grids for challenging markets.,"Artificial Intelligence (AI), Battery, Energy, Machine Learning, Software, Solar",,http://www.tespack.com,$1M to $10M,1075888,USD,1075888,Seed,7,,,,,"670,832"
Seed Round - Froont,https://www.crunchbase.com/funding_round/froont-seed--d0b06df6,Froont,https://www.crunchbase.com/organization/froont,Seed,"Helsinki, Southern Finland, Finland, Europe",2013-02-20,100000,EUR,132863,Seed,,,,Yes,Froont is a web-based design tool that runs in the browser and makes responsive web design accessible to all kinds of visual designers.,"Internet, Software, Web Design",,http://www.froont.com,$1M to $10M,600000,EUR,822550,Seed,2,,,,,"671,159"
Seed Round - Framery,https://www.crunchbase.com/funding_round/framery-inc-seed--dfe55c6f,Framery,https://www.crunchbase.com/organization/framery-inc,Seed,"Tampere, Western Finland, Finland, Europe",2012-03-05,40000,EUR,52886,Seed,560000,EUR,740410,Yes,Framery is the global lead-disruptor of activity based work environments. Framery enables you to concentrate just a little better.,"Delivery, Furniture, Mobile",,http://www.frameryacoustics.com/,$10M to $50M,1490000,EUR,1928753,M&A,3,,,,,"671,171"
Seed Round - Cardiolyse,https://www.crunchbase.com/funding_round/cardiolyse-seed--307cb073,Cardiolyse,https://www.crunchbase.com/organization/cardiolyse,Seed,"Helsinki, Southern Finland, Finland, Europe",2021-02-10,300000,EUR,363562,Seed,,,,Yes,"Cardiolyse is a cloud ECG & HRV analytics platform that provides personalized reports, heart failures detection, and data-based prognosis.","Analytics, Electronic Health Record (EHR), Health Care, Home Health Care, Information Technology, Machine Learning, Medical Device, Software, Wellness",,https://cardiolyse.com,Less than $1M,1379785,USD,1379785,Seed,8,,,,,"671,379"
Pre Seed Round - JoyHaptics,https://www.crunchbase.com/funding_round/joyhaptics-pre-seed--45d930be,JoyHaptics,https://www.crunchbase.com/organization/joyhaptics,Pre-Seed,"Helsinki, Southern Finland, Finland, Europe",2018-07-31,350000,USD,350000,Seed,,,,Yes,Send your loved one touch anywhere in the world,"Health Care, Internet of Things, Personal Health, Software, Wellness",,https://www.joyhaptics.com/,,450000,USD,450000,Seed,4,,,,,"671,899"
Seed Round - United Finance,https://www.crunchbase.com/funding_round/united-finance-oyj-seed--93ff34d4,United Finance,https://www.crunchbase.com/organization/united-finance-oyj,Seed,"Helsinki, Southern Finland, Finland, Europe",2016-12-01,950000,EUR,1013063,Seed,1900000,EUR,2026126,Yes,"Smartcontract, Fintech, Subscription, Payment, Financing, Invoicing","E-Commerce, Financial Services, FinTech",,https://ufinance.com,,5050000,EUR,5937479,Seed,2,,,,,"671,955"
Angel Round - Kiosked,https://www.crunchbase.com/funding_round/kiosked-angel--144cc82c,Kiosked,https://www.crunchbase.com/organization/kiosked,Angel,"Helsinki, Southern Finland, Finland, Europe",2010-01-01,500000,EUR,717100,Seed,,,,Yes,"Kiosked is an independent advertising automation platform company for ​native, in­view digital advertising.","Advertising, Advertising Platforms, Digital Marketing, Internet",,http://www.kiosked.com,$10M to $50M,79815349,USD,79815349,Late Stage Venture,8,,,,,"673,164"
