Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - EGO Sports GmH,https://www.crunchbase.com/funding_round/ego-sports-gmh-seed--bab63d55,EGO Sports GmH,https://www.crunchbase.com/organization/ego-sports-gmh,Seed,"Salzburg, Salzburg, Austria, Europe",2013-09-06,,,,Seed,,,,Yes,EGO Sports builds electric motor systems that fit nearly every mountain bike.,"Consumer Goods, Manufacturing",,http://www.ego-kits.com,$1M to $10M,,,,Seed,1,,Venionaire Capital,,1,"571,189"
Seed Round - Venuzle,https://www.crunchbase.com/funding_round/venuzle-seed--c7c2dd29,Venuzle,https://www.crunchbase.com/organization/venuzle,Seed,"Graz, Steiermark, Austria, Europe",2017-07-05,50000,EUR,56733,Seed,,,,Yes,Venuzle links sports people to sports providers by offering a marketplace and management solutions for sports providers of all kind.,"Marketplace, Software, Sports",,https://venuzle.at/,Less than $1M,410000,EUR,489307,Seed,3,,"LEAD, startup300",,2,"571,375"
Seed Round - Cortical.io,https://www.crunchbase.com/funding_round/cept-systems-seed--14dec9ce,Cortical.io,https://www.crunchbase.com/organization/cept-systems,Seed,"Vienna, Wien, Austria, Europe",2013-11-22,1500000,EUR,2033694,Seed,,,,Yes,Cortical.io offers AI-based solutions for intelligent document processing leveraging a proprietary technology inspired by neuroscience.,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Insurance, InsurTech, Machine Learning, Natural Language Processing, Software",,https://www.cortical.io,$1M to $10M,21318717,USD,21318717,Early Stage Venture,7,,"REVENTON, Zirngast",,2,"583,394"
Seed Round - Infotemp,https://www.crunchbase.com/funding_round/infotemp-seed--4bab5ade,Infotemp,https://www.crunchbase.com/organization/infotemp,Seed,"Vienna, Wien, Austria, Europe",2016-05-19,689000,EUR,771877,Seed,4000000,EUR,4481145,Yes,"SaaS for Time Management, Payroll and intelligent Analytics.","Analytics, Human Resources, SaaS",,https://www.infotemp.com,$1M to $10M,1094000,EUR,1267586,Seed,3,,"austria Wirtschaftsservice (aws), Infocom",,2,"583,493"
Seed Round - KochAbo,https://www.crunchbase.com/funding_round/kochabo-seed--7c770d7e,KochAbo,https://www.crunchbase.com/organization/kochabo,Seed,"Vienna, Wien, Austria, Europe",2013-07-10,,,,Seed,,,,Yes,KochAbo is an e-commerce food delivery service providing recipes and all the corresponding ingredients for home cooking.,"Cooking, Delivery Service, E-Commerce, Health Care",,http://www.kochabo.de,,,,,M&A,4,,AltaIR Capital,1,1,"583,828"
Pre Seed Round - PiktID,https://www.crunchbase.com/funding_round/piktid-pre-seed--c6834074,PiktID,https://www.crunchbase.com/organization/piktid,Pre-Seed,"Klagenfurt, Karnten, Austria, Europe",2021-02-09,142000,USD,142000,Seed,,,,Yes,PiktID’s AI-powered tool enables face anonymization in existing photos by creating new identities.,"Artificial Intelligence (AI), Information Technology, SaaS",,https://piktids.com/,,142000,USD,142000,Seed,3,,,,,"586,277"
Pre Seed Round - Autonoma Technologies,https://www.crunchbase.com/funding_round/autonoma-technologies-pre-seed--0238a1dd,Autonoma Technologies,https://www.crunchbase.com/organization/autonoma-technologies,Pre-Seed,"Linz, Oberosterreich, Austria, Europe",2021-01-01,,,,Seed,,,,Yes,Autonoma Technologies is an information technology company that specializes in the digitalization of customer platforms.,Information Technology,,https://autonoma.cloud,Less than $1M,,,,Seed,2,,tech2b Inkubator,,1,"589,525"
Pre Seed Round - Seasy.com,https://www.crunchbase.com/funding_round/seasy-pre-seed--d33975ed,Seasy.com,https://www.crunchbase.com/organization/seasy,Pre-Seed,"Graz, Steiermark, Austria, Europe",2019-01-01,,,,Seed,,,,Yes,"Seasy - Making Sea Life Easy, Digital Boating Platform","Leisure, Sailing, Tourism, Travel",,https://www.seasy.com,Less than $1M,,,,Seed,3,,tech2b Inkubator,,1,"592,334"
Seed Round - RateBoard,https://www.crunchbase.com/funding_round/rateboard-seed--ba231ad4,RateBoard,https://www.crunchbase.com/organization/rateboard,Seed,"Innsbruck, Tirol, Austria, Europe",2018-06-06,1300000,EUR,1531587,Seed,,,,Yes,Automated price optimisation for hotels & resorts of all sizes!,"Hospitality, SaaS, Software",,https://www.rateboard.io,$1M to $10M,2300000,EUR,2564792,Seed,4,,aws Gründungsfonds,,1,"588,970"
Pre Seed Round - PlanRadar,https://www.crunchbase.com/funding_round/defectradar-pre-seed--ba67a924,PlanRadar,https://www.crunchbase.com/organization/defectradar,Pre-Seed,"Vienna, Wien, Austria, Europe",2017-03-01,,,,Seed,,,,Yes,PlanRadar offers a SaaS solution for documentation and communication in construction and real estate projects.,"Architecture, Collaboration, Construction, Real Estate, SaaS",,https://www.planradar.com,$50M to $100M,91200000,EUR,103079376,Early Stage Venture,6,,Loric Ventures,,1,"589,175"
