Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Adaptavate,https://www.crunchbase.com/funding_round/adaptavate-seed--7bee1db7,Adaptavate,https://www.crunchbase.com/organization/adaptavate,Seed,"Stonehouse, Gloucestershire, United Kingdom, Europe",2025-04-23,2700000,GBP,3588150,Seed,,,,Yes,Adaptavate is focussing on developing and commercialising material solutions that disrupt the conventional construction industry.,"Building Material, Real Estate",,http://www.adaptavate.com/,$1M to $10M,7660000,GBP,10038097,Seed,4,"SkreenHouse Ventures, Undivided","SkreenHouse Ventures, Undivided",2,2,"1,150"
Seed Round - Reality Games,https://www.crunchbase.com/funding_round/reality-games-seed--74bcab15,Reality Games,https://www.crunchbase.com/organization/reality-games,Seed,"London, England, United Kingdom, Europe",2025-03-07,4300000,EUR,4647679,Seed,,,,Yes,Reality Games is a mobile game developer that combines real-world data with realistic gameplay.,"Big Data, Gaming, Location Based Services, Mobile, Mobile Apps, Video Games",,https://reality.co/,$1B to $10B,13768169,USD,13768169,Seed,11,,"Acquinox Capital, Unfold.vc",,2,"10,206"
Seed Round - Marleybones,https://www.crunchbase.com/funding_round/marleybones-seed--ed466599,Marleybones,https://www.crunchbase.com/organization/marleybones,Seed,"London, England, United Kingdom, Europe",2024-04-09,900000,GBP,1140945,Seed,,,,Yes,Marleybones is a consumer goods firm that specializes in dog food.,"Consumer Goods, Food and Beverage, Pet",,https://marleybones.com/,Less than $1M,900000,GBP,1140945,Seed,2,JamJar Investments,"Active Partners, JamJar Investments",1,2,"23,773"
Angel Round - Trendy Beat Network,https://www.crunchbase.com/funding_round/trendy-beat-network-limited-angel--0f92b174,Trendy Beat Network,https://www.crunchbase.com/organization/trendy-beat-network-limited,Angel,"London, England, United Kingdom, Europe",2024-06-23,5450000,AED,1483801,Seed,,,,Yes,"Media and Advertising Company providing services including Digital Music Distribution, Social Media Promotions and Law Enforcement","Advertising, Digital Media, Music",,https://trendybeat.com,$1M to $10M,15042395,USD,15042395,Seed,29,,Saudi Angel Investors,,1,"34,673"
Seed Round - Hangar19,https://www.crunchbase.com/funding_round/hangar19-seed--bc2638c4,Hangar19,https://www.crunchbase.com/organization/hangar19,Seed,"Chelmsford, Essex, United Kingdom, Europe",2024-02-15,,,,Seed,,,,Yes,Hangar19 is an engineering solutions company.,"Consulting, Energy Storage",,https://hangar-19.com,,,,,Seed,1,Design Age Institute,Design Age Institute,,1,"47,548"
Seed Round - Enqura,https://www.crunchbase.com/funding_round/enqura-information-technologies-seed--459a40d0,Enqura,https://www.crunchbase.com/organization/enqura-information-technologies,Seed,"London, England, United Kingdom, Europe",2023-09-25,2900000,USD,2900000,Seed,,,,Yes,Enqura is a fintech company that provides artificial intelligence solutions for digital transformation through a platform.,"Artificial Intelligence (AI), Banking, FinTech, Generative AI, Security",,https://enqura.com,$10M to $50M,2900000,USD,2900000,Seed,2,,"Doğa Girişim, ECHO Contact Center, Eksim Ventures, Hedef Girisim, Lima Ventures, Mehmet Darendeli, Sistem Global, İsmail Emre Peser",,8,"51,733"
Seed Round - BrightSign,https://www.crunchbase.com/funding_round/brightsign-a4b3-seed--be4b2ce0,BrightSign,https://www.crunchbase.com/organization/brightsign-a4b3,Seed,"London, England, United Kingdom, Europe",2016-01-01,,,,Seed,,,,Yes,BrightSign is a data glove wired with sensors to translate sign language hand gestures to text and speech. ,"Information Technology, Sensor, Wearables",,https://brightsignglove.com/,$10M to $50M,50000,GBP,62224,Seed,2,,KAUST Innovation Fund,,1,"60,826"
Seed Round - Bink,https://www.crunchbase.com/funding_round/bink-seed--d8395168,Bink,https://www.crunchbase.com/organization/bink,Seed,"Ascot, Windsor and Maidenhead, United Kingdom, Europe",2016-06-03,4500000,GBP,6532238,Seed,,,,Yes,Bink offers loyalty and payment solutions for businesses and consumers.,"FinTech, Mobile Apps, Mobile Payments",,https://www.bink.com,$10M to $50M,34447408,USD,34447408,,6,QVentures,"1818 Venture Capital, QVentures",,2,"62,454"
Seed Round - DName-iT,https://www.crunchbase.com/funding_round/dname-it-seed--718d4707,DName-iT,https://www.crunchbase.com/organization/dname-it,Seed,"Belfast, Belfast, United Kingdom, Europe",2023-06-30,500000,GBP,634014,Seed,,,,Yes,DName-iT is a genetic analysis company that offers DNA-based barcode labelling technology and a software platform.,"Genetics, Medical, Productivity Tools",,https://www.dnameit.com,Less than $1M,500000,GBP,634014,Seed,1,EMV Capital,"EMV Capital, Gemma Frisius Fund",1,2,"80,464"
Seed Round - CHAIN Biotechnology,https://www.crunchbase.com/funding_round/chain-biotechnology-seed--43711e30,CHAIN Biotechnology,https://www.crunchbase.com/organization/chain-biotechnology,Seed,"Marlow, Buckinghamshire, United Kingdom, Europe",2015-01-01,,,,Seed,,,,Yes,CHAIN Biotechnology is a microbiome therapeutics company with a novel drug development platform targeting chronic gut-related diseases.,"Biotechnology, Health Care, Medical",,http://chainbiotech.com/,Less than $1M,2300000,GBP,2991306,Seed,5,UK Innovation & Science Seed Fund,"Future Planet Capital, Rockley Group, UK Innovation & Science Seed Fund",,3,"82,704"
Seed Round - MyPeople,https://www.crunchbase.com/funding_round/mypeople-seed--d3965c24,MyPeople,https://www.crunchbase.com/organization/mypeople,Seed,"Guildford, Surrey, United Kingdom, Europe",2023-06-27,800000,GBP,1019646,Seed,,,,Yes,"MyPeople designs and builds analytical software solutions to assists organizations in managing scaling, training ROI and recruitment.","Analytics, CRM, Information Technology, Software",,https://www.mypeoplegroup.com,Less than $1M,800000,GBP,1019646,Seed,1,The FSE Group,The FSE Group,1,1,"82,779"
Seed Round - Adaptavate,https://www.crunchbase.com/funding_round/adaptavate-seed--1e335869,Adaptavate,https://www.crunchbase.com/organization/adaptavate,Seed,"Stonehouse, Gloucestershire, United Kingdom, Europe",2023-08-01,2000000,GBP,2559050,Seed,,,,Yes,Adaptavate is focussing on developing and commercialising material solutions that disrupt the conventional construction industry.,"Building Material, Real Estate",,http://www.adaptavate.com/,$1M to $10M,7660000,GBP,10038097,Seed,4,Counteract,"Counteract, Low Carbon Innovation Fund, Perivoli Innovations",4,3,"83,607"
Seed Round - Trendii,https://www.crunchbase.com/funding_round/former-trendii-seed--fd35b6db,Trendii,https://www.crunchbase.com/organization/former-trendii,Seed,"Glasgow, Glasgow City, United Kingdom, Europe",2022-09-26,2900000,AUD,1876729,Seed,,,,Yes,Trendii is a collaborative & creative social commerce platform that enables users to express themselves in an entirely unique way.,"Digital Marketing, E-Commerce, Retail Technology, Social",,http://www.trendii.com,$1M to $10M,2900000,AUD,1876729,Seed,2,Investible,Investible,1,1,"85,453"
Seed Round - Hypetex,https://www.crunchbase.com/funding_round/hypetex-seed--c69ca3ef,Hypetex,https://www.crunchbase.com/organization/hypetex,Seed,"London, England, United Kingdom, Europe",2022-07-12,1250000,GBP,1484728,Seed,,,,Yes,Hypetex manufactures coloured carbon fibre using sustainable colourisation materials.,"Industrial, Manufacturing, Service Industry",,https://www.hypetex.com/,,1467000,GBP,1777223,Seed,3,24 Haymarket,24 Haymarket,1,1,"85,843"
Seed Round - IntelliSense.io,https://www.crunchbase.com/funding_round/intellisense-io-seed--5971f202,IntelliSense.io,https://www.crunchbase.com/organization/intellisense-io,Seed,"Cambridge, Cambridgeshire, United Kingdom, Europe",2020-08-18,,,,Seed,,,,Yes,An Industrial AI company focusing on the Mining sector increasing efficiency sustainability & safety with trusted & transparent AI solutions,"Analytics, Artificial Intelligence (AI), Big Data, Data Visualization, Intelligent Systems, Internet of Things, Machine Learning, Mining, Mining Technology, Software",,https://intellisense.io,$1M to $10M,,,,Seed,1,BASF Venture Capital,"BASF Venture Capital, Dr. Steve Garnett, Stephen Kelly",1,3,"89,250"
