Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Sensifai,https://www.crunchbase.com/funding_round/sensifai-pre-seed--596768c4,Sensifai,https://www.crunchbase.com/organization/sensifai,Pre-Seed,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe",2017-12-01,75000,USD,75000,Seed,,,,Yes,Sensifai offers most comprehensive video recognition system.,"Artificial Intelligence (AI), Computer Vision, Image Recognition, Information Technology, Machine Learning, Speech Recognition, Video, Visual Search",,http://www.sensifai.com,$1M to $10M,1521868,USD,1521868,Seed,12,,European Commission,,1,"632,677"
Seed Round - intigriti,https://www.crunchbase.com/funding_round/intigriti-seed--522fa748,intigriti,https://www.crunchbase.com/organization/intigriti,Seed,"Antwerp, Antwerpen, Belgium, Europe",2017-03-22,,,,Seed,,,,Yes,Intigriti enables clients to launch managed security testing at scale and accurately assess risk to prioritize remediation.,"Cloud Security, Cyber Security, Network Security, Security",,https://www.intigriti.com,$10M to $50M,25345129,EUR,27219575,Early Stage Venture,4,,The CoFoundry,,1,"637,552"
Seed Round - Look Live Media,https://www.crunchbase.com/funding_round/look-4-seed--ae992571,Look Live Media,https://www.crunchbase.com/organization/look-4,Seed,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe",2017-01-16,,,,Seed,,,,Yes,Look is a NewsTech Startup active in the citizen journalism space. ,"Apps, Media and Entertainment, Mobile, Video Streaming",,http://look-app.net,Less than $1M,460000,EUR,525943,M&A,6,,Roularta Media Group,,1,"637,852"
Seed Round - OJOO,https://www.crunchbase.com/funding_round/ojoo-seed--066cd777,OJOO,https://www.crunchbase.com/organization/ojoo,Seed,"Ghent, Oost-Vlaanderen, Belgium, Europe",2015-05-01,1000000,USD,1000000,Seed,,,,Yes,Gamify the world. Create mobile games without coding and play them at home or at different locations.,"Digital Entertainment, DIY, Education, Gamification, Gaming, Internet of Things, Tourism",,http://www.ojoo.com,Less than $1M,1410000,USD,1410000,Seed,2,,,,,"627,751"
Seed Round - XO Markets,https://www.crunchbase.com/funding_round/xo-markets-seed--895c387c,XO Markets,https://www.crunchbase.com/organization/xo-markets,Seed,"Ans, Liege, Belgium, Europe",2013-06-12,,,,Seed,,,,Yes,"XO Markets Holdings focuses on bringing about a vibrant, commercial marketplace from low-Earth orbit, to deep space, and beyond.","Aerospace, Marketplace, Space Travel",,http://xomarkets.com/,$1M to $10M,23000000,USD,23000000,M&A,4,,Esther Dyson,,1,"638,330"
Seed Round - Invibes Advertising,https://www.crunchbase.com/funding_round/invibes-seed--689e14dd,Invibes Advertising,https://www.crunchbase.com/organization/invibes,Seed,"Ghent, Oost-Vlaanderen, Belgium, Europe",2017-08-01,,,,Seed,,,,Yes,Invibes uses a proprietary technology to target and deliver in-feed advertising campaigns on media inventory.,"Advertising, Internet, Marketing",,http://www.invibes.com/,$10M to $50M,5000000,EUR,6016254,IPO,4,,Pleiade Venture,,1,"631,225"
Seed Round - Billy Bike,https://www.crunchbase.com/funding_round/billy-3d22-seed--02f2a24c,Billy Bike,https://www.crunchbase.com/organization/billy-3d22,Seed,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe",2021-03-03,495000,EUR,596312,Seed,,,,Yes,Billy is a facilities services company that specializes in providing shared electric bicycles you can pick up and drop off everywhere.,"Internet, Transportation",,https://billy.bike,$1M to $10M,2729000,EUR,3163319,Seed,7,,,,,"638,994"
Seed Round - SupplyStack,https://www.crunchbase.com/funding_round/slick-software-solutions-seed--1768c6b9,SupplyStack,https://www.crunchbase.com/organization/slick-software-solutions,Seed,"Antwerp, Antwerpen, Belgium, Europe",2016-09-15,1500000,EUR,1687194,Seed,,,,Yes,SupplyStack helps modern shippers and logistics service providers to improve their net margin with real-time transport mgmt.,"Freight Service, Logistics, SaaS, Supply Chain Management, Transportation",,https://www.supplystack.com/,$1M to $10M,6500000,EUR,7315125,M&A,2,,Fortino Capital,,1,"639,012"
Seed Round - Andaman7,https://www.crunchbase.com/funding_round/andaman7-seed--9dda75d6,Andaman7,https://www.crunchbase.com/organization/andaman7,Seed,"Boncelles, Liege, Belgium, Europe",2014-11-01,200000,USD,200000,Seed,,,,Yes,"Andaman7: a modern ePRO platform, RWE, virtual clinical studies, siteless trials... all that with a connected PHR for patients !","Biotechnology, Clinical Trials, Health Care, Home Health Care, Information Technology, Medical Device, mHealth, Outpatient Care",,https://www.andaman7.com,$1M to $10M,2628798,USD,2628798,,3,,Vincent Keunen,,1,"632,835"
Pre Seed Round - Sitemark,https://www.crunchbase.com/funding_round/sitemark-pre-seed--c7dc5abf,Sitemark,https://www.crunchbase.com/organization/sitemark,Pre-Seed,"Leuven, Vlaams-Brabant, Belgium, Europe",2016-07-13,,,,Seed,,,,Yes,Fast and accurate solar site visibility,"Aerospace, Drones, Renewable Energy, Software",,https://www.sitemark.com/,$1M to $10M,6000000,EUR,6659094,Early Stage Venture,3,,Startupbootcamp Smart Transportation & Energy Berlin,,1,"633,119"
