Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Venture Round - Naco Technologies,https://www.crunchbase.com/funding_round/naco-technologies-ltd-series-unknown--4458b3a9,Naco Technologies,https://www.crunchbase.com/organization/naco-technologies-ltd,Venture - Series Unknown,2025-01-14,2500000,EUR,2576525,,Radix Ventures,"Impact Ventures, KENDRIS Capital, Radix Ventures","5,049",,,,,"Naco Technologies is a nanotechnology firm that develops, manufactures, and supplies nano-coating technologies to customers worldwide.","Manufacturing, Nanotechnology, Product Management, Quality Assurance","Riga, Riga, Latvia, Europe",http://www.nacotechnologies.com,Less than $1M,8650000,EUR,9608632,M&A,9,3,1,Yes,
Venture Round - Lios,https://www.crunchbase.com/funding_round/lios-group-series-unknown--b641e94f,Lios,https://www.crunchbase.com/organization/lios-group,Venture - Series Unknown,2025-06-24,6250000,EUR,7257762,,EIC Accelerator,EIC Accelerator,"5,583",,,,,Empowering the building of tomorrow’s quieter world – eradicating noise pollution and avoidable hearing damage.,"Advanced Materials, Chemical, Electronics, Health Care","Dublin, Dublin, Ireland, Europe",http://www.lios-group.com,$1M to $10M,8550000,EUR,9790252,,10,1,,Yes,
Series B - Sekoia.io,https://www.crunchbase.com/funding_round/sekoia-2-series-b--26c84072,Sekoia.io,https://www.crunchbase.com/organization/sekoia-2,Series B,2025-04-09,26000000,EUR,28457816,,Revaia,"Bpifrance, Bright Pixel (formerly Sonae IM), Omnes Capital, Revaia, Unexo","7,315",,,,Early Stage Venture,Sekoia.io is an intelligence driven SOC platform that enables security analysts to detect & respond threats in real time,"Cyber Security, SaaS, Software","Paris, Ile-de-France, France, Europe",https://www.sekoia.io,$1M to $10M,71000000,EUR,77868331,Early Stage Venture,3,5,2,Yes,
Series F - Job&Talent,https://www.crunchbase.com/funding_round/jobandtalent-series-f--c6122c22,Job&Talent,https://www.crunchbase.com/organization/jobandtalent,Series F,2025-04-10,92000000,EUR,103593921,,,"Atomico, BlackRock, DN Capital, Hercules Capital, InfraVia Capital Partners, Kibo Ventures, Kinnevik","8,705",1208000000,EUR,1360233221,Late Stage Venture,Jobandtalent is an online staffing marketplace for finding and filling gig-type jobs.,"Employment, Marketplace, Staffing Agency","Madrid, Madrid, Spain, Europe",http://www.jobandtalent.com,$10M to $50M,1726511177,USD,1726511177,Late Stage Venture,21,7,,Yes,
Venture Round - flowww,https://www.crunchbase.com/funding_round/flowww-system-series-unknown--b1da130d,flowww,https://www.crunchbase.com/organization/flowww-system,Venture - Series Unknown,2025-03-13,4000000,EUR,4352093,,"Bonsai Partners, Swanlaab Venture Factory","Bonsai Partners, Sabadell Venture Capital, Swanlaab Venture Factory","8,937",,,,,"Flowww provides software and tools to optimize processes, marketing, and patient connections in aesthetic medicine, beauty, and health.","CRM, Enterprise Resource Planning (ERP), Enterprise Software, SaaS, Software","Madrid, Madrid, Spain, Europe",http://flowww.com,$10M to $50M,5000000,EUR,5465556,,3,3,3,Yes,
Series B - Newronika,https://www.crunchbase.com/funding_round/newronika-series-b--b15cde8c,Newronika,https://www.crunchbase.com/organization/newronika,Series B,2025-02-13,13600000,EUR,14162506,,ENEA Tech e Biomedical,"ENEA Tech e Biomedical, F3F, Indaco Venture Partners, Innogest Capital, TNBT Capital, Wille Finance","9,054",,,,Early Stage Venture,Newronika restores brain and body functions with innovative technologies.,"Bioinformatics, Biotechnology, Health Care, Medical Device, Neuroscience","Milan, Lombardia, Italy, Europe",http://www.newronika.com,$1M to $10M,26200000,EUR,27920168,Early Stage Venture,5,6,2,Yes,
Venture Round - ecop Technologies GmbH,https://www.crunchbase.com/funding_round/ecop-technologies-series-unknown--fe624135,ecop Technologies GmbH,https://www.crunchbase.com/organization/ecop-technologies,Venture - Series Unknown,2025-05-27,10500000,EUR,11971119,,"European Innovation Council Fund, KSB","EIT InnoEnergy, European Innovation Council Fund, Finadvice, KSB, New Energy Technology","9,106",,,,,"ecop is a high-tech company that manufactures rotation heat pumps for industrial use using a novel, multi-patented technology.",Machinery Manufacturing,"Neuhofen An Der Krems, Oberosterreich, Austria, Europe",http://www.ecop.at/,$1M to $10M,25530000,EUR,28404699,,7,5,1,Yes,
Venture Round - Xopero,https://www.crunchbase.com/funding_round/xopero-series-unknown--5c864e03,Xopero,https://www.crunchbase.com/organization/xopero,Venture - Series Unknown,2024-09-04,5000000,USD,5000000,,Warsaw Equity Group,"Maciej Zawadzinski, Pawel Maj, Warsaw Equity Group","11,870",,,,,"Data protection, backup and disaster recovery","Cyber Security, Software","Gorzów Wielkopolski, Lubuskie, Poland, Europe",https://xopero.com,Less than $1M,5272688,USD,5272688,,2,3,,Yes,
Series A - PulseSight Therapeutics,https://www.crunchbase.com/funding_round/pulsesight-therapeutics-series-a--f4663020,PulseSight Therapeutics,https://www.crunchbase.com/organization/pulsesight-therapeutics,Series A,2025-02-13,,,,,Pureos Bioventures,Pureos Bioventures,"13,985",,,,Early Stage Venture,PulseSight Therapeutics creates innovative non-viral gene therapies using minimally invasive delivery technology.,"Biotechnology, Medical, Therapeutics","Paris, Ile-de-France, France, Europe",https://pulsesight.com/,,,,,Early Stage Venture,2,1,1,Yes,
Venture Round - GA Drilling,https://www.crunchbase.com/funding_round/ga-drilling-series-unknown--761f9ed2,GA Drilling,https://www.crunchbase.com/organization/ga-drilling,Venture - Series Unknown,2025-07-31,44600000,USD,44600000,,,,"20,817",,,,,"GA Drilling is developing a groundbreaking drilling technology PLASMABIT that enables revolution in geothermal energy, massive cost savings.","Energy, Geothermal Energy, Information Technology, Mining, Renewable Energy, Solar","Trnava, Trnava, Slovakia (Slovak Republic), Europe",http://www.gadrilling.com,$1M to $10M,96471312,USD,96471312,,12,,,Yes,
Series A - Sinay,https://www.crunchbase.com/funding_round/sinay-series-a--ddaadd61,Sinay,https://www.crunchbase.com/organization/sinay,Series A,2024-08-02,3800000,EUR,4149790,,,"Alpana Ventures, Motion Ventures, Normandie Littoral, Seventure Partners, Shift4Good","24,033",,,,Early Stage Venture,"Sinay provides numerous solutions for maritime sector stakeholders, such as collecting and analysing maritime data.","Analytics, Marine Technology","Caen, Basse-Normandie, France, Europe",https://sinay.ai,$1M to $10M,11952870,USD,11952870,Early Stage Venture,5,5,,Yes,
Venture Round - BetaGlue Technologies,https://www.crunchbase.com/funding_round/betaglue-technologies-series-unknown--a7dd3035,BetaGlue Technologies,https://www.crunchbase.com/organization/betaglue-technologies,Venture - Series Unknown,2024-06-06,8000000,EUR,8713373,,"LIFTT, Neva SGR","Fin Posillipo Spa, Giovanni Cerutti, LIFTT, Neva SGR, Romed","27,255",,,,,BetaGlue Technologies engages in research and offers anti-cancer products.,"Biotechnology, Health Care, Medical, Wellness","Milano, Lombardia, Italy, Europe",https://www.betaglue.com/,$1M to $10M,28000000,EUR,29786230,,4,5,2,Yes,
Venture Round - Safetica Technologies,https://www.crunchbase.com/funding_round/safetica-technologies-series-unknown--718ed67b,Safetica Technologies,https://www.crunchbase.com/organization/safetica-technologies,Venture - Series Unknown,2025-01-24,4000000,USD,4000000,,Impulse Ventures,"Impulse Ventures, Jakub Mahdal, Michael Rostock-Poplar, Ondrej Smolar","32,989",,,,,Safetica is a data security software product that provides data loss prevention solutions to companies.,"Cyber Security, Enterprise Software, Security, Software","Prague, Hlavni mesto Praha, Czech Republic, Europe",http://www.safetica.com,$10M to $50M,9076417,USD,9076417,,5,4,1,Yes,
Series A - ROTOBOOST,https://www.crunchbase.com/funding_round/rotoboost-series-a--f2133953,ROTOBOOST,https://www.crunchbase.com/organization/rotoboost,Series A,2024-04-18,10000000,USD,10000000,,Morewisdom Capital,Morewisdom Capital,"34,871",,,,Early Stage Venture,"ROTOBOOST is a hydrogen energy firm focused on large-scale, low-cost hydrogen generation.","Chemical, Oil and Gas, Renewable Energy","Helsinki, Southern Finland, Finland, Europe",https://www.rotoboost.com ,$1M to $10M,20000000,USD,20000000,Early Stage Venture,2,1,,Yes,
Series A - WikiMart,https://www.crunchbase.com/funding_round/wikimart-ru-series-a--0329190b,WikiMart,https://www.crunchbase.com/organization/wikimart-ru,Series A,2010-01-01,5000000,USD,5000000,,,,"393,773",,,,Early Stage Venture,Wikimart is an online marketplace which enables Russian retailers to sell various product categories ranging from electronics to apparel.,"Apparel, B2B, E-Commerce, Marketplace","Moscow, Moscow City, Russian Federation, Europe",http://www.wikimart.ru,$1M to $10M,87635000,USD,87635000,Late Stage Venture,7,,,Yes,
Venture Round - Eliq,https://www.crunchbase.com/funding_round/eliq-series-unknown--69ba9a2d,Eliq,https://www.crunchbase.com/organization/eliq,Venture - Series Unknown,2023-11-21,10000000,EUR,10917054,,,"Axpo, Inven Capital, Valkea Growth Club","46,012",,,,,Eliq's energy data platform enables businesses to unlock high-definition energy data and delight their customers with personalised insights.,"Analytics, Energy, Energy Management, SaaS, Software","Göteborg, Vastra Gotaland, Sweden, Europe",https://eliq.com/,$10M to $50M,22414181,USD,22414181,,6,3,,Yes,
Venture Round - Camphouse,https://www.crunchbase.com/funding_round/mediatool-series-unknown--d5a6d2a4,Camphouse,https://www.crunchbase.com/organization/mediatool,Venture - Series Unknown,2023-10-19,80000000,SEK,7304455,,"eEquity, Fairpoint Capital","eEquity, Fairpoint Capital, H&M Group Ventures","46,074",,,,,"Camphouse is a cloud-based remote marketing platform that helps teams to plan, execute, track and optimise media and marketing campaigns","Advertising, Collaboration, Digital Media, Marketing, SaaS, Software","Stockholm, Stockholms Lan, Sweden, Europe",https://camphouse.io,$1M to $10M,10348839,USD,10348839,,3,3,2,Yes,
Series A - Covagen,https://www.crunchbase.com/funding_round/covagen-series-a--972aadf9,Covagen,https://www.crunchbase.com/organization/covagen,Series A,2010-11-29,6300000,CHF,6290815,,"Seroba Life Sciences, Ventech","Andera Partners, MP Healthcare Venture Management, Novartis Venture Fund, Seroba Life Sciences, Ventech","49,537",,,,Early Stage Venture,Covagen develops protein-based therapeutics for the treatment of inflammatory diseases and cancer.,"Biopharma, Biotechnology, Therapeutics","Schlieren, Zurich, Switzerland, Europe",http://www.covagen.com,,65200000,CHF,72416056,M&A,3,5,3,Yes,
Series A - Promethean Particles,https://www.crunchbase.com/funding_round/promethean-particles-series-a--268d3212,Promethean Particles,https://www.crunchbase.com/organization/promethean-particles,Series A,2024-08-14,8000000,GBP,10260804,,"Aramco Ventures, Mercia Ventures","Aramco Ventures, British Business Bank, Mercia Ventures, TSP Ventures, University of Nottingham","51,155",,,,Early Stage Venture,"Promethean Particles manufactures industrial scale, cost effective nanomaterials with a focus on decarbonisation applications","CleanTech, Manufacturing, Product Design","Nottingham, Nottingham, United Kingdom, Europe",http://www.prometheanparticles.co.uk,$1M to $10M,8749000,GBP,11225673,Early Stage Venture,3,5,2,Yes,
Venture Round - AdEchoTech,https://www.crunchbase.com/funding_round/adechotech-series-unknown--a2723206,AdEchoTech,https://www.crunchbase.com/organization/adechotech,Venture - Series Unknown,2024-10-09,4000000,EUR,4376660,,Banque des Territoires,"Banque des Territoires, Cléry, Crédit Agricole, Group IDEC INVEST, UI Investissement","55,536",,,,,AdEchoTech is specialized in tele-ultrasound with a robotic solution named MELODY.,"Fitness, Health Care, Medical, Medical Device, Robotics","Naveil, Centre, France, Europe",http://www.adechotech.com/,$1M to $10M,5000000,EUR,5496615,,2,5,4,Yes,
Venture Round - Zartis,https://www.crunchbase.com/funding_round/zartis-series-unknown--75893f93,Zartis,https://www.crunchbase.com/organization/zartis,Venture - Series Unknown,2024-05-27,10000000,EUR,10861419,,Development Capital,Development Capital,"60,247",,,,,Zartis is a digital solutions provider specialised in software consulting and building cutting-edge software with bespoke development teams.,"Cloud Computing, Consulting, Information Technology, Outsourcing, Professional Services, Software, Software Engineering","Cork, Cork, Ireland, Europe",http://www.zartis.com,$1M to $10M,10300000,EUR,11250861,,2,1,2,Yes,
Venture Round - Recite Me,https://www.crunchbase.com/funding_round/recite-me-series-unknown--bab973da,Recite Me,https://www.crunchbase.com/organization/recite-me,Venture - Series Unknown,2024-11-26,4600000,GBP,5784039,,Business Growth Fund,Business Growth Fund,"66,424",,,,,Recite Me develops software that helps dyslexic and visually-impaired users to personalize their web browsing tools.,"Internet, Software, Web Browsers","Gateshead, Gateshead, United Kingdom, Europe",http://www.reciteme.com,$1M to $10M,9465000,GBP,11920135,,7,1,2,Yes,
Venture Round - GA Drilling,https://www.crunchbase.com/funding_round/ga-drilling-series-unknown--88e10687,GA Drilling,https://www.crunchbase.com/organization/ga-drilling,Venture - Series Unknown,2024-04-18,15000000,USD,15000000,,,"Alfa8, Nabors, Neulogy Ventures, Thomas von Koch, Underground Ventures","66,730",,,,,"GA Drilling is developing a groundbreaking drilling technology PLASMABIT that enables revolution in geothermal energy, massive cost savings.","Energy, Geothermal Energy, Information Technology, Mining, Renewable Energy, Solar","Trnava, Trnava, Slovakia (Slovak Republic), Europe",http://www.gadrilling.com,$1M to $10M,96471312,USD,96471312,,12,5,1,Yes,
Venture Round - Docuten,https://www.crunchbase.com/funding_round/docuten-series-unknown--7cbee6fb,Docuten,https://www.crunchbase.com/organization/docuten,Venture - Series Unknown,2022-06-30,1200000,EUR,1257414,,,"Altia, GoHub Ventures, Torsa Capital, Vigo Activo","79,137",,,,,"A single platform to digitize all the administrative processes through the digital signature, e-invoice and payments.","E-Commerce, E-Signature, Financial Services, Payments","A Coruña, Galicia, Spain, Europe",https://docuten.com/,$1M to $10M,2700000,EUR,2930267,,2,4,,Yes,
Series C - BioVersys,https://www.crunchbase.com/funding_round/bioversys-ag-series-c--e0cc4610,BioVersys,https://www.crunchbase.com/organization/bioversys-ag,Series C,2024-09-11,6000000,USD,6000000,,GIBF,GIBF,"92,983",,,,Late Stage Venture,BioVersys develops novel antibacterial products to combat serious life-threatening infections caused by MDR bacteria.,"Biopharma, Biotechnology, Medical, Pharmaceutical, Therapeutics","Basel, Basel-Stadt, Switzerland, Europe",http://www.bioversys.com,$1M to $10M,121435122,USD,121435122,IPO,16,1,1,Yes,
Venture Round - Intelligent Fingerprinting,https://www.crunchbase.com/funding_round/intelligent-fingerprinting-series-unknown--f83ad063,Intelligent Fingerprinting,https://www.crunchbase.com/organization/intelligent-fingerprinting,Venture - Series Unknown,2012-02-13,3146400,USD,3146400,,,,"331,488",,,,,Intelligent Fingerprinting uses high-definition detection reagents to identify metabolite substances through fingerprint testing.,"Health Care, Health Diagnostics, Medical Device","Norwich, Norfolk, United Kingdom, Europe",http://www.intelligentfingerprinting.com,$1M to $10M,23172752,USD,23172752,,9,,,Yes,
Venture Round - Fifteen,https://www.crunchbase.com/funding_round/smoove-bb3a-series-unknown--29dfcaa9,Fifteen,https://www.crunchbase.com/organization/smoove-bb3a,Venture - Series Unknown,2022-03-07,40000000,EUR,43465410,,"2050, Eiffel Investment Group","2050, Banque des Territoires, BNP Paribas Développement, C4 Ventures, Daphni, Eiffel Investment Group, Eric Carreel, Mobivia Groupe, Road Ventures","95,976",,,,,"Fifteen designs, installs, and manufactures self-service bike solutions and mobility services, integrated in a multimodal.","Rental, Ride Sharing, Transportation","Oullins, Rhone-Alpes, France, Europe",https://fifteen.eu/,,40000000,EUR,43465410,,2,9,,Yes,
Venture Round - C-Capture,https://www.crunchbase.com/funding_round/c-capture-limited-series-unknown--bb7a47e1,C-Capture,https://www.crunchbase.com/organization/c-capture-limited,Venture - Series Unknown,2023-09-18,10000000,GBP,12383150,,Northern Gritstone,"BP Ventures, Drax Group, Kiko Ventures, Northern Gritstone","98,623",,,,,"C-Capture develops a solvent-based technology that offers a safe, low-cost way to remove carbon dioxide from emissions.","Chemical, Industrial, Oil and Gas","Leeds, Leeds, United Kingdom, Europe",http://www.c-capture.co.uk,$1M to $10M,26660500,GBP,34848727,,6,4,1,Yes,
Series B - Eagle Genomics,https://www.crunchbase.com/funding_round/eagle-genomics-series-b--6732f1b3,Eagle Genomics,https://www.crunchbase.com/organization/eagle-genomics,Series B,2022-10-31,20000000,EUR,19772107,,Aberdeen Standard Investments,"Aberdeen Standard Investments, ETF Partners, Granpool Innovative Investments","101,707",,,,Early Stage Venture,"Eagle Genomics is a enterprise software solutions company to enable the management, orchestration and exploitation of life sciences data.","Biotechnology, Cloud Computing, Genetics, Open Source, Software","Cambridge, Cambridgeshire, United Kingdom, Europe",http://www.eaglegenomics.com,$1M to $10M,43538085,USD,43538085,,13,3,2,Yes,
