Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series A - Buena,https://www.crunchbase.com/funding_round/home-ht-series-a--3874baf7,Buena,https://www.crunchbase.com/organization/home-ht,Series A,2025-07-23,49420000,EUR,57972307,,GV,"Capnamic, GV, Stride.VC, The Twenty Minute VC",78,,,,Early Stage Venture,"Buena is a property management platform for managing rentals and condos, streamlining maintenance, accounting, compliance, and reporting.","Artificial Intelligence (AI), Business Process Automation (BPA), Property Management, Real Estate","Berlin, Berlin, Germany, Europe",https://www.buena.com,$10M to $50M,73227267,USD,73227267,Early Stage Venture,7,4,4,Yes,
Series A - DynaRisk,https://www.crunchbase.com/funding_round/dynarisk-series-a--8ab96a2a,DynaRisk,https://www.crunchbase.com/organization/dynarisk,Series A,2025-07-28,3500000,GBP,4702089,,YFM Equity Partners,YFM Equity Partners,140,,,,Early Stage Venture,DynaRisk provides cyber security tools for home users and businesses.,"Cyber Security, Information Technology, InsurTech, Security","London, England, United Kingdom, Europe",https://www.dynarisk.com,$1M to $10M,8702089,USD,8702089,Early Stage Venture,4,1,3,Yes,
Series B - Wrisk,https://www.crunchbase.com/funding_round/wrisk-series-b--b984efbf,Wrisk,https://www.crunchbase.com/organization/wrisk,Series B,2025-07-08,12000000,GBP,16360141,,"Alma Mundi Ventures, Opera Tech Ventures","Alma Mundi Ventures, Opera Tech Ventures, QBN Capital, Volution",251,,,,Early Stage Venture,Wrisk blends technology and customer-centric solutions that empower automotive brands to revolutionise their insurance offerings,"FinTech, InsurTech","London, England, United Kingdom, Europe",http://www.wrisk.co,$1B to $10B,26426551,GBP,35691127,Early Stage Venture,10,4,3,Yes,
Series C - Dexter Energy Services,https://www.crunchbase.com/funding_round/dexter-energy-services-series-c--5d788c19,Dexter Energy Services,https://www.crunchbase.com/organization/dexter-energy-services,Series C,2025-07-02,23000000,EUR,27141365,,Alantra,"Alantra, ETF Partners, Mirova, Newion, PDENH",360,,,,Late Stage Venture,"Dexter offers forecasting and dispatching solutions based on AI and cloud-based technology, increasing efficiency and lowering costs.","Artificial Intelligence (AI), Energy Efficiency, Renewable Energy","Amsterdamsche Veld I, Drenthe, The Netherlands, Europe",https://dexterenergy.ai,$1M to $10M,35500000,EUR,41048666,Late Stage Venture,4,5,4,Yes,
Series B - Colorifix,https://www.crunchbase.com/funding_round/colorifix-series-b--25f242b9,Colorifix,https://www.crunchbase.com/organization/colorifix,Series B,2025-06-23,18000000,USD,18000000,,Inter Ikea,"Goldwin play earth fund, H&M Group Ventures, Inter Ikea, Regeneration.VC, SAGANA, The Ljungstrom Family Office, Youngone CVC","1,642",,,,Early Stage Venture,"Colorifix is the first company to use a biological process to produce, deposit and fix pigments onto textiles.","Biotechnology, Commercial, Fashion","Norwich, Norfolk, United Kingdom, Europe",http://www.colorifix.com,$1M to $10M,49732382,USD,49732382,Early Stage Venture,4,7,3,Yes,
Venture Round - Quorso,https://www.crunchbase.com/funding_round/quorso-series-unknown--4c0a9ed7,Quorso,https://www.crunchbase.com/organization/quorso,Venture - Series Unknown,2025-07-07,,,,,Summit Partners,Summit Partners,"2,135",,,,,A new era for store management: Agile. Simple. Human.,"Analytics, Application Performance Management, Big Data, Predictive Analytics, Retail, Retail Technology, Software, Task Management","London, England, United Kingdom, Europe",http://www.quorso.com/,$1M to $10M,12600000,USD,12600000,,5,1,1,Yes,
Venture Round - Ceryx Medical,https://www.crunchbase.com/funding_round/ceryx-medical-series-unknown--f8e4ab96,Ceryx Medical,https://www.crunchbase.com/organization/ceryx-medical,Venture - Series Unknown,2025-06-11,5000000,GBP,6736465,,"Development Bank of Wales, Parkwalk Advisors","Bristol Private Equity Club, Business Growth Fund, Development Bank of Wales, Parkwalk Advisors","3,162",,,,,"Ceryx Medical is developing bioelectronics based on unique, patent protected, chip technology.","Health Care, Medical Device","Bath, Bath and North East Somerset, United Kingdom, Europe",http://www.ceryxmedical.com/,$1M to $10M,10958300,GBP,14228678,,5,4,2,Yes,
Series A - HowNow,https://www.crunchbase.com/funding_round/how-now-series-a--86905b26,HowNow,https://www.crunchbase.com/organization/how-now,Series A,2025-02-12,3500000,GBP,4356208,,,"Fuel Ventures, Mercia Ventures, Pearson","4,407",,,,Early Stage Venture,HowNow is a London-based EdTech startup that connects experts and learners by offering interactive video lessons.,"E-Learning, EdTech, Education, Internet, Training","London, England, United Kingdom, Europe",https://gethownow.com/,Less than $1M,13673550,USD,13673550,Early Stage Venture,4,3,1,Yes,
Venture Round - Elum Energy,https://www.crunchbase.com/funding_round/elum-energy-series-unknown--3ab3f695,Elum Energy,https://www.crunchbase.com/organization/elum-energy,Venture - Series Unknown,2025-07-04,3500000,EUR,4122536,,Eiffel Investment Group,Eiffel Investment Group,"4,841",,,,,Elum Energy is an energy and automation company.,"Artificial Intelligence (AI), Energy, Environmental Consulting, Renewable Energy, Solar","Paris, Ile-de-France, France, Europe",https://elum-energy.com/en/home/,$1M to $10M,15300000,EUR,17126523,,5,1,2,Yes,
Venture Round - HYMETH,https://www.crunchbase.com/funding_round/hymeth-series-unknown--06615508,HYMETH,https://www.crunchbase.com/organization/hymeth,Venture - Series Unknown,2025-05-20,3700000,EUR,4176671,,Thisbe AB,"Antler, Thisbe AB","4,935",,,,,HYMETH is a privately held company that engages in the production of sustainable gases.,Oil and Gas,"Søborg, Hovedstaden, Denmark, Europe",https://www.hymeth.com/,$1M to $10M,5333423,USD,5333423,,4,2,,Yes,
