Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series C - Ultromics,https://www.crunchbase.com/funding_round/ultromics-series-c--4bab3bc5,Ultromics,https://www.crunchbase.com/organization/ultromics,Series C,2025-07-31,55000000,USD,55000000,,"Allegis Capital, Legal & General Investment Management (LGIM), Lightrock","Allegis Capital, GV, Legal & General Investment Management (LGIM), Lightrock, Oxford Science Enterprises, The Blue Venture Fund, UCM Ventures, University of Oxford, UPMC Enterprises",16,,,,Late Stage Venture,Ultromics develops AI-driven cardiology solutions to assist in cardiovascular disease diagnosis through echocardiography.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Software","Oxford, Oxfordshire, United Kingdom, Europe",http://www.ultromics.com,$1M to $10M,113824943,USD,113824943,Late Stage Venture,6,9,4,Yes,
Series B - Laka,https://www.crunchbase.com/funding_round/laka-series-b--53992107,Laka,https://www.crunchbase.com/organization/laka,Series B,2025-07-15,7700000,GBP,10349379,,"MS&AD Ventures, Shift4Good","1818 Venture Capital, Achmea Innovation Fund, Autotech Ventures, Creandum, LocalGlobe, Motive Partners, MS&AD Ventures, Ponooc, Seedrs, Shift4Good",66,,,,Early Stage Venture,Laka is a peer-to-peer bicycle insurance platform that covers bicycles and equipment.,"Insurance, InsurTech, Sporting Goods","London, England, United Kingdom, Europe",http://laka.co,$1M to $10M,36591389,USD,36591389,Early Stage Venture,12,10,8,Yes,
Series A - Yaspa,https://www.crunchbase.com/funding_round/yaspa-series-a--95844b0c,Yaspa,https://www.crunchbase.com/organization/yaspa,Series A,2025-07-02,12000000,USD,12000000,,Discerning Capital,"Discerning Capital, Metavallon VC, Techstars",149,,,,Early Stage Venture,Yaspa is a fintech company that leverages open banking and AI to deliver instant payment and identity services.,"Artificial Intelligence (AI), Financial Services, FinTech, Payments","London, England, United Kingdom, Europe",https://www.yaspa.com,$1M to $10M,13184453,USD,13184453,Early Stage Venture,6,3,2,Yes,
Series A - Good Job Games,https://www.crunchbase.com/funding_round/good-job-games-series-a--505ec4b5,Good Job Games,https://www.crunchbase.com/organization/good-job-games,Series A,2025-07-31,60000000,USD,60000000,,"Anthos Capital, Menlo Ventures","Anthos Capital, Bessemer Venture Partners, Menlo Ventures",327,,,,Early Stage Venture,Good Job Games is a mobile game development company.,"Gaming, Online Games, Video Games","Istanbul, Istanbul, Turkey, Europe",https://www.goodjobgames.com,$1M to $10M,83000000,USD,83000000,M&A,2,3,2,Yes,
Series B - aedifion,https://www.crunchbase.com/funding_round/aedifion-series-b--96ba09e9,aedifion,https://www.crunchbase.com/organization/aedifion,Series B,2025-06-23,17000000,EUR,19677998,,Eurazeo,"Bauwens Digital, BitStone Capital, Drees & Sommer AG, Eurazeo, Hopp Family Office, MOMENI Ventures, Phoenix Contact Innovation Ventures, World Fund",983,,,,Early Stage Venture,"Buildings Simply Made Better: The AI-based cloud platform enables us to reduce energy waste, CO2 emissions and operating costs of buildings.","Cloud Data Services, Software","Cologne, Nordrhein-Westfalen, Germany, Europe",https://www.aedifion.com/,$10M to $50M,29000000,EUR,32723802,Early Stage Venture,5,8,7,Yes,
Series A - Comphya,https://www.crunchbase.com/funding_round/comphya-series-a--d1bb4cef,Comphya,https://www.crunchbase.com/organization/comphya,Series A,2025-07-08,,,,,,,"1,013",,,,Early Stage Venture,Comphya developing an active implantable medical device to restore the erectile function of patient non-responsive to oral drugs.,"Biotechnology, Health Care, Life Science","Lausanne, Vaud, Switzerland, Europe",https://www.comphya.com/,$1M to $10M,10269696,USD,10269696,Early Stage Venture,8,,,Yes,
Venture Round - Reckon.ai,https://www.crunchbase.com/funding_round/reckon-ai-series-unknown--2b5cbd84,Reckon.ai,https://www.crunchbase.com/organization/reckon-ai,Venture - Series Unknown,2025-07-29,5100000,EUR,5905457,,Iberis Capital,"Alea Capital Partners, Iberis Capital, Touro Capital Partners","1,031",,,,,Reckon has a Smart Cabinet AI Operating System to create autonomous and modular points of sale.,"Artificial Intelligence (AI), Big Data, Image Recognition, SaaS, Software","Lisboa, Lisboa, Portugal, Europe",http://reckon.ai/,$1M to $10M,6600000,EUR,7678299,,4,3,3,Yes,
Venture Round - LUMENSTREAM,https://www.crunchbase.com/funding_round/lumenstream-series-unknown--70545c32,LUMENSTREAM,https://www.crunchbase.com/organization/lumenstream,Venture - Series Unknown,2025-07-08,1200000,GBP,1636014,,,"Clarendon Fund Managers, Jonny Barr, Techstart Ventures","1,385",,,,,LUMENSTREAM is a cleantech company that helps large energy consumers cut their operational costs via the provision of LED lighting.,"Electronics, Energy","Belfast, Belfast, United Kingdom, Europe",https://www.lumenstream.com/,Less than $1M,1600000,GBP,2088437,,2,3,1,Yes,
Series A - Liki24,https://www.crunchbase.com/funding_round/liki24-series-a--e88b5043,Liki24,https://www.crunchbase.com/organization/liki24,Series A,2025-07-03,9000000,USD,9000000,,TA Ventures,"Anton Borzov, Dnipro VC, ICLUB VC, MA7 Ventures, N1, SID Venture Partners, TA Ventures, u.ventures","1,477",,,,Early Stage Venture,Liki24 is a health-tech firm that provides delivery services for health and beauty products to customers.,"Delivery Service, E-Commerce, E-Commerce Platforms, Medical, Pharmaceutical","Kyiv, Kyyiv, Ukraine, Europe",https://liki24.com/,$10M to $50M,19000000,USD,19000000,Early Stage Venture,5,8,1,Yes,
Private Equity Round - HANetf,https://www.crunchbase.com/funding_round/hanetf-private-equity--38ed6893,HANetf,https://www.crunchbase.com/organization/hanetf,Private Equity,2025-07-03,,,,,Citi,Citi,"1,574",,,,Private Equity,HANetf is Europe's first independent full service provider of UCITS ETFs.,Financial Services,"London, England, United Kingdom, Europe",http://www.hanetf.com/,Less than $1M,,,,Private Equity,3,1,1,Yes,
Venture Round - Proteine Resources,https://www.crunchbase.com/funding_round/proteine-resources-series-unknown--e231de49,Proteine Resources,https://www.crunchbase.com/organization/proteine-resources,Venture - Series Unknown,2025-06-24,9500000,EUR,11031798,,EIC Accelerator,"Bitspiration Booster, EIC Accelerator, SMOK Ventures","1,713",,,,,Insect proteins with medical properties for poultry and pets,"Biotechnology, Health Care, Industrial, Manufacturing","Maslomiaca, Malopolskie, Poland, Europe",https://www.proteineresources.com,,13536564,USD,13536564,,4,3,2,Yes,
