Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series C - Exein,https://www.crunchbase.com/funding_round/exein-series-c--4095e52e,Exein,https://www.crunchbase.com/organization/exein,Series C,2025-07-16,70000000,EUR,81328395,,Balderton Capital,"33N Ventures, Balderton Capital, Lakestar, Partech, Supernova Invest, United Ventures",57,280000000,EUR,325313579,Late Stage Venture,Exein is a cybersecurity company that specializes in protecting embedded devices using AI-powered threat detection technologies.,"Cyber Security, Internet of Things, Network Security, Software","Roma, Lazio, Italy, Europe",https://www.exein.io,$1M to $10M,93000000,EUR,106996618,Late Stage Venture,4,6,3,Yes,
Series B - Makersite,https://www.crunchbase.com/funding_round/makersite-gmbh-series-b--7e3ac991,Makersite,https://www.crunchbase.com/organization/makersite-gmbh,Series B,2025-07-22,60000000,EUR,70128522,,"Lightrock, Partech","Hitachi Ventures, KOMPAS VC, Lightrock, Partech, Planet A Ventures, SE Ventures, Translink Capital",65,,,,Early Stage Venture,"Makersite is a cloud-based product data management tool that helps companies manage product sustainability, cost, and compliance.","Data Management, Machine Learning, Product Management, Productivity Tools, Supply Chain Management","Stuttgart, Baden-Wurttemberg, Germany, Europe",https://makersite.io,Less than $1M,78271429,EUR,88160418,Early Stage Venture,6,7,8,Yes,
Series B - Numan,https://www.crunchbase.com/funding_round/numan-series-b--cf678e88,Numan,https://www.crunchbase.com/organization/numan,Series B,2025-07-16,22000000,GBP,29471219,,Big Pi Ventures,"Big Pi Ventures, Endeavor Catalyst, Novator, White Star Capital",139,,,,Early Stage Venture,"Numan provides digital health services, offering treatments for various conditions and personalized health support.","Consulting, Health Care, Health Diagnostics","London, England, United Kingdom, Europe",https://www.numan.com,Less than $1M,130724873,USD,130724873,Early Stage Venture,6,4,3,Yes,
Series B - Xelix,https://www.crunchbase.com/funding_round/xelix-series-b--6ac1192d,Xelix,https://www.crunchbase.com/organization/xelix,Series B,2025-07-21,160000000,USD,160000000,,Insight Partners,"Insight Partners, LocalGlobe, Passion Capital",214,,,,Early Stage Venture,"Xelix utilizes AI technology to automate and enhance the accounts payable process by analyzing invoices, statements, and vendor data.","Artificial Intelligence (AI), Finance, FinTech, SaaS, Software","London, England, United Kingdom, Europe",https://www.xelix.com,$1M to $10M,165000000,USD,165000000,Early Stage Venture,4,3,2,Yes,
Series B - Metaview,https://www.crunchbase.com/funding_round/metaview-series-b--03524d94,Metaview,https://www.crunchbase.com/organization/metaview,Series B,2025-06-25,35000000,USD,35000000,,GV,"Barney Hussey, Coelius Capital, GV, Plural Platform, Seedcamp, True Equity, Vertex Ventures US, Victor Riparbelli",437,,,,Early Stage Venture,The AI Platform for Recruiting Conversations,"Artificial Intelligence (AI), Human Resources, Recruiting","London, England, United Kingdom, Europe",https://www.metaview.ai,$1M to $10M,49600000,USD,49600000,Early Stage Venture,4,8,3,Yes,
Series C - Sdui,https://www.crunchbase.com/funding_round/sdui-series-c--1e3111e2,Sdui,https://www.crunchbase.com/organization/sdui,Series C,2025-07-15,60000000,EUR,70100419,,Bain Capital,"Bain Capital, HTGF (High-Tech Gruenderfonds), HV Capital",800,,,,Late Stage Venture,Sdui provides solutions for mobile communication and organization in education.,"Apps, Education, Information and Communications Technology (ICT), Mobile Apps, Software, Web Apps","Koblenz, Rheinland-Pfalz, Germany, Europe",https://sdui.de/,$10M to $50M,138600000,EUR,159091203,Late Stage Venture,7,3,2,Yes,
Venture Round - Echandia,https://www.crunchbase.com/funding_round/echandia-marine-series-unknown--6c7a81cd,Echandia,https://www.crunchbase.com/organization/echandia-marine,Venture - Series Unknown,2025-03-03,325000000,SEK,30909917,,"Alantra, Industrifonden","Alantra, Course Corrected, Energy & Environment Investment, Industrifonden, S2G Investments, SEB Greentech Venture Capital","2,214",,,,,"Echandia develops energy storage solutions and battery systems for maritime transportation, shipping, and other heavy-duty applications.","Battery, Energy, Energy Storage, Marine Transportation","Stockholm, Stockholms Lan, Sweden, Europe",http://www.echandia.se,$1M to $10M,339281615,SEK,32207880,,2,6,3,Yes,
Series A - Little Journey,https://www.crunchbase.com/funding_round/little-journey-series-a--47b83f2a,Little Journey,https://www.crunchbase.com/organization/little-journey,Series A,2025-07-17,300000,GBP,402941,,Foresight Group,Foresight Group,"2,409",,,,Early Stage Venture,Little Journey offers assistance to kids and their families who are getting medical treatments or taking part in scientific trials.,"Clinical Trials, Health Care, Information Technology","London, England, United Kingdom, Europe",https://littlejourney.health,$1M to $10M,15831504,USD,15831504,Early Stage Venture,8,1,1,Yes,
Series A - Ocean Ecostructures,https://www.crunchbase.com/funding_round/ocean-ecostructures-series-a--19fbee1b,Ocean Ecostructures,https://www.crunchbase.com/organization/ocean-ecostructures,Series A,2025-06-25,3000000,EUR,3487395,,Seven Seas Capital,"Inclimo Climate Tech Fund, Seven Seas Capital, Ship2B Ventures","2,680",,,,Early Stage Venture,Ocean Ecostructures is the developer of a biodiversity regeneration program that will assist businesses and governments in transition.,"Consulting, Environmental Consulting, Information Technology","Barcelona, Catalonia, Spain, Europe",https://oceanecostructures.com,Less than $1M,5100000,EUR,5772757,Early Stage Venture,4,3,4,Yes,
Venture Round - Basetime,https://www.crunchbase.com/funding_round/basetime-series-unknown--da7ada39,Basetime,https://www.crunchbase.com/organization/basetime,Venture - Series Unknown,2025-07-09,,,,,,"Ernij Next, ROM Utrecht Region, Value Creation Capital","3,362",,,,,"Geodetic Measurement, Precision Monitoring","Internet of Things, Sustainability, Test and Measurement","Houten, Utrecht, The Netherlands, Europe",https://basetime.nl/,,,,,,2,3,3,Yes,
