Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series A - MediShout,https://www.crunchbase.com/funding_round/medishout-series-a--c55c689d,MediShout,https://www.crunchbase.com/organization/medishout,Series A,2025-07-02,9000000,USD,9000000,,Heal Capital,"Heal Capital, Meridian Health Ventures, Nickleby Capital","2,547",,,,Early Stage Venture,"MediShout is a digital platform to improve operational efficiencies, so healthcare staff can focus on patient care.","Apps, Health Care, Hospital, Information Services, Information Technology, Logistics","London, England, United Kingdom, Europe",https://medishout.co.uk/,$1M to $10M,17056641,USD,17056641,Early Stage Venture,7,3,,Yes,
Series D - Oura,https://www.crunchbase.com/funding_round/Ōura-series-d--d23e01e7,Oura,https://www.crunchbase.com/organization/Ōura,Series D,2024-11-19,200000000,USD,200000000,,"Dexcom, Fidelity","Dexcom, Fidelity","4,790",5000000000,USD,5000000000,Late Stage Venture,Oura designs and develops wearable rings that track sleep and performance metrics for health and wellness monitoring.,"B2C, Health Care, Internet of Things, Mobile Apps, Wearables","Oulu, Oulu, Finland, Europe",http://ouraring.com,$100M to $500M,348300000,USD,348300000,Late Stage Venture,10,2,1,Yes,
Venture Round - Cocunat,https://www.crunchbase.com/funding_round/cocunat-series-unknown--ef551d73,Cocunat,https://www.crunchbase.com/organization/cocunat,Venture - Series Unknown,2025-06-24,900000,EUR,1046211,,"CDTI Innovación's INNVIERTE program, Grupo Álea","CDTI Innovación's INNVIERTE program, Grupo Álea","6,319",,,,,Cocunat is a natural and 100% toxic free cosmetics brand.,"Cosmetics, E-Commerce","Barcelona, Catalonia, Spain, Europe",https://www.cocunat.com/,$10M to $50M,9122115,EUR,10605444,,7,2,,Yes,
Series B - TILT Biotherapeutics,https://www.crunchbase.com/funding_round/tilt-biotherapeutics-series-b--e65279d9,TILT Biotherapeutics,https://www.crunchbase.com/organization/tilt-biotherapeutics,Series B,2025-05-13,22600000,EUR,25278398,,,"European Innovation Council, Lifeline Ventures, Stephen Industries, Tesi","7,321",,,,Early Stage Venture,TILT Biotherapeutics Ltd is the leading company globally working in the area of enabling tumor.,"Apps, Biotechnology, Health Care","Helsinki, Southern Finland, Finland, Europe",http://tiltbio.com/,$1M to $10M,71102755,USD,71102755,Early Stage Venture,10,4,3,Yes,
Venture Round - Pro Parents,https://www.crunchbase.com/funding_round/pro-parents-series-unknown--d2a5a93d,Pro Parents,https://www.crunchbase.com/organization/pro-parents,Venture - Series Unknown,2025-04-25,1000000,EUR,1140511,,,"Andre Grimbergen, Bram Smeets, Jeroen ter Huurne, Lara Koole, OostNL, Peakfijn, Quantum Leap Capital","7,921",,,,,"Pro Parents award-winning Parent benefit Platform for employers HealthTech, Enterprise Software, FemTech, SaaS, Social Impact, ESG SDG 3-5-8","Child Care, Enterprise Software, Health Care, Human Resources, Mental Health, mHealth","Amsterdam, Noord-Holland, The Netherlands, Europe",https://proparents.nl/,,3130000,EUR,3482696,,3,7,1,Yes,
Venture Round - Indie Campers,https://www.crunchbase.com/funding_round/indie-campers-series-unknown--ddd1e01c,Indie Campers,https://www.crunchbase.com/organization/indie-campers,Venture - Series Unknown,2025-05-20,27500000,EUR,31042824,,Indico Capital Partners,"Banco Portugues de Fomento, Indico Capital Partners","12,705",,,,,"Indie Campers aims to provide the freedom of movement and instil the pleasure of road travel, inspiring and connecting travellers worldwide.","Leisure, Tourism, Travel","Póvoa De Santa Iria, Lisboa, Portugal, Europe",https://indiecampers.com/,Less than $1M,62500000,EUR,69334574,,3,2,,Yes,
Venture Round - Provenance,https://www.crunchbase.com/funding_round/provenance-series-unknown--f6b29178,Provenance,https://www.crunchbase.com/organization/provenance,Venture - Series Unknown,2024-05-15,5000000,USD,5000000,,"Alumni Ventures, S4S Ventures","Alumni Ventures, Angel Academe, S4S Ventures","14,751",,,,,The leading sustainability communications and data platform for e-commerce. Powering sustainability claims you can trust.,"Artificial Intelligence (AI), Blockchain, Brand Marketing, Consumer Goods, E-Commerce Platforms, Retail Technology, SaaS, Sustainability","London, England, United Kingdom, Europe",https://www.provenance.org,Less than $1M,11549806,USD,11549806,,7,3,3,Yes,
Venture Round - Braingaze,https://www.crunchbase.com/funding_round/braingaze-series-unknown--889d6812,Braingaze,https://www.crunchbase.com/organization/braingaze,Venture - Series Unknown,2024-03-06,1500000,EUR,1634924,,RYSE Asset Management,"Artesian VC, Orbit Startups, RYSE Asset Management","17,224",,,,,Braingaze develops mind tracking solutions that solve major challenges around cognitive disorders like ADHD and Mild Cognitive Impairment,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Predictive Analytics, Software","Mataró, Catalonia, Spain, Europe",http://www.braingaze.com/,Less than $1M,1500000,EUR,1634924,,4,3,2,Yes,
Venture Round - Arenametrix,https://www.crunchbase.com/funding_round/tech-4-team-series-unknown--7b441e22,Arenametrix,https://www.crunchbase.com/organization/tech-4-team,Venture - Series Unknown,2024-11-20,8000000,EUR,8436638,,Reflexion Capital,"Newfund, Reflexion Capital","17,701",,,,,Arenametrix is the first Customer Data Platform dedicated to entertainment.,"Advertising Platforms, CRM, Data Mining, Digital Entertainment, Music, Software, Sports, Ticketing","Paris, Ile-de-France, France, Europe",http://arenametrix.com,Less than $1M,11100000,EUR,12059248,,5,2,,Yes,
Series B - Bumper,https://www.crunchbase.com/funding_round/auto-service-finance-limited-series-b--e2f5ae0a,Bumper,https://www.crunchbase.com/organization/auto-service-finance-limited,Series B,2024-12-12,2000000,EUR,2094710,,Salica,Salica,"20,629",,,,Early Stage Venture,Bumper is an automotive fintech company that provides payment solutions to car dealerships.,"Automotive, Finance, FinTech","London, England, United Kingdom, Europe",https://www.bumper.co.uk,$1M to $10M,157407956,USD,157407956,Early Stage Venture,15,1,1,Yes,
