Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Venture Round - CloudNC,https://www.crunchbase.com/funding_round/cloudnc-series-unknown--6ea9232a,CloudNC,https://www.crunchbase.com/organization/cloudnc,Venture - Series Unknown,2020-09-30,7000000,GBP,9041498,,,"Carl Bass, Elkstone Capital Partners, IQT, Kuvi Capital","341,936",,,,,CloudNC develops advanced software that enables factories to autonomously manufacture precision parts.,"Artificial Intelligence (AI), Computer, Industrial, Manufacturing, Mechanical Engineering, Software","London, England, United Kingdom, Europe",http://cloudnc.com,$10M to $50M,77781174,USD,77781174,Early Stage Venture,15,4,,Yes,
Venture Round - Getir,https://www.crunchbase.com/funding_round/getir-series-unknown--d64d256d,Getir,https://www.crunchbase.com/organization/getir,Venture - Series Unknown,2018-01-01,,,,,,,"344,756",,,,,Getir is a technology company that provides on-demand delivery services of groceries for local customers.,"Delivery Service, E-Commerce, Logistics, Mobile Apps","Besiktas, Istanbul, Turkey, Europe",https://getir.com,$10B+,2293000000,USD,2293000000,M&A,9,,,Yes,
Series A - Submer,https://www.crunchbase.com/funding_round/submer-series-a--ff19eaf5,Submer,https://www.crunchbase.com/organization/submer,Series A,2020-09-23,12000000,USD,12000000,,Norrsken VC,"Alma Mundi Ventures, Norrsken VC","347,582",,,,Early Stage Venture,Submer enables next-generation cooling and automation for data and energy-,"CleanTech, Cloud Infrastructure, Data Center Automation, Energy Efficiency, Hardware, IT Infrastructure, Robotics","Barcelona, Catalonia, Spain, Europe",https://submer.com,Less than $1M,127111469,USD,127111469,Late Stage Venture,7,2,,Yes,
Venture Round - SupplyCompass,https://www.crunchbase.com/funding_round/supply-compass-series-unknown--b8642d9b,SupplyCompass,https://www.crunchbase.com/organization/supply-compass,Venture - Series Unknown,2021-01-01,,,,,,Unicorn India Ventures,"351,632",,,,,"Empowering fashion brands and manufacturers to produce better, together.","B2B, E-Commerce, Fashion, Manufacturing, SaaS, Supply Chain Management, Textiles","London, England, United Kingdom, Europe",http://www.supplycompass.com/,$1M to $10M,1785000,GBP,2251277,,3,1,,Yes,
Series A - Citibox,https://www.crunchbase.com/funding_round/citibox-series-a--2f71b1dc,Citibox,https://www.crunchbase.com/organization/citibox,Series A,2023-01-01,22000000,EUR,23552183,,Peak Thomas,Peak Thomas,"352,958",,,,Early Stage Venture,A tech platform that solves the ecommerce delivery/return problem through a network of parcel lockers located inside residential buildings.,"Apps, E-Commerce, Enterprise Applications, Last Mile Transportation, Logistics, Mobile Apps, PropTech, Service Industry","Madrid, Madrid, Spain, Europe",https://citibox.com/,$10M to $50M,126700000,EUR,138387741,Early Stage Venture,6,1,,Yes,
Series A - Packhelp,https://www.crunchbase.com/funding_round/packhelp-series-a--411045d0,Packhelp,https://www.crunchbase.com/organization/packhelp,Series A,2019-03-18,10000000,USD,10000000,,White Star Capital,"Apostolos Apostolakis, Market One Capital, PROfounders Capital, Speedinvest, White Star Capital","370,457",,,,Early Stage Venture,"Packhelp simplifies creating, ordering and managing custom and sustainable packaging. Trusted by more than 50 000 companies.","E-Commerce, E-Commerce Platforms, Packaging Services, Software, Web Apps","Warsaw, Mazowieckie, Poland, Europe",https://packhelp.com,$10M to $50M,58187361,USD,58187361,Early Stage Venture,4,5,2,Yes,
Venture Round - Snow Print Studios,https://www.crunchbase.com/funding_round/snow-print-studios-series-unknown--6be23b55,Snow Print Studios,https://www.crunchbase.com/organization/snow-print-studios,Venture - Series Unknown,2021-02-26,,,,,Hiro Capital,Hiro Capital,"374,653",,,,,Snowprint Studios is a collective of games industry veterans for the everyday mobile gamer developers of Legend of Solgard.,"Mobile, PC Games, Video Games","Stockholm, Stockholms Lan, Sweden, Europe",http://www.snowprintstudios.com/,$1M to $10M,101000000,SEK,11380264,M&A,5,1,3,Yes,
Series B - Grover,https://www.crunchbase.com/funding_round/grover-series-b--76352f6b,Grover,https://www.crunchbase.com/organization/grover,Series B,2021-04-13,45000000,EUR,53802009,,JMS Capital-Everglen,"Augmentum Fintech, Circularity Capital, coparion, JMS Capital-Everglen, Samsung NEXT, Seedcamp, Viola FinTech","380,370",,,,Early Stage Venture,Grover offers technology subscriptions that enable customers to rent tech products on a monthly basis instead of purchasing them.,"Consumer Electronics, E-Commerce, Rental, Subscription Service","Berlin, Berlin, Germany, Europe",http://www.grover.com,$500M to $1B,2341386751,USD,2341386751,,19,7,4,Yes,
Series A - Yubo,https://www.crunchbase.com/funding_round/yubo-series-a--be1efc5f,Yubo,https://www.crunchbase.com/organization/yubo,Series A,2018-06-15,5000000,USD,5000000,,Alven,Alven,"390,882",,,,Early Stage Venture,"Yubo, the social platform where Generation Z creates communities of friends around the world","Apps, Mobile, Social Network, Software, Teenagers","Paris, Ile-de-France, France, Europe",http://www.yubo.live/,Less than $1M,65700000,USD,65700000,Late Stage Venture,5,1,1,Yes,
Series A - GUURU Solutions,https://www.crunchbase.com/funding_round/guuru-io-series-a--ee61e054,GUURU Solutions,https://www.crunchbase.com/organization/guuru-io,Series A,2020-11-27,5000000,USD,5000000,,Session.vc,"EquityPitcher Ventures, Session.vc, Swiss Post Ventures, Verve Ventures","399,320",,,,Early Stage Venture,"GUURU links shoppers to real product users for instant, trusted peer advice, turning online buying into a community-driven experience.","Artificial Intelligence (AI), Communications Infrastructure, Communities, Content, Customer Service, E-Commerce, Information Technology, Messaging, Software","Zürich, Zurich, Switzerland, Europe",https://www.guuru.com,$1M to $10M,8534457,USD,8534457,Early Stage Venture,3,4,2,Yes,
