Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Venture Round - Converge,https://www.crunchbase.com/funding_round/converge-2-series-unknown--8fa43048,Converge,https://www.crunchbase.com/organization/converge-2,Venture - Series Unknown,2025-05-21,16900000,GBP,22680819,,ABN AMRO Sustainable Impact Fund,"ABN AMRO Sustainable Impact Fund, Climate Investment, Force Over Mass Capital, J-Impact, Move Energy, PI-Impact, TO Ventures","6,537",,,,,"Construction Technology. Using sensors to capture the physical reality of the jobsite, and AI to optimise it.","Artificial Intelligence (AI), Construction, Machine Learning, Predictive Analytics, Sensor, Software, Wireless","London, England, United Kingdom, Europe",http://converge.io,$10M to $50M,22705819,USD,22705819,,5,7,2,Yes,
Series A - Notpla,https://www.crunchbase.com/funding_round/notpla-series-a--08a8ef64,Notpla,https://www.crunchbase.com/organization/notpla,Series A,2024-09-24,20000000,GBP,26853712,,UB FIGG,"Astanor Ventures, Breakwater Capital, EIT Food, Horizons Ventures, Kibo Invest, Ocean Born Foundation, Radicle Impact, Rosebrook, Temasek Trust Capital, The Schmidt Family Foundation, Trousdale Ventures, UB FIGG","12,553",,,,Early Stage Venture,Notpla is a sustainable packaging start-up that develops a material derived from seaweed and plants.,"CleanTech, GreenTech, Manufacturing, Packaging Services, Sustainability","London, England, United Kingdom, Europe",https://www.notpla.com,$1M to $10M,36350000,GBP,48219216,Early Stage Venture,9,12,3,Yes,
Series A - TEEPTRAK,https://www.crunchbase.com/funding_round/teeptrak-series-a--784bcde8,TEEPTRAK,https://www.crunchbase.com/organization/teeptrak,Series A,2024-11-12,5000000,EUR,5308318,,SHIFT Invest,"EDF, SHIFT Invest, Sia Partners, XAnge","15,382",,,,Early Stage Venture,Connected solutions to monitor industrial performance,Software,"Paris, Ile-de-France, France, Europe",http://www.teeptrak.com/en/,Less than $1M,9000000,EUR,9790097,Early Stage Venture,3,4,1,Yes,
Series A - MAVOCO,https://www.crunchbase.com/funding_round/machine-voice-communication-gmbh-series-a--befce923,MAVOCO,https://www.crunchbase.com/organization/machine-voice-communication-gmbh,Series A,2025-02-04,11000000,EUR,11365585,,3TS Capital Partners,"3TS Capital Partners, red-stars.com","17,920",,,,Early Stage Venture,MAVOCO provides a connectivity management platform and subscription billing software for the telecom Industry and beyond,"Computer, Information Technology, SaaS, Software, Software Engineering, Telecommunications","Eisenstadt, Burgenland, Austria, Europe",http://www.mavoco.com,$1M to $10M,18080000,EUR,19330304,Early Stage Venture,7,2,,Yes,
Series A - Instaffo,https://www.crunchbase.com/funding_round/instaffo-series-a--366f9b93,Instaffo,https://www.crunchbase.com/organization/instaffo,Series A,2024-03-19,10000000,EUR,10861702,,Crosslantic Capital,Crosslantic Capital,"18,997",,,,Early Stage Venture,"Instaffo is the fastest-growing job platform for Tech, Marketing, Sales, and Finance.","Big Data, Career Planning, Human Resources, Information Technology, Recruiting, SaaS","Heidelberg, Baden-Wurttemberg, Germany, Europe",http://instaffo.com/,$10M to $50M,15450000,EUR,17191651,Early Stage Venture,5,1,1,Yes,
Venture Round - Fusebox Energy,https://www.crunchbase.com/funding_round/fusebox-ou-series-unknown--907f0b0c,Fusebox Energy,https://www.crunchbase.com/organization/fusebox-ou,Venture - Series Unknown,2025-01-20,2600000,EUR,2708663,,Soulmates Ventures,"Eneco Ventures, PKO BP, SmartCap, Soulmates Ventures","25,977",,,,,Fusebox develops an energy management platform that integrates and optimizes distributed power resources.,"Energy, Energy Management, Energy Storage, Smart Cities","Tallinn, Harjumaa, Estonia, Europe",https://www.fusebox.energy,$1M to $10M,6650000,EUR,7215747,,5,4,2,Yes,
Venture Round - Spotahome,https://www.crunchbase.com/funding_round/spotahome-series-unknown--aac00bc8,Spotahome,https://www.crunchbase.com/organization/spotahome,Venture - Series Unknown,2025-04-24,5000000,EUR,5693179,,Actyus,"Actyus, FJ Labs","28,639",,,,,Spotahome is the easiest way to find and book mid to-long term residential rentals 100% online.,"Real Estate, Rental, Reservations","Madrid, Madrid, Spain, Europe",http://www.spotahome.com,$1M to $10M,98543406,USD,98543406,,11,2,1,Yes,
Series A - Livespace,https://www.crunchbase.com/funding_round/livespace-series-a--05bfa44a,Livespace,https://www.crunchbase.com/organization/livespace,Series A,2024-03-01,10000000,PLN,2510583,,"ARIA Fund, INventures","ARIA Fund, INventures","29,669",,,,Early Stage Venture,Livespace is a process-focused CRM platform for B2B sales teams.,"B2B, CRM, Sales, Sales Automation","Warsaw, Mazowieckie, Poland, Europe",http://www.livespace.io,$1M to $10M,3160583,USD,3160583,Early Stage Venture,3,2,2,Yes,
Venture Round - FRVR,https://www.crunchbase.com/funding_round/frvr-series-unknown--7f7766ab,FRVR,https://www.crunchbase.com/organization/frvr,Venture - Series Unknown,2024-08-13,12700000,USD,12700000,,Iberis Capital,"Hiro Capital, Iberis Capital, Indico Capital Partners, Lince Capital","30,710",,,,,FRVR is a gaming distribution platform that connects players with browser-based games.,"Android, Casual Games, Gaming, Software, Video Games","London, England, United Kingdom, Europe",https://corp.frvr.com,$10M to $50M,94719375,USD,94719375,,4,4,3,Yes,
Venture Round - All3DP GmbH,https://www.crunchbase.com/funding_round/all3dp-gmbh-series-unknown--d930cadd,All3DP GmbH,https://www.crunchbase.com/organization/all3dp-gmbh,Venture - Series Unknown,2024-09-24,,,,,HZG Group,"Bayern Kapital, Deutsche Balaton, HTGF (High-Tech Gruenderfonds), HZG Group","47,074",,,,,Marketplace for 3D printed parts. Online publisher for 3D printing and additive manufacturing.,"3D Printing, 3D Technology, E-Commerce, Manufacturing, Marketplace","Munich, Bayern, Germany, Europe",https://all3dp.com/,$10M to $50M,5730000,EUR,6655469,,5,4,2,Yes,
