Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series D - Wandercraft,https://www.crunchbase.com/funding_round/wandercraft-series-d--d38bfb0f,Wandercraft,https://www.crunchbase.com/organization/wandercraft,Series D,2025-06-06,75000000,USD,75000000,,Renault Group,"AG2R La Mondiale, Bpifrance, Cemag Invest, European Investment Bank, LBO France, Martagon Capital, Mutuelles Impact, PSIM fund, Quadrant Management, Renault Group, Teampact ventures","1,905",,,,Late Stage Venture,Wandercraft develops autonomous walking exoskeletons designed to restore upright mobility to individuals with walking impairments.,"Health Care, Machinery Manufacturing, Manufacturing, Medical Device, Robotics","Paris, Ile-de-France, France, Europe",http://www.wandercraft.eu,,170593758,USD,170593758,Late Stage Venture,9,11,2,Yes,
Venture Round - ENTEROME,https://www.crunchbase.com/funding_round/enterome-series-unknown--126926b6,ENTEROME,https://www.crunchbase.com/organization/enterome,Venture - Series Unknown,2025-06-12,19000000,USD,19000000,,Institute for Follicular Lymphoma Innovation,"Institute for Follicular Lymphoma Innovation, Lundbeckfonden Ventures, Primo Capital, Seventure Partners, SymBiosis, The Leukemia & Lymphoma Society’s Therapy Acceleration Program","2,728",,,,,Enterome is a clinical-stage company developing breakthrough immunomodulatory drugs for the treatment of cancer and immune diseases.,"Biopharma, Biotechnology, Health Care, Life Science","Paris, Ile-de-France, France, Europe",http://www.enterome.com,$10M to $50M,219731154,USD,219731154,,10,6,3,Yes,
Venture Round - Fresco,https://www.crunchbase.com/funding_round/fresco-cooks-series-unknown--5050ce5e,Fresco,https://www.crunchbase.com/organization/fresco-cooks,Venture - Series Unknown,2025-08-05,,,,,,Gaingels,"3,580",,,,,"Fresco is the only neutral, cross-brand platform that seamlessly brings appliances, home cooks and recipes together.","Apps, Cooking, Software","Dublin, Dublin, Ireland, Europe",https://frescocooks.com/,$1M to $10M,44849823,USD,44849823,,11,1,,Yes,
Private Equity Round - Ripjar,https://www.crunchbase.com/funding_round/ripjar-private-equity--48cf99b6,Ripjar,https://www.crunchbase.com/organization/ripjar,Private Equity,2024-11-08,,,,,Dow Jones,Dow Jones,"4,549",,,,Private Equity,Ripjar is a data intelligence company that transforms global institutions ability to manage strategic risks.,"Analytics, Artificial Intelligence (AI), Cyber Security, Data Visualization, Natural Language Processing, Predictive Analytics, Software","Cheltenham, Gloucestershire, United Kingdom, Europe",https://ripjar.com,$10M to $50M,41487468,USD,41487468,M&A,6,1,1,Yes,
Venture Round - RootWave,https://www.crunchbase.com/funding_round/rootwave-series-unknown--f2c9aa55,RootWave,https://www.crunchbase.com/organization/rootwave,Venture - Series Unknown,2025-06-10,12000000,USD,12000000,,Clay Capital,"Agri Investment Fund, Clay Capital, Jorge Heraud, Naruhisa Nakagawa, Pymwymic, Rabo Ventures, V-Bio Ventures, Xinomavro Ventures","5,374",,,,,RootWave is an electronic company that develops tools that kills weeds using electricity.,"Agriculture, AgTech, Information Technology","Kineton, Warwickshire, United Kingdom, Europe",http://rootwave.com,$1M to $10M,26352436,USD,26352436,,6,8,2,Yes,
Venture Round - Beekeeper,https://www.crunchbase.com/funding_round/beekeeper-series-unknown--269939ca,Beekeeper,https://www.crunchbase.com/organization/beekeeper,Venture - Series Unknown,2025-03-04,35000000,USD,35000000,,HSBC Innovation Banking,HSBC Innovation Banking,"6,488",,,,,"Beekeeper is a digital workplace platform designed to improve internal communication, collaboration, and operations for frontline workers.","Enterprise Software, SaaS, Software, Unified Communications","Zürich, Zurich, Switzerland, Europe",http://www.beekeeper.io,$1M to $10M,181511868,USD,181511868,M&A,10,1,,Yes,
Series A - Quibim,https://www.crunchbase.com/funding_round/quibim-series-a--866f4c51,Quibim,https://www.crunchbase.com/organization/quibim,Series A,2025-01-28,50000000,USD,50000000,,"Asabys Partners, Buenavista Equity Partners","Adara Ventures, Amadeus Capital Partners, APEX Ventures, Asabys Partners, Buenavista Equity Partners, Build Collective, Centre for the Development of Industrial Technology (CDTI), GoHub Ventures, Jonathan Milner, K Fund, Partech, UI Investissement","6,578",,,,Early Stage Venture,Quibim is a radiomics company specializing in quantitative imaging of biomarkers and medical applications in precision medicine.,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Health Diagnostics","Valencia, Comunidad Valenciana, Spain, Europe",https://www.quibim.com,$10M to $50M,69586338,USD,69586338,Early Stage Venture,12,12,5,Yes,
Venture Round - Improbable,https://www.crunchbase.com/funding_round/improbable-series-unknown--a987e22f,Improbable,https://www.crunchbase.com/organization/improbable,Venture - Series Unknown,2022-04-07,150000000,USD,150000000,,"Andreessen Horowitz, SoftBank Investment Advisers","Alliance DAO, Andreessen Horowitz, CMT Digital, David Rutter, Digital Currency Group, Ethereal Ventures, Mirana, Morgan Creek Capital Management, Nexo, Round 13 Digital Asset Fund, Saranac Partners, SoftBank Investment Advisers, Zinal Growth","6,617",,,,,Improbable is a technology company that provides a metaverse platform designed to offer virtual gaming experiences.,"Gamification, Gaming, Information Technology, Metaverse, Software, Virtual World","London, England, United Kingdom, Europe",http://www.improbable.io,$100M to $500M,853869347,USD,853869347,,8,13,10,Yes,
Series C - Lighthouse,https://www.crunchbase.com/funding_round/lighthouse-ltd-series-c--cf909519,Lighthouse,https://www.crunchbase.com/organization/lighthouse-ltd,Series C,2024-11-21,370000000,USD,370000000,,Kohlberg Kravis Roberts,"Eight Roads Ventures, F-Prime, Highgate Ventures, Kohlberg Kravis Roberts, Spectrum Equity","7,724",630000000,USD,630000000,Late Stage Venture,Lighthouse is a commercial platform for the travel & hospitality industry.,"Analytics, Business Intelligence, Hospitality, Hotel, Information Technology, SaaS, Software","London, England, United Kingdom, Europe",https://www.mylighthouse.com,$100M to $500M,470000000,USD,470000000,Late Stage Venture,7,5,5,Yes,
Venture Round - AMBOSS,https://www.crunchbase.com/funding_round/amboss-miamed-gmbh-series-unknown--dab49180,AMBOSS,https://www.crunchbase.com/organization/amboss-miamed-gmbh,Venture - Series Unknown,2025-03-25,240000000,EUR,259154358,,,"KIRKBI, Lightrock, M&G Investments","8,716",,,,,AMBOSS is a digital medical knowledge platform providing clinical content for decision-making.,"E-Learning, EdTech, Education, Health Care, Medical, mHealth, Universities","Berlin, Berlin, Germany, Europe",https://www.amboss.com,,275000000,EUR,298230710,,5,3,1,Yes,
