Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Series C - Epsor,https://www.crunchbase.com/funding_round/epsor-series-c--f38f0e9f,Epsor,https://www.crunchbase.com/organization/epsor,Series C,2025-03-27,16000000,EUR,17281305,,ISALT,"BlackFin Capital Partners, ISALT, Partech, Revaia","9,803",,,,Late Stage Venture,Epsor designs and distributes employee savings and retirement plans.,"Employee Benefits, Financial Services, FinTech","Paris, Ile-de-France, France, Europe",http://www.epsor.fr,$10M to $50M,43300000,EUR,50000422,Late Stage Venture,4,4,3,Yes,
Venture Round - Siteflow,https://www.crunchbase.com/funding_round/siteflow-solution-series-unknown--8fa7dc05,Siteflow,https://www.crunchbase.com/organization/siteflow-solution,Venture - Series Unknown,2025-03-17,7000000,EUR,7615931,,EDF Pulse Ventures,"EDF Pulse Ventures, LBO France","13,143",,,,,"Siteflow is the first cloud-based field service management software for complex operations (Nuclear, Special Works, Oil&Gas,...)","Construction, SaaS, Software","Paris, Ile-de-France, France, Europe",https://www.siteflow.com,$1M to $10M,18500000,EUR,19824023,,4,2,,Yes,
Venture Round - Upfront Diagnostics,https://www.crunchbase.com/funding_round/pockit-diagnositcs-series-unknown--abfe9123,Upfront Diagnostics,https://www.crunchbase.com/organization/pockit-diagnositcs,Venture - Series Unknown,2025-05-12,4300000,USD,4300000,,PHOENIX SUSTAINABLE INVESTMENTS LIMITED,"Cambridge Enterprise Ventures, PHOENIX SUSTAINABLE INVESTMENTS LIMITED","34,477",,,,,Upfront Diagnostics is discovering biomarkers to improve medical diagnosis.,"Health Care, Health Diagnostics","Cambridge, Cambridgeshire, United Kingdom, Europe",https://upfrontdiagnostics.com,$1M to $10M,8572944,USD,8572944,,6,2,,Yes,
Series A - Keboola,https://www.crunchbase.com/funding_round/keboola-series-a--78916345,Keboola,https://www.crunchbase.com/organization/keboola,Series A,2023-12-01,32000000,USD,32000000,,Viking Global Investors,"Eduard Kucera, Presto Ventures, Reflex Capital, TCF Capital, Viking Global Investors","44,115",,,,Early Stage Venture,"Keboola is a cloud platform helping clients combine, enhance and publish crucial information for internal analytics & data products.","Analytics, Data Integration, Enterprise Software, Information Technology, SaaS","London, England, United Kingdom, Europe",http://www.keboola.com,$1M to $10M,36500000,USD,36500000,Early Stage Venture,2,5,1,Yes,
Venture Round - EthicHub,https://www.crunchbase.com/funding_round/ethichub-series-unknown--8099f2be,EthicHub,https://www.crunchbase.com/organization/ethichub,Venture - Series Unknown,2025-02-23,1000000,USD,1000000,,Bybit,Bybit,"45,656",,,,,Integrating fintech and trade for a regenerative coffee supply chain,"Blockchain, Coffee, Cryptocurrency, FinTech, Impact Investing, Lending, Micro Lending, Social Impact, Supply Chain Management, Web3","Madrid, Madrid, Spain, Europe",https://ethichub.com,$1M to $10M,4430000,USD,4430000,,8,1,1,Yes,
Venture Round - HURR,https://www.crunchbase.com/funding_round/hurr-collective-series-unknown--012153e5,HURR,https://www.crunchbase.com/organization/hurr-collective,Venture - Series Unknown,2023-12-04,7900000,GBP,9980544,,Praetura Ventures,"Ascension, D4 Ventures, Octopus Ventures, Praetura Ventures","50,041",,,,,"HURR is the smart way to rent your wardrobe, on-demand.","Communities, E-Commerce, Fashion, Internet, Lifestyle, Product Design","London, England, United Kingdom, Europe",https://www.hurrcollective.com,$1M to $10M,11900000,GBP,15289245,,2,4,2,Yes,
Series A - Serviceform,https://www.crunchbase.com/funding_round/serviceform-series-a--1b3062f3,Serviceform,https://www.crunchbase.com/organization/serviceform,Series A,2024-11-19,2450000,EUR,2598714,,Virta Equity,"BackingMinds, Gorilla Capital, Lasse Järvinen, Virta Equity","52,049",,,,Early Stage Venture,"Serviceform helps businesses solve their most common problems with lead generation, marketing, customer manager, and customer support.","B2B, Lead Generation, Lead Management, SaaS, Software","Helsinki, Southern Finland, Finland, Europe",https://serviceform.com/,$1M to $10M,5298522,USD,5298522,Early Stage Venture,6,4,3,Yes,
Series A - Sympatient,https://www.crunchbase.com/funding_round/sympatient-series-a--2dd2c73d,Sympatient,https://www.crunchbase.com/organization/sympatient,Series A,2022-09-29,7500000,EUR,7371993,,Verve Ventures,Verve Ventures,"66,512",,,,Early Stage Venture,Sympatient is the first digital mental health clinc.,"Health Care, InsurTech, mHealth, Psychology, Therapeutics, Virtual Reality","Hamburg, Hamburg, Germany, Europe",https://www.sympatient.com,$1M to $10M,9100000,EUR,9144593,Early Stage Venture,2,1,1,Yes,
Series A - Umedeor,https://www.crunchbase.com/funding_round/umedeor-series-a--1b58264b,Umedeor,https://www.crunchbase.com/organization/umedeor,Series A,2023-07-05,9800000,GBP,12450357,,,"11.2 Capital, AlbionVC, Delin Ventures, Nexenai Capital, Playfair Capital","71,460",,,,Early Stage Venture,uMed enables healthcare providers to run patient research more efficiently through automating the clinical studies process,"Health Care, Information Technology, Life Science, Medical, mHealth, Software","London, England, United Kingdom, Europe",http://www.umed.io,$1M to $10M,18516440,USD,18516440,Early Stage Venture,5,5,4,Yes,
Series A - NAKA,https://www.crunchbase.com/funding_round/eligma-series-a--5f7a720c,NAKA,https://www.crunchbase.com/organization/eligma,Series A,2022-12-20,20000000,EUR,21251004,,Tether,"Bitfinex, Tether","76,454",80000000,EUR,85004016,Early Stage Venture,"NAKA specializes in the development of financial products, including a blockchain payment scheme, a self-custodial card, and a PoS solution.","Bitcoin, Blockchain, Cryptocurrency, Financial Services, Mobile Payments","Ljubljana, Ljubljana Urban Commune, Slovenia, Europe",https://naka.com/,$1M to $10M,46446614,USD,46446614,Early Stage Venture,4,2,,Yes,
Series A - Liom,https://www.crunchbase.com/funding_round/spiden-series-a--6be0d2a5,Liom,https://www.crunchbase.com/organization/spiden,Series A,2024-12-03,25000000,USD,25000000,,,,"81,005",,,,Early Stage Venture,"Liom develops the ultimate wearable to monitor needle-free biomarkers, beginning with glucose.","Artificial Intelligence (AI), Biotechnology, Medical","Pfäffikon, Zurich, Switzerland, Europe",https://www.liom.com,$1M to $10M,65250000,USD,65250000,Early Stage Venture,4,,,Yes,
Series A - NEOBRAIN,https://www.crunchbase.com/funding_round/neobrain-series-a--376e0fb4,NEOBRAIN,https://www.crunchbase.com/organization/neobrain,Series A,2022-03-24,20000000,EUR,22017121,,"Alter Equity 3P, BREEGA, Crédit Mutuel Innovation","Alter Equity 3P, BREEGA, Crédit Mutuel Innovation, La Poste Ventures, XAnge","92,030",,,,Early Stage Venture,"Detect, develop and mobilize the skills of your employees to anticipate your HR strategy of tomorrow","Artificial Intelligence (AI), Human Resources, Machine Learning, Management Information Systems, SaaS, Skill Assessment, Software","Paris, Ile-de-France, France, Europe",https://www.neobrain.io,$1M to $10M,23000000,EUR,25348622,Early Stage Venture,2,5,1,Yes,
Series B - Let’s Do This,https://www.crunchbase.com/funding_round/let-s-do-this-series-b--a1b96006,Let’s Do This,https://www.crunchbase.com/organization/let-s-do-this,Series B,2022-06-06,60000000,USD,60000000,,"Craft Ventures, Headline","Christopher North, Craft Ventures, EQT Ventures, Headline, Ian Hogarth, Morpheus Ventures, NFX, Paul Buchheit, Paula Radcliffe, Serena Williams, TechNexus Venture Collaborative, Usain Bolt, Y Combinator","93,102",,,,Early Stage Venture,Let’s Do This is an online marketplace that that features endurance events in a global scale.,"E-Commerce, Events, Marketplace, Sports","London, England, United Kingdom, Europe",https://www.letsdothis.com/,Less than $1M,81402400,USD,81402400,Early Stage Venture,6,13,3,Yes,
Series B - CREAL,https://www.crunchbase.com/funding_round/creal3d-series-b--decfbaed,CREAL,https://www.crunchbase.com/organization/creal3d,Series B,2024-09-11,,,,,Carl Zeiss Vision,"Carl Zeiss Vision, SICTIC","98,368",,,,Early Stage Venture,CREAL develops near-eye light-field display bringing true optical depth and better immersion into virtual and mixed reality.,"3D Technology, Augmented Reality, Health Care, Software, Virtual Reality","Ecublens, Vaud, Switzerland, Europe",https://www.creal.com/,$1M to $10M,24932190,USD,24932190,,12,2,,Yes,
